"type","Quantity","values"
Mohn,SSB,-0.254206029583362
Mohn,Recruitment,2.7801157204503
Mohn,Fraction unfished,-0.0397731840440432
Mohn,F,-0.0846579179176802
NEFSC,SSB,-0.214914116369
NEFSC,Recruitment,0.376023911203498
NEFSC,Fraction unfished,0.000946959417868649
NEFSC,F,-0.0747652775782098
AFSC,SSB,-0.0508412059166725
AFSC,Recruitment,0.556023144090059
AFSC,F,-0.016931583583536
AFSC,Fraction unfished,-0.00795463680880864
