"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","SR_BH_steep",0.5,4190.01,0.000405018,9559.55,1449.45,0.151623,0
"4","SR_BH_steep",0.55,4186.25,0.000134651,9147.88,1702.31,0.186088,0
"3","SR_BH_steep",0.6,4183.35,0.000228925,8813.63,1977,0.224311,0
"2","SR_BH_steep",0.65,4181.16,0.0018407,8507.55,2258.1,0.265423,0
"1","SR_BH_steep",0.7,4179.65,8.4324e-05,8289.6,2593.67,0.312882,0
"6","SR_BH_steep",0.72,4179.1,5.88396e-05,8192.87,2700.99,0.329676,0
"7","SR_BH_steep",0.75,4178.45,0.000107103,8059.53,2863.64,0.355311,0
"8","SR_BH_steep",0.8,4177.78,0.000121166,7866.53,3137.87,0.398888,0
"9","SR_BH_steep",0.85,4177.56,0.000127763,7699.65,3406.53,0.442427,0
"10","SR_BH_steep",0.9,4177.79,5.08005e-05,7543.67,3650.65,0.483935,1
"11","SR_BH_steep",0.95,4178.54,7.63235e-05,7405.34,3880.19,0.523972,1
