"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","SR_LN(R0)",7.4,4215.06,7.4591e-05,6068.87,995.287,0.163999,1
"4","SR_LN(R0)",7.6,4183.33,0.000118402,7078.28,1323.64,0.187001,1
"3","SR_LN(R0)",7.8,4157.87,6.7134e-05,8276.42,1741.27,0.210389,2
"2","SR_LN(R0)",8,4140.34,422.724,9604.27,2311.17,0.240639,2
"1","SR_LN(R0)",8.2,4131.28,3.12276e-05,11218.4,3128.81,0.278901,2
"6","SR_LN(R0)",8.25574,4132.06,0.000340949,11380.2,3093.41,0.271824,3
"7","SR_LN(R0)",8.4,4134.95,0.000283341,12693.5,3915.98,0.308504,3
"8","SR_LN(R0)",8.6,4147.52,0.000598997,15204.3,5929.09,0.389962,3
"9","SR_LN(R0)",8.8,4159.54,0.00015402,30977.4,22433.4,0.724185,0
"10","SR_LN(R0)",9,4192.73,7.93769e-05,36614.5,29358.2,0.801817,0
"11","SR_LN(R0)",9.2,4234.52,9.11413e-05,44411.6,39357,0.886188,0
