"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,1688.71,1602.62,1502.81,1409.22,1321.46,1239.16,1161.99,1089.63,1021.77,958.138,898.469,842.516,790.047,740.846,694.708,651.445,610.875,572.832,537.158,503.706,472.337,442.921,415.338,389.472,365.217,342.473,321.145,301.145,282.391,264.805,248.314,232.849,218.348,204.751,191.999,180.042,168.83,158.316,148.457,139.211,2096.17
1893,1687.5,1583.54,1502.81,1409.22,1321.46,1239.16,1161.99,1089.62,1021.75,958.11,898.434,842.475,790.002,740.799,694.661,651.397,610.828,572.786,537.114,503.664,472.297,442.883,415.302,389.438,365.185,342.443,321.116,301.118,282.366,264.781,248.291,232.829,218.329,204.732,191.982,180.026,168.815,158.302,148.443,139.199,2095.98
1894,1686.21,1582.41,1484.93,1409.22,1321.46,1239.16,1161.98,1089.61,1021.74,958.091,898.408,842.442,789.964,740.757,694.617,651.352,610.783,572.742,537.071,503.622,472.257,442.846,415.266,389.404,365.153,342.412,321.088,301.092,282.341,264.757,248.269,232.808,218.309,204.714,191.965,180.01,168.8,158.287,148.43,139.186,2095.79
1895,1684.86,1581.2,1483.86,1392.45,1321.46,1239.16,1161.98,1089.61,1021.73,958.08,898.39,842.418,789.934,740.722,694.578,651.311,610.741,572.7,537.03,503.582,472.218,442.809,415.231,389.371,365.121,342.382,321.06,301.065,282.315,264.734,248.247,232.787,218.29,204.695,191.948,179.994,168.784,158.273,148.416,139.173,2095.6
1896,1683.43,1579.93,1482.73,1391.45,1305.73,1239.16,1161.99,1089.62,1021.75,958.096,898.405,842.431,789.943,740.727,694.58,651.31,610.738,572.695,537.023,503.575,472.211,442.801,415.223,389.363,365.114,342.375,321.053,301.058,282.309,264.728,248.241,232.782,218.285,204.691,191.943,179.99,168.78,158.269,148.413,139.17,2095.55
1897,1681.93,1578.6,1481.54,1390.39,1304.8,1224.42,1161.99,1089.62,1021.76,958.113,898.427,842.453,789.965,740.746,694.595,651.321,610.746,572.7,537.027,503.577,472.211,442.801,415.222,389.362,365.113,342.374,321.051,301.057,282.308,264.727,248.24,232.78,218.284,204.69,191.942,179.989,168.78,158.269,148.412,139.17,2095.54
1898,1680.34,1577.19,1480.29,1389.27,1303.8,1223.54,1148.17,1089.63,1021.76,958.125,898.443,842.473,789.986,740.766,694.612,651.335,610.756,572.708,537.032,503.58,472.213,442.801,415.222,389.362,365.112,342.373,321.05,301.056,282.307,264.725,248.239,232.779,218.282,204.688,191.941,179.988,168.779,158.268,148.411,139.169,2095.53
1899,1678.66,1575.69,1478.96,1388.1,1302.75,1222.61,1147.34,1076.66,1021.77,958.132,898.455,842.49,790.006,740.787,694.632,651.352,610.77,572.719,537.04,503.586,472.217,442.804,415.224,389.363,365.112,342.373,321.05,301.056,282.306,264.725,248.238,232.779,218.282,204.688,191.941,179.987,168.778,158.267,148.411,139.168,2095.52
1900,1676.88,1574.12,1477.57,1386.86,1301.65,1221.62,1146.47,1075.89,1009.61,958.134,898.46,842.5,790.02,740.804,694.65,651.37,610.785,572.731,537.049,503.593,472.222,442.807,415.226,389.363,365.113,342.373,321.05,301.055,282.305,264.724,248.237,232.778,218.281,204.687,191.94,179.986,168.777,158.266,148.41,139.168,2095.51
1901,1674.98,1572.45,1476.09,1385.55,1300.49,1220.59,1145.54,1075.07,1008.88,946.732,898.462,842.504,790.028,740.816,694.665,651.386,610.801,572.744,537.06,503.6,472.227,442.81,415.228,389.364,365.113,342.372,321.049,301.054,282.304,264.722,248.236,232.776,218.279,204.686,191.938,179.985,168.776,158.265,148.409,139.167,2095.49
1902,1672.98,1570.67,1474.52,1384.16,1299.26,1219.5,1144.58,1074.2,1008.11,946.05,887.769,842.504,790.031,740.823,694.676,651.399,610.815,572.757,537.071,503.609,472.233,442.814,415.23,389.365,365.112,342.371,321.047,301.052,282.302,264.721,248.234,232.774,218.278,204.684,191.937,179.983,168.774,158.264,148.408,139.165,2095.47
1903,1670.84,1568.79,1472.86,1382.69,1297.96,1218.35,1143.55,1073.29,1007.3,945.329,887.129,832.477,790.03,740.825,694.681,651.408,610.826,572.769,537.082,503.618,472.241,442.819,415.233,389.366,365.112,342.37,321.046,301.05,282.3,264.718,248.232,232.772,218.275,204.682,191.935,179.981,168.773,158.262,148.406,139.164,2095.45
1904,1668.58,1566.79,1471.09,1381.13,1296.58,1217.13,1142.47,1072.34,1006.45,944.567,886.452,831.876,780.626,740.823,694.681,651.411,610.833,572.779,537.092,503.628,472.248,442.825,415.236,389.368,365.113,342.37,321.044,301.048,282.298,264.716,248.229,232.769,218.273,204.679,191.932,179.979,168.77,158.26,148.404,139.162,2095.42
1905,1666.18,1564.66,1469.22,1379.48,1295.12,1215.84,1141.33,1071.32,1005.55,943.767,885.737,831.24,780.061,732.003,694.678,651.41,610.835,572.784,537.1,503.636,472.256,442.831,415.241,389.371,365.114,342.369,321.043,301.046,282.295,264.713,248.226,232.766,218.27,204.676,191.929,179.976,168.768,158.257,148.401,139.159,2095.38
1906,1663.64,1562.41,1467.22,1377.72,1293.57,1214.46,1140.12,1070.25,1004.6,942.923,884.986,830.568,779.464,731.472,686.407,651.406,610.833,572.785,537.104,503.642,472.263,442.838,415.246,389.374,365.115,342.369,321.042,301.044,282.293,264.71,248.223,232.763,218.266,204.673,191.926,179.973,168.765,158.254,148.399,139.157,2095.34
1907,1660.96,1560.03,1465.11,1375.85,1291.92,1213.01,1138.83,1069.11,1003.59,942.03,884.193,829.863,778.833,730.911,685.908,643.649,610.828,572.782,537.103,503.645,472.268,442.844,415.251,389.378,365.118,342.37,321.041,301.042,282.29,264.707,248.219,232.76,218.263,204.669,191.923,179.97,168.762,158.251,148.396,139.154,2095.3
