"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2013,1961.33,1961.33,1961.33,0.232229,0.232229,0.232229
2014,2065.04,2065.04,2065.04,0.244508,0.244508,0.244508
2015,2167.43,2167.43,2167.43,0.256632,0.256632,0.256632
2016,2258.65,2258.65,2258.65,0.267433,0.267433,0.267433
2017,2346.58,2346.58,2346.58,0.277845,0.277845,0.277845
2018,2401.72,2401.72,2401.72,0.284373,0.284373,0.284373
2019,2428.12,2428.12,2428.12,0.287499,0.287499,0.287499
2020,2452.81,2452.81,2452.81,0.290422,0.290422,0.290422
2021,2482.49,2482.49,2482.49,0.293937,0.293937,0.293937
2022,2506.4,2506.4,2506.4,0.296767,0.296767,0.296767
2023,2512.95,2512.95,2512.95,0.297543,0.297543,0.297543
