"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 5+ Biomass (mt)","Spawning Output","Fraction Unfished"
2023,629.929,0,23880.8,2512.95,0.297543
2024,631.76,0,24215.8,2580.86,0.305584
2025,641.273,545.286,24665.7,2646.44,0.313349
2026,641.852,543.603,24912.3,2654.46,0.314299
2027,653.563,551.037,25167.5,2653.33,0.314165
2028,674.811,565.63,25564.1,2644.36,0.313103
2029,703.556,585.277,26040.6,2631.94,0.311632
2030,736.762,609.395,26578,2623.96,0.310688
2031,771.033,635.506,27152.1,2628.72,0.311251
2032,803.738,661.394,27744.6,2650.89,0.313876
2033,833.21,687.16,28340.6,2689.91,0.318496
2034,858.597,710.945,28927.8,2741.86,0.324647
