"Year","Total Biomass (mt)","Spawning Output","Total Biomass 5+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
1892,75656.3,8445.67,74339,1,3377.42,5.79,0.00162316,7.78864391503787e-05
1893,75650.3,8444.93,74333.4,0.999912381137317,3374.99,5.79,0.00162329,7.78923068230432e-05
1894,75643,8444.2,74328,0.999825946313318,3372.43,5.79,0.00162342,7.7897965773329e-05
1895,75633.1,8443.49,74322.9,0.999741879566689,3369.71,1.49,0.000418212,2.00476569132798e-05
1896,75623.4,8443.35,74322.1,0.9997253030251,3366.87,0.36,0.000101072,4.8437813248011e-06
1897,75610.2,8443.35,74309.9,0.9997253030251,3363.86,0.37,0.000103881,4.97914813503988e-06
1898,75592,8443.33,74292.7,0.999722934947731,3360.68,0.21,5.89639e-05,2.82665726242282e-06
1899,75568.9,8443.26,74270.6,0.999714646676936,3357.31,0.35,9.82784e-05,4.71249727348372e-06
1900,75540.8,8443,74243.6,0.999683861671129,3353.75,0.49,0.000137606,6.59989547920629e-06
1901,75507.9,8442.37,74212,0.999609267233979,3349.97,0.64,0.000179766,8.62394221958713e-06
1902,75470.8,8441.13,74176.1,0.99946244643705,3345.95,0.78,0.000219152,1.05155164534129e-05
1903,75429.7,8439.07,74136.4,0.999218534467958,3341.69,0.92,0.000258581,1.24095585973962e-05
1904,75385,8436.1,74093.1,0.998866874978539,3337.15,1.07,0.000300872,1.44412907544697e-05
1905,75337,8432.28,74046.7,0.998414572200903,3332.35,1.21,0.000340409,1.63410388309e-05
1906,75285.9,8427.77,73997.2,0.997880570754008,3327.27,1.35,0.000380008,1.82439335542426e-05
1907,75232,8422.73,73945.1,0.997283815256812,3321.91,1.49,0.00041967,2.01500843193126e-05
1908,75175.4,8417.25,73890.3,0.99663496205748,3316.27,1.64,0.000462218,2.219506484613e-05
1909,75116.2,8411.42,73833,0.995944667504177,3310.33,1.78,0.00050202,2.41084609862798e-05
1910,75054.4,8405.29,73773.2,0.995218851790326,3304.08,1.92,0.000541895,2.60257112338898e-05
1911,74989.9,8398.89,73710.9,0.994461067031982,3297.49,2.07,0.00058467,2.8082685193099e-05
1912,74922.8,8392.22,73646,0.993671313229146,3290.5,2.21,0.000624703,3.00084186513864e-05
1913,74852.9,8385.31,73578.5,0.992853142497872,3283.09,2.35,0.000664821,3.19386777387416e-05
1914,74780.2,8378.14,73508.4,0.99200418676079,3275.26,2.5,0.000707857,3.40097186171921e-05
1915,74704.6,8370.7,73435.3,0.991123261979215,3267.02,2.64,0.000748158,3.59500131408192e-05
1916,74625.7,8363,73359.3,0.990211552191833,3258.37,39.63,0.0141928,0.000540217804695519
1917,74504.9,8351.7,73241.5,0.988873588477883,3249.15,61.62,0.0221543,0.00084132629724951
1918,74356.9,8337.92,73096.8,0.987241983170074,3239.39,64.22,0.0231218,0.000878561031399459
1919,74202.2,8323.19,72945.3,0.985497894187199,3229.09,41.71,0.0149495,0.000571798320111097
1920,74067.3,8309.68,72813.8,0.983898257923883,3218.28,44.01,0.015824,0.00060441839321667
1921,73926.8,8295.44,72677.1,0.982212186836568,3206.83,38.49,0.0138683,0.000529602859772886
1922,73789,8281.22,72543.2,0.980528483826623,3194.76,35.76,0.0128964,0.000492947650503424
1923,73650.8,8266.84,72409.1,0.97882583619772,3182.08,42.32,0.0153256,0.000584456925994108
1924,73502.3,8251.55,72264.9,0.97701544104849,3168.8,44.18,0.0161828,0.000611361809121717
1925,73347.9,8235.95,72115.1,0.975168340700027,3154.98,50.73,0.0187215,0.000703458776317304
1926,73182.3,8219.55,71954.4,0.973226517256772,3140.61,66.55,0.0244311,0.000924891320058259
1927,72995.3,8201.16,71772.5,0.971049070115219,3125.78,60.24,0.0220155,0.000839318680553137
1928,72810,8182.61,71592.4,0.968852678354707,3110.66,62.82,0.0233777,0.000877467440678061
1929,72617.3,8163.05,71405.2,0.96653669868702,3095.43,73.85,0.0273263,0.0010342384028054
1930,72408.6,8141.23,71202.2,0.963953126276542,3080.17,78.69,0.029703,0.00110516248093458
1931,72189.9,8118.71,70989.3,0.96128667115812,3065.01,88.29,0.033811,0.0012437085588955
1932,71955.8,8094.5,70761.1,0.958420113501948,3050,65.43,0.026799,0.00092466058328658
1933,71739.7,8072.24,70550.8,0.955784443389334,3034.94,61.84,0.025585,0.000876531520549732
1934,71521.9,8049.24,70338.9,0.953061154414037,3019.25,62.11,0.0264945,0.000883010681145142
1935,71298.5,8025.87,70121.4,0.950294056007398,3002.15,73.8,0.0315263,0.00105246044716734
1936,71057.1,8000.85,69886,0.947331591217748,2982.66,67.37,0.0294704,0.000963998511862176
1937,70816.8,7975.78,69651.8,0.944363206234674,2960.24,75.48,0.0330422,0.00108367622947289
1938,70562.2,7948.83,69403.8,0.941172221978836,2935.09,74.49,0.0327827,0.00107328417176005
