"Label","Total"
"TOTAL","4122.75"
"Catch","4.37297e-11"
"Equil catch","0"
"Survey","-10.6921"
"Length comp","1785.66"
"Age comp","2357.81"
"Recruitment","-10.1243"
"InitEQ Regime","0"
"Forecast Recruitment","0"
"Parm priors","0.084478"
"Parm softbounds","0.0114829"
"Parm devs","0"
"Crash Pen","0"
