"type","Quantity","values"
Mohn,SSB,-0.395388002617648
Mohn,Recruitment,2.6937223920589
Mohn,Fraction unfished,-0.176876717460667
Mohn,F,0.0381076816401225
NEFSC,SSB,-0.24968675457917
NEFSC,Recruitment,0.331063059617844
NEFSC,Fraction unfished,-0.0254248742629042
NEFSC,F,-0.0343461524148685
AFSC,SSB,-0.0790776005235296
AFSC,Recruitment,0.538744478411781
AFSC,F,0.0076215363280245
AFSC,Fraction unfished,-0.0353753434921334
