"caption","alt_caption","label","filein"
"Retrospective patterns for spawning stock biomass (\emph{SSB}) when up to five years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.07, -0.13, -0.21, -0.28, and -0.40 for SSB.","RetroSsb","../C:/Users/Brian.Langseth/Desktop/canary_2023/models/5_5_0_profile_retro/compare2_spawnbio_uncertainty.png"
"Retrospective patterns for fraction unfished when up to five years of data were removed from the base model. Mohn's rho (Mohn, 1999) values were recalculated for each peel given the removal of another year of data. See Table \ref{tab:RetroMohnsrho} for other derivations of Mohn's rho.","Each successive peel of data led to a Mohn's rho of -0.06, -0.07, -0.10, -0.11, and -0.18 for fraction unfished.","RetroFractionunfished","../C:/Users/Brian.Langseth/Desktop/canary_2023/models/5_5_0_profile_retro/compare4_Bratio_uncertainty.png"
