"type","Quantity","values"
Mohn,SSB,-0.187391973303858
Mohn,Recruitment,2.22778934895761
Mohn,Fraction unfished,0.141847182799843
Mohn,F,-0.116305552383921
NEFSC,SSB,-0.244093605425385
NEFSC,Recruitment,0.330945799590816
NEFSC,Fraction unfished,0.0803727228009281
NEFSC,F,-0.0567500604858082
AFSC,SSB,-0.0374783946607716
AFSC,Recruitment,0.445557869791521
AFSC,F,-0.0232611104767841
AFSC,Fraction unfished,0.0283694365599686
