

 Females then males 
"year","month","fleet","sex","partition","Ntows","Nsamps","InputN","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66"
1978,7,"NTWL.C",3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,"NTWL.C",3,2,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0,0,0,0,0,0
1980,7,"NTWL.C",3,2,4,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374,0,0.0748,0.0783,0.0035,0.0105,0.0035,0.0141,0.0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0.0409,0.5968,0.0444,0.0818,0,0,0,0,0,0,0
1981,7,"NTWL.C",3,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.2,0,0,0,0,0,0,0,0
1982,7,"NTWL.C",3,2,4,41,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767,0.0253,0.177,0.1011,0.0253,0.0506,0.1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506,0.0506,0.0506,0.0506,0.0758,0.0506,0.0889,0.0253,0,0,0,0,0,0,0
1983,7,"NTWL.C",3,2,2,6,3,0,0,0,0,0,0,0,0,0.1667,0,0.1667,0.1667,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0
1984,7,"NTWL.C",3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,"NTWL.C",3,2,9,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0624,0,0.1686,0.0196,0.0482,0.0462,0.0624,0.0286,0.0624,0.0349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536,0,0,0.0536,0,0.0482,0.0777,0.0286,0.1169,0.0615,0.0266,0,0,0,0,0,0,0,0
1986,7,"NTWL.C",3,2,10,17,12,0,0,0,0,0,0,0,0,0,0,0.1832,0,0,0.0916,0,0,0.1121,0.0205,0,0,0.0578,0,0.0695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916,0,0.0916,0.0205,0.0916,0,0.0493,0.1206,0,0,0,0,0,0,0
1987,7,"NTWL.C",3,2,12,115,28,0,0,0,0,0,0,0,0,0,0,0.0048,0.0283,0.0737,0.0545,0.0097,0.0814,0.0547,0.038,0.0076,0.0153,0.0092,0,0,0,0.0015,0,0,0,0,0,0,0,0.0291,0,0,0,0,0,0,0.0846,0.0652,0.0765,0.1072,0.0915,0.1287,0.0136,0.0113,0.0083,0.0053,0,0,0,0,0,0,0
1988,7,"NTWL.C",3,2,6,61,14,0,0,0,0,0,0,0,0,0,0,0,0.0386,0.0211,0.01,0.0633,0.0605,0.0197,0.0294,0.0603,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391,0.0587,0.1174,0.0391,0.101,0.1927,0.1094,0.0295,0,0,0,0,0,0,0,0,0
1989,7,"NTWL.C",3,2,15,242,48,0,0,0,0,0,0,0,0,0,0,0.0045,0.0264,0.1271,0.0582,0.0582,0.065,0.0488,0.0679,0.0222,0.0071,0.0212,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0.0016,0.017,0.0427,0.0475,0.0763,0.0709,0.0596,0.0431,0.0784,0.0449,0.0077,0,0,0,0,0,0,0,0
1990,7,"NTWL.C",3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0
1991,7,"NTWL.C",3,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5063,0,0.2531,0,0,0,0,0,0,0.2406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,"NTWL.C",3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5816,0,0,0,0,0.0493,0,0,0,0,0,0,0,0,0,0
1993,7,"NTWL.C",3,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,7,"NTWL.C",3,2,2,49,9,0,0,0,0,0,0,0,0,0,0,0,0.025,0.053,0.1061,0.1416,0.0782,0.0485,0.0712,0.0105,0.0327,0.0105,0.0117,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0.053,0.1001,0.0781,0.1178,0.0222,0,0,0,0,0,0,0,0,0,0,0
1998,7,"NTWL.C",3,2,2,13,4,0,0,0,0,0,0,0,0,0,0,0,0.0916,0.0916,0.2901,0.145,0.0916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916,0.145,0.0534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,"NTWL.C",3,2,2,36,7,0,0,0,0,0,0,0,0,0,0,0,0.0066,0,0.0205,0.0341,0.5939,0.0205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139,0.0205,0.2493,0.0341,0.0066,0,0,0,0,0,0,0,0,0,0,0,0
2000,7,"NTWL.C",3,2,4,24,7,0,0,0,0,0,0,0,0,0,0,0.0417,0,0.0417,0.0417,0.0417,0.0417,0.2083,0.125,0.0417,0.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833,0.0417,0.0833,0.0833,0.0833,0,0,0,0,0,0,0,0,0,0,0
2001,7,"NTWL.C",3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7,"NTWL.C",3,2,3,22,6,0,0,0,0,0,0,0,0,0.0455,0.1364,0.0455,0.0455,0.0455,0.1818,0,0,0.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455,0.1818,0.0455,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,"NTWL.C",3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,"NTWL.C",3,2,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.1667,0,0,0.1667,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,"NTWL.C",3,2,15,232,47,0,0,0,0,0,0,0.0046,0,0.0096,0.035,0.0365,0.0556,0.0398,0.0626,0.0424,0.037,0.0666,0.0217,0.0869,0.0921,0.0177,0.016,0.0109,0,0,0,0,0,0,0,0,0,0,0,0,0.0046,0.0094,0.008,0.0499,0.0211,0.0338,0.0232,0.0219,0.0679,0.0639,0.0221,8e-04,0.0373,8e-04,0,0,0,0,0,0,0
2021,7,"NTWL.C",3,2,20,435,80,0,0,0,0,0,0,0.0031,0.0019,0.0054,0.0092,0.0097,0.0391,0.08,0.1277,0.0798,0.0607,0.0743,0.0635,0.0304,0.054,0.0106,0.0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,5e-04,0.0016,0.0116,0.0252,0.0784,0.0434,0.0484,0.0259,0.0415,0.0381,0.0081,0.0037,0.0074,0.0037,0,0,0,0,0,0
1988,7,"NTWL.O",3,2,3,287,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.0282,0.0545,0.0687,0.1273,0.0904,0.0668,0.0042,0.031,0.0198,0.0161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0091,0.0231,0.0391,0.042,0.1049,0.1605,0.0818,0.0161,0,0,0,0,0
1990,7,"NTWL.O",3,2,1,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.03,0.08,0.1,0.09,0.09,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.08,0.06,0.17,0.11,0.05,0,0,0,0,0,0
1996,7,"NTWL.O",3,2,1,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541,0,0.0811,0.1081,0.1351,0.0541,0.0811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541,0.027,0.0541,0.1081,0.027,0.027,0.0811,0.0541,0.027,0,0,0.027,0,0,0,0
1997,7,"NTWL.O",3,2,11,538,78,0,0,0,0,0,0,0,0,0.0018,0,0.0055,0.0044,0.008,0.0351,0.0366,0.0686,0.048,0.0248,0.0614,0.0291,0.0249,0.0258,0.0147,0.0129,0.0036,0,0,0,0,0,0,0,0,0,0.0018,0.0018,0.0015,0.0029,0.0077,0.015,0.0419,0.061,0.0796,0.0545,0.0412,0.0518,0.0546,0.056,0.0407,0.0506,0.0141,0.009,0,0.009,0,0
1998,7,"NTWL.O",3,2,8,335,54,0,0,0,0,0,0,0,0,0,0,0,0.0124,0.0212,0.0325,0.0436,0.0589,0.0525,0.0164,0.0418,0.0044,0.0055,0.0036,0.0152,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0.0021,0.0043,0.0181,0.016,0.0271,0.0309,0.0824,0.0676,0.0917,0.0763,0.0713,0.0993,0.0576,0.0289,0.0156,0,0,0,0,0
1999,7,"NTWL.O",3,2,5,168,28,0,0,0,0,0,0,0,0.0032,0,0.004,0.0253,0.0219,0.0254,0.0256,0.0812,0.0555,0.0482,0.0468,0.0173,0.0175,0.0133,0.0236,0,0.0168,0,0.0168,0.0336,0,0,0,0,0,0,0,0,0.0032,0,0,0.0132,0.0234,0.0138,0.0555,0.0488,0.0878,0.0575,0.0685,0.0437,0.0139,0.0201,0.0073,0,0.0168,0.0168,0,0.0168,0.0168
