"year","month","fleet","sex","partition","InputN","F.999","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","M.999","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66"
2003,"Enter Month","Enter Fleet",3,0,136,0,0,0.908420785904916,1.21123457033885,1.52912425669428,0,0.704104265184498,0.431236610624624,0.200367580517245,0.845813629767111,0.200367580517245,0.4492536503016,0.451228120403187,2.21037814393229,2.00746020620049,5.36015157348813,4.64016927790338,3.20201461766032,3.57545684301975,3.428276550864,3.45197019208303,2.37744710888215,0.888264736951221,9.85871432379335,0.192634239286032,0,0,0,0,0,0.426814620292946,3.63366257622277,4.62910401837574,0.692627657719026,0,0.840795184925579,0.632180078254832,0.200367580517245,0.632755965367794,0,0,0.763934822741947,2.42983226876487,2.24908598488214,5.29655718229953,6.89604250375972,8.15542535022163,6.16376090483383,4.6024898067981,3.3986594993402,0.231815130364388,0,0,0,0,0,0,0
2004,"Enter Month","Enter Fleet",3,0,101,0,0,0.114271673978857,0.114271673978857,0.617220605342079,0.457086695915428,0.574004268093197,0.388677257384365,0.129555627104332,0.613910638575598,1.75186476160613,0.927703788895093,1.34624337967736,1.58075296867184,2.24672035730209,2.85220562592665,5.38414343299999,4.85474589571903,2.02741171286215,3.01991406745214,2.19563895795606,5.59557663927142,5.24965917199573,4.40436214190751,3.71347142985065,2.04826761631239,0.512069498095939,0.512069498095939,0,0,0,0.228543347957714,0.119791743946782,0,0.760161364511491,0.0883626237722643,1.15074781902762,0.777354514768729,0.472370649040903,0.888741640907205,1.19657892626131,1.84531166034885,2.8885633800011,0.644488920897916,1.85613390278596,2.87921453969828,3.44554051497895,4.92819810493508,5.16680624212002,10.0693962029182,3.44455478819896,1.75620195943807,1.64904827041785,0,0.512069498095939,0,0,0
2005,"Enter Month","Enter Fleet",3,0,144,0,0,0.103455961780584,0.134511773783061,0.114061545358765,0.228107237827279,0.971893142642087,0.114061545358765,0.114061545358765,0.114061545358765,0.22812309071753,0.403662144471194,0.887111885577643,2.23376735376264,3.44424649468817,3.47736318242333,3.57994723524009,2.81631351183054,6.2826747884194,6.9380808300827,5.10258563810578,3.66312735038914,2.96423683076627,0,0,0.126410946864599,0,0,0,0,0,0,0.228107237827279,0.114061545358765,0.515662814097278,0.456230328544809,0.264426209393218,0.22812309071753,0.114061545358765,0.296607576603544,0.866899450507118,1.31506065791397,3.15307645944086,3.05233134189326,3.40528009045025,4.32347949381087,7.05394960493012,10.7755265616761,13.0853085241942,4.46233495952282,1.1052476554368,0.76157284767687,0.380786423838435,0,0,0,0,0
2006,"Enter Month","Enter Fleet",3,0,87,0,0,0.0244117728849889,0.0244117728849889,0.0244117728849889,0.0227371732551133,0.0193122002564537,0,0,0.0225704710295148,0.105322971291376,0.105322971291376,0.149408132588282,0.146907599204305,0.320027860488322,0.699194598403351,2.96639033078596,3.17761467957572,4.32374299639117,8.19538197958539,7.9086642547212,6.00637211679976,3.36792547642675,4.84971377606733,2.74916975345726,2.08820805791579,0.0247249710058103,0,0,0,0,0,0,0,0.0216889698668804,0.0634807126661589,0.0193122002564537,0.0193122002564537,0,0,0.181702900111041,0.112809416695526,0.0983265293988341,1.94650611457449,1.74985052998552,4.27780390428231,5.63614920586722,8.68439790679593,12.9321726783488,10.375690491353,4.24302628391465,1.65486057088996,0,0.660961695541471,0,0,0,0
2007,"Enter Month","Enter Fleet",3,0,131,0,0,0,0,0.439697491375892,0.439697491375892,1.11859504300101,1.00025280926088,3.58403220458738,1.95756866865143,1.6623380762934,0.89078546181127,1.285749151339,1.48263725371019,0.766974548138602,0.25027804331257,1.89881942137616,1.17710991827917,5.38729035034239,3.26131758936839,5.59064711983378,5.30327580177879,3.38484725664452,1.50005890549527,0.747927917173561,0.723912599869814,0,0,0,0,0,0,0,0,0,1.11859504300101,1.35131081133023,4.02640153673031,1.24206221107792,1.65266632521271,1.52221487162196,0.881785577122293,1.02317439057812,1.5096056581775,0.851723462293139,4.12822835707417,7.59573080469906,13.5338109730469,6.9477547318925,6.89283356057001,0.945034766742051,0.351136126068385,0.288121308445736,0.155091762886788,0,0.128904598409833,0,0
2008,"Enter Month","Enter Fleet",3,0,95,0,0.26940694813129,1.07764217086471,0.26940694813129,4.84939695806097,4.44527934669426,0,0.251980400597794,0,1.29433812620904,1.25301477834496,1.92136313560528,2.63366607686718,2.35679677050991,3.38726360931406,2.55753276895475,2.58098384075931,4.38355313501002,2.57910027827838,3.36345307902077,2.02045865177761,3.92308681095043,3.19801590416894,0.706565983781808,0.528533383484982,0.27304466803721,0.272440777776148,0,0,0.13471066323542,1.21235283410013,2.94866673970863,0.13471066323542,2.39501439703139,4.18040157552093,0.40411761136671,0.351809212087122,0.4863904702666,0.789112031133131,2.4255971252523,1.76423664101283,2.67667169045851,5.19706520835796,4.30142405950562,4.6175462328319,3.55316089103145,4.00642366697695,3.71409764560441,1.32742268551149,0.938546114066818,1.27383461401204,0.640698810307429,0,0.129663866053689,0,0,0,0
2009,"Enter Month","Enter Fleet",3,0,87,0,0.36349923157733,0,0.330738435621032,0.980530622972016,0.9390700156451,0,0,1.2736669450121,0.652886262524634,2.25758285023293,1.63975063938153,8.8206987076958,5.18399555035589,4.31943814506917,3.71125216858269,1.30398888171387,1.03848083093027,1.56312677772819,0.989376037880216,1.36008264456793,3.19275797124767,2.02556361309354,0.688195120388645,0.341622300055402,0,0,0,0,0,0,0,0.314212434105299,2.86573242583502,2.1888215796091,0.624857581539801,0.282106854068126,0.963567810843532,1.2568133355368,2.62836225868944,6.73707568399082,7.53421865137635,5.11581669388239,5.75465221503022,4.27623029529125,3.34072756631695,4.10514613863058,3.59058323681032,2.31491424315645,2.81979450972741,0.310062733284168,0,0,0,0,0,0,0
2010,"Enter Month","Enter Fleet",3,0,139,0,0,0.0974102499213832,1.36370680493279,0.0935696147537144,0.509764814913798,0.731995707784417,0.313708951529839,0,0,0.222279818159379,0.114595257598373,0.555827974281443,1.34107885888124,1.87282335977052,1.48088287151326,0.683694216455996,1.39271950116754,1.26737291136413,3.3086705029801,8.11647301018099,10.6410179102028,12.2860695881506,5.13692292469016,1.63732148232372,1.077420477753,0,0,0,0,0.0974102499213832,0.288390114596481,2.12935088006198,0.295545438077647,0.731995707784417,1.03262937589312,0.300621436786509,0,0,0.212029970164136,0.215369121122013,0.534472085737654,1.68491355696512,1.8356890656016,1.65478781041108,2.62741031963992,3.65388734047145,4.74366145363638,10.2149398017131,8.70506869660951,3.54214198094336,1.25435878455394,0,0,0,0,0,0
2011,"Enter Month","Enter Fleet",3,0,122,0,0,0,0,0.593696288248516,1.41117836756514,1.09823466179201,3.77669420157392,3.53977328251735,1.42062013899667,2.13644150125603,0.978207759210398,0.878587729433609,0.684794292973713,0.840748788521565,0.872192617885618,0.690901983777973,1.30960387673099,0.999692459804209,1.24137019216951,3.37526801984353,5.03240668885555,5.0939722121625,3.33941228206322,1.76760883186461,0.604144032283098,0,0,0,0,0,0,0.249725513189738,0.243617822385477,0.915003937664189,0.219646932358402,5.28026396721104,4.80416587625962,3.64564471347026,2.89756037272722,0.758560826851996,0.498502537925167,0.692612137203166,1.16293307120561,1.45604474566138,1.89622961468375,3.70074327004329,6.53166514333672,9.59694989106754,6.68634061657498,4.90832715378734,1.44660297422986,0.723308672633521,0,0,0,0,0
2012,"Enter Month","Enter Fleet",3,0,152,0,0,0.200123070968762,0.811171020857756,1.33413414027613,0.222758846782937,0.413560147346904,0.467140660992186,0.148971330836122,0.508478976162817,1.17772899253491,1.70591348335091,2.07623752893633,1.47432452072039,1.8401843429263,4.4571435538876,3.7528877330418,3.46937021607824,1.52404062954596,3.23417250899777,2.56145141145174,2.939464934312,4.38113375934217,2.22888643586042,0.766233794328312,0.383116897164156,0,0,0,0,0.195304856308056,0.295169729969551,1.29805652886769,1.87230905169472,1.00135283667963,0.376037071540261,0.405497012608579,0.248079056479506,0.564606260414473,1.73485227058858,2.6506768804951,2.66052963782169,2.31392300807631,2.40871400670735,3.95715053538231,4.15185557313057,4.20006721901106,8.48588882589155,7.24718483517084,6.83259221325379,3.90457299703375,1.11695065617201,0,0,0,0,0,0
2013,"Enter Month","Enter Fleet",3,0,103,0,0.131819575246009,0.263639150492017,0.910790144877765,1.60269309033784,3.89056656230625,13.6039286871471,5.07337300601396,2.50040289784191,1.61665934697588,2.15350036472514,2.02871603069606,0.835565176754573,0.498707404708635,0.117475500098168,0.334486635191345,0.925785631249395,2.19251989703013,1.39471051480638,1.79803828812778,1.35759310327487,1.83438703441523,0.922958506538149,0.882935800948533,0.165419366169062,0.165419366169062,0,0,0,0,0.131819575246009,0.710389995991215,2.17331629415282,2.24355145230178,3.53303299801723,13.1721733280196,7.88688322268245,1.87580376002375,2.47971407737436,2.57492434184341,2.81244190226148,2.62969499753962,1.40618838056955,0.814785158715693,0.603011369861782,1.64777074702406,2.20518333122059,0.586517637675436,1.73023940795579,1.22362387099035,0.356843068391795,0,0,0,0,0,0,0
2014,"Enter Month","Enter Fleet",3,0,204,0,0,0.205121946199851,0.362378794398741,0.880143973800714,1.31054362447102,0.705953640211052,1.01438143423476,1.23159793891509,1.64810981417693,1.27733324696465,1.35422087124631,1.02560973099925,0.912493607181652,1.09105387248506,1.41101894834393,2.26784558449023,3.23523921762111,3.18686098369922,4.75189243700001,4.32180177140038,4.25080141623307,4.30445998430908,2.36544624368781,1.26713122204202,0,0,0,0,0,0.0476995702845306,0.390981983797816,1.53310115680148,1.2721522294404,1.18156994541944,1.0328046690734,0.980205478382549,1.3637938908465,1.76339986867031,1.17588682715535,0.823439695742401,1.10009168580213,1.20276301071301,1.87480553941814,2.98092795168886,4.44717246382433,6.58717547532525,7.94958445094429,9.41236943380638,5.87013699570395,2.36542417332562,0.211125084715706,0.0519481150062296,0,0,0,0,0
2015,"Enter Month","Enter Fleet",3,0,210,0.0333402035162401,0.0333402035162401,0.0666848270515065,0.149157962065363,0.246407220684522,0.426085414127274,0.436313338154395,0.542407054845408,0.302179020759813,0.697479002368114,0.36413000743403,0.219131283272522,0.175271434473417,0.343934940502345,1.04744284882249,1.16083843694514,1.10110629982218,2.8456966495858,2.98509962965987,3.85280682479226,6.68655616294966,4.99900173870288,5.40020244571145,3.93115166203544,0.694526429658469,0.157984740061112,0,0,0,0,0,0.0992824673713091,0.154563645334668,0.445356697082438,0.260197680046934,0.712763428161453,0.440070354326847,0.517190846299717,1.02193933904008,1.00125807001549,0.390349560298717,0.340266324710421,0.569771392637937,1.19473114283968,2.26687305798177,2.88650668525668,4.38986123659668,8.63790174271184,14.9596914154877,13.0481083268871,7.72267492302647,0.0423658823681772,0,0,0,0,0,0
2016,"Enter Month","Enter Fleet",3,0,218,0,0,0.0649033367522445,0.260311791617416,0.390816909730344,0.682439824538826,0.547550851968678,1.21326515721394,1.07969877124275,0.965971184255929,0.910556291811941,1.57222853464241,1.6675365026471,1.65119735696672,1.16599383169387,3.18798354286176,2.75320177410875,2.57106376680391,4.19124721105124,5.41293828513719,4.87622818512289,3.25681748810192,0.923061422407708,0.216822469349427,0.0547535991445094,0,0,0,0,0.0700747989594067,0,0.129806673504489,0.461300373088305,0.661189275813993,0.876867484847467,1.89001340122017,1.40397768662663,1.15287941963117,0.700911455353489,1.046626676007,1.77961457151612,1.798257098352,3.2750885018482,2.75822463108007,3.5843062765799,10.7188213583767,11.533460400717,7.29027565974037,5.98448145243191,2.35024381661044,0.800930209334252,0.0611287637619594,0,0.054931925427515,0,0,0,0
2017,"Enter Month","Enter Fleet",3,0,229,0,0,0.285942057805872,0.188866148390626,0.425934090672278,0.471172779765378,1.35895027074025,1.21470916515207,0.365784530157928,0.0678458096099552,0.100156364898239,0.0410336228782202,0.26216632005023,1.5126576649238,2.7534871367269,3.42108784965187,1.41103441646223,4.74611399318417,1.60398828038267,4.282253627982,3.26986437830223,10.1747933564452,3.89467365287892,1.37506643148937,0,0,0,0,0,0,0.0182064698268652,0.189257317340847,0.727478899980104,1.13351227030987,0.87942847869359,1.5635487453476,1.44900469749903,0.465063209724108,0.252702476260812,0.146304521800603,0.426948685136915,1.066143197858,1.63869963510293,2.56804860626259,2.99463790492648,10.0633688809747,5.80982949874486,8.58209274508238,10.0537485696052,3.88680382256166,2.83652741524701,0.0210620031634811,0,0,0,0,0,0
