"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","InputN","F-1","F-2","F-3","F-4","F-5","F-6","F-7","F-8","F-9","F-10","F-11","F-12","F-13","F-14","F-15","F-16","F-17","F-18","F-19","F-20","F-21","F-22","F-23","F-24","F-25","F-26","F-27","F-28","F-29","F-30","F-31","F-32","F-33","F-34","F-35","M-1","M-2","M-3","M-4","M-5","M-6","M-7","M-8","M-9","M-10","M-11","M-12","M-13","M-14","M-15","M-16","M-17","M-18","M-19","M-20","M-21","M-22","M-23","M-24","M-25","M-26","M-27","M-28","M-29","M-30","M-31","M-32","M-33","M-34","M-35"
2003,7,"OR",3,0,"NA",-1,-1,43,33,0,0,0,0,0,0,3,1,5,4,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,6,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,"OR",3,0,"NA",-1,-1,121,75,0,0,0,0,0,0,1,4,5,14,10,8,14,3,4,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,12,6,7,4,7,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,"OR",3,0,"NA",-1,-1,122,90,0,0,0,0,0,1,0,8,15,9,5,6,4,6,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,11,12,3,10,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,"OR",3,0,"NA",-1,-1,104,80,0,0,0,0,0,0,1,2,7,9,10,5,5,5,0,3,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,10,5,9,5,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,"OR",3,0,"NA",-1,-1,330,175,0,0,0,0,1,0,2,9,20,25,22,24,11,16,13,8,9,6,11,3,7,1,0,2,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,8,8,19,35,21,17,11,2,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2008,7,"OR",3,0,"NA",-1,-1,143,86,0,0,0,0,0,0,0,2,9,16,18,7,4,3,8,6,5,3,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,11,9,4,1,2,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,"OR",3,0,"NA",-1,-1,5,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,"OR",3,0,"NA",-1,-1,8,7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,"OR",3,0,"NA",-1,-1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,"OR",3,0,"NA",-1,-1,33,28,0,0,0,0,0,0,0,3,1,4,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,3,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
