"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","InputN","F-1","F-2","F-3","F-4","F-5","F-6","F-7","F-8","F-9","F-10","F-11","F-12","F-13","F-14","F-15","F-16","F-17","F-18","F-19","F-20","F-21","F-22","F-23","F-24","F-25","F-26","F-27","F-28","F-29","F-30","F-31","F-32","F-33","F-34","F-35","M-1","M-2","M-3","M-4","M-5","M-6","M-7","M-8","M-9","M-10","M-11","M-12","M-13","M-14","M-15","M-16","M-17","M-18","M-19","M-20","M-21","M-22","M-23","M-24","M-25","M-26","M-27","M-28","M-29","M-30","M-31","M-32","M-33","M-34","M-35"
2009,7,"WA",0,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,"WA",0,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,"WA",3,0,0,-1,-1,100,49,0,0,0,0,0,0,0,3,3,3,3,7,4,8,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,6,11,7,4,8,3,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2004,7,"WA",3,0,0,-1,-1,53,27,0,0,0,0,0,0,0,0,1,2,2,1,1,2,1,1,3,2,1,0,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,3,4,0,1,3,5,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2005,7,"WA",3,0,0,-1,-1,143,83,0,0,0,0,0,0,3,2,6,10,14,13,13,9,1,4,6,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,3,10,4,11,1,2,2,0,1,1,0,1,1,2,1,0,1,0,0,0,1,0,0,0,0,1
2006,7,"WA",3,0,0,-1,-1,126,81,0,0,1,2,1,2,2,5,7,5,5,7,6,6,5,7,1,2,1,4,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,4,7,6,10,3,0,1,5,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,7,"WA",3,0,0,-1,-1,57,33,0,0,0,1,2,0,0,1,3,2,4,4,5,2,2,4,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,5,1,2,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1
2008,7,"WA",3,0,0,-1,-1,299,129,0,0,0,0,4,1,1,2,0,9,12,11,12,13,20,22,10,15,16,11,8,7,4,4,4,2,3,0,2,0,0,1,0,0,1,0,0,0,0,2,1,1,3,4,5,4,6,15,9,10,7,3,5,5,7,2,4,2,2,0,1,1,0,1,1,0,1,0,0,2
2009,7,"WA",3,0,0,-1,-1,226,130,0,0,0,0,0,0,0,4,7,8,7,8,13,15,12,11,14,12,4,14,8,5,6,2,4,0,3,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,6,4,5,8,4,4,6,7,0,3,2,1,3,0,4,0,0,0,0,1,0,1,0,0,0,0,3
2010,7,"WA",3,0,0,-1,-1,233,118,0,0,0,0,0,0,0,2,4,14,6,8,14,12,6,9,2,10,5,7,3,3,3,1,3,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,10,15,13,9,14,8,7,7,7,0,1,3,3,0,1,3,1,0,0,0,0,1,0,0,0,0,7
