"year","C_ca_mrfss_U_N","C_debWV_U_N","O_or_mrfss_U_N","O_or_recfin_U_N","C_recfin_U_N","O_recfin_F_N","O_recfin_M_N","O_recfin_U_N","W_recfin_F_N","W_recfin_M_N","W_recfin_U_N","W_wa_sport_F_N","W_wa_sport_M_N","W_wa_sport_U_N","C_ca_mrfss_U_ntrip","C_debWV_U_ntrip","O_or_mrfss_U_ntrip","O_or_recfin_U_ntrip","C_recfin_U_ntrip","O_recfin_F_ntrip","O_recfin_M_ntrip","O_recfin_U_ntrip","W_recfin_F_ntrip","W_recfin_M_ntrip","W_recfin_U_ntrip","W_wa_sport_F_ntrip","W_wa_sport_M_ntrip","W_wa_sport_U_ntrip"
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1980,873,0,112,0,0,0,0,0,0,0,0,0,0,15,207,0,32,0,0,0,0,0,0,0,0,0,0,5
1981,437,0,77,0,0,0,0,0,0,0,0,0,2,43,119,0,22,0,0,0,0,0,0,0,0,0,1,4
1982,636,0,193,0,0,0,0,0,0,0,0,0,0,6,160,0,55,0,0,0,0,0,0,0,0,0,0,1
1983,439,0,32,0,0,0,0,0,0,0,0,0,0,3,150,0,15,0,0,0,0,0,0,0,0,0,0,1
1984,546,0,281,0,0,0,0,0,0,0,0,0,0,0,151,0,73,0,0,0,0,0,0,0,0,0,0,0
1985,1109,0,306,0,0,0,0,0,0,0,0,0,0,0,315,0,81,0,0,0,0,0,0,0,0,0,0,0
1986,1386,0,135,0,0,0,0,0,0,0,0,0,0,0,294,0,36,0,0,0,0,0,0,0,0,0,0,0
1987,618,103,203,0,0,0,0,0,0,0,0,0,0,1,107,32,53,0,0,0,0,0,0,0,0,0,0,1
1988,393,1089,348,0,0,0,0,0,0,0,0,0,0,0,133,141,85,0,0,0,0,0,0,0,0,0,0,0
1989,568,1575,150,0,0,0,0,0,0,0,0,0,0,0,148,164,35,0,0,0,0,0,0,0,0,0,0,0
1990,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0
1993,571,1367,525,0,0,0,0,0,0,0,14,0,0,0,198,167,123,0,0,0,0,0,0,0,2,0,0,0
1994,483,1366,643,0,0,0,0,0,0,0,18,0,0,0,127,166,130,0,0,0,0,0,0,0,5,0,0,0
1995,489,1761,599,0,0,0,0,0,0,0,54,0,0,38,127,187,106,0,0,0,0,0,0,0,20,0,0,15
1996,1112,1642,329,0,0,0,0,0,0,0,34,0,0,15,215,155,77,0,0,0,0,0,0,0,16,0,0,7
1997,1760,2067,443,0,0,0,0,0,0,0,30,0,0,14,200,194,110,0,0,0,0,0,0,0,13,0,0,6
1998,737,645,705,0,0,0,0,0,0,0,19,0,0,4,155,94,169,0,0,0,0,0,0,0,11,0,0,3
1999,983,0,765,0,0,237,156,0,0,0,9,0,0,0,206,0,165,0,0,35,35,0,0,0,5,0,0,0
2000,393,0,366,0,0,251,116,0,0,0,0,0,0,0,93,0,94,0,0,28,29,0,0,0,0,0,0,0
2001,175,0,178,1005,0,17,1,1005,0,0,0,0,0,0,65,0,63,437,0,3,1,232,0,0,0,0,0,0
2002,117,0,153,1540,0,0,0,1540,97,45,56,97,45,56,50,0,65,595,0,0,0,323,6,5,10,6,5,11
2003,49,0,36,1845,0,0,0,1847,123,74,32,123,74,32,34,0,18,787,0,0,0,361,6,5,12,6,5,12
2004,0,0,0,23,209,0,0,23,28,12,4,28,12,4,0,0,0,18,106,0,0,17,6,4,1,6,4,1
2005,0,0,0,18,398,0,0,18,34,7,10,34,7,10,0,0,0,11,167,0,0,11,5,3,4,5,3,4
2006,0,0,0,20,599,0,0,20,4,0,11,4,0,11,0,0,0,11,182,0,0,11,2,0,4,2,0,4
2007,0,0,0,9,348,0,0,9,4,3,3,4,3,3,0,0,0,8,128,0,0,8,2,2,2,2,2,2
2008,0,0,0,29,141,0,0,29,7,3,3,7,3,3,0,0,0,19,70,0,0,14,4,2,3,4,2,3
2009,0,0,0,16,172,0,0,16,5,3,5,5,3,5,0,0,0,9,75,0,0,9,2,2,4,2,2,4
2010,0,0,0,28,92,0,0,28,8,3,1,8,3,1,0,0,0,17,54,0,0,17,2,1,1,2,1,1
2011,0,0,0,47,205,0,0,47,0,1,10,0,1,10,0,0,0,20,82,0,0,17,0,1,5,0,1,5
2012,0,0,0,32,127,0,0,32,2,5,2,2,5,2,0,0,0,15,56,0,0,14,2,2,2,2,2,2
