"year","month","fleet","sex","partition","Nsamp","InputN","U-12","U-14","U-16","U-18","U-20","U-22","U-24","U-26","U-28","U-30","U-32","U-34","U-36","U-38","U-40","U-42","U-44","U-46","U-48","U-50","U-52","U-54","U-56","U-58","U-60","U-62","U-64","U-66","U-12.1","U-14.1","U-16.1","U-18.1","U-20.1","U-22.1","U-24.1","U-26.1","U-28.1","U-30.1","U-32.1","U-34.1","U-36.1","U-38.1","U-40.1","U-42.1","U-44.1","U-46.1","U-48.1","U-50.1","U-52.1","U-54.1","U-56.1","U-58.1","U-60.1","U-62.1","U-64.1","U-66.1"
1980,7,"CA",0,0,873,207,0,0,1,9,17,26,47,71,108,129,109,112,76,54,35,28,14,13,8,9,3,2,0,0,1,0,1,0,0,0,1,9,17,26,47,71,108,129,109,112,76,54,35,28,14,13,8,9,3,2,0,0,1,0,1,0
1981,7,"CA",0,0,437,119,0,0,0,3,9,10,23,27,56,58,73,65,43,21,18,4,6,6,3,6,1,3,1,0,0,0,0,1,0,0,0,3,9,10,23,27,56,58,73,65,43,21,18,4,6,6,3,6,1,3,1,0,0,0,0,1
1982,7,"CA",0,0,636,160,0,0,1,0,2,25,38,69,85,91,79,68,55,37,37,15,8,7,6,4,2,1,4,0,2,0,0,0,0,0,1,0,2,25,38,69,85,91,79,68,55,37,37,15,8,7,6,4,2,1,4,0,2,0,0,0
1983,7,"CA",0,0,439,150,0,0,2,6,9,22,22,47,59,58,55,46,35,34,16,8,3,3,4,4,1,2,1,2,0,0,0,0,0,0,2,6,9,22,22,47,59,58,55,46,35,34,16,8,3,3,4,4,1,2,1,2,0,0,0,0
1984,7,"CA",0,0,546,151,0,0,1,9,31,43,49,48,46,55,64,52,43,42,16,14,15,4,5,6,1,2,0,0,0,0,0,0,0,0,1,9,31,43,49,48,46,55,64,52,43,42,16,14,15,4,5,6,1,2,0,0,0,0,0,0
1985,7,"CA",0,0,1109,315,0,0,1,8,31,61,91,129,144,125,122,123,99,65,46,18,15,3,14,3,6,3,0,1,0,1,0,0,0,0,1,8,31,61,91,129,144,125,122,123,99,65,46,18,15,3,14,3,6,3,0,1,0,1,0,0
1986,7,"CA",0,0,1386,294,0,1,2,2,12,41,94,161,213,256,200,146,97,42,29,21,18,12,14,8,11,3,1,0,1,0,1,0,0,1,2,2,12,41,94,161,213,256,200,146,97,42,29,21,18,12,14,8,11,3,1,0,1,0,1,0
1987,7,"CA",0,0,618,107,0,0,1,2,7,17,23,27,53,45,53,68,59,40,23,26,54,44,33,12,10,11,7,2,0,1,0,0,0,0,1,2,7,17,23,27,53,45,53,68,59,40,23,26,54,44,33,12,10,11,7,2,0,1,0,0
1988,7,"CA",0,0,393,133,0,0,1,1,8,20,35,40,52,46,26,28,28,26,13,13,12,16,9,9,7,1,1,0,1,0,0,0,0,0,1,1,8,20,35,40,52,46,26,28,28,26,13,13,12,16,9,9,7,1,1,0,1,0,0,0
1989,7,"CA",0,0,568,148,0,0,1,4,16,14,28,59,107,104,61,57,45,30,11,8,7,4,1,4,5,1,1,0,0,0,0,0,0,0,1,4,16,14,28,59,107,104,61,57,45,30,11,8,7,4,1,4,5,1,1,0,0,0,0,0
1993,7,"CA",0,0,571,198,0,0,1,9,12,31,65,80,124,82,68,40,20,11,10,11,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,9,12,31,65,80,124,82,68,40,20,11,10,11,2,1,2,0,2,0,0,0,0,0,0,0
1994,7,"CA",0,0,483,127,0,0,0,0,7,17,36,51,88,103,76,52,29,14,6,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,17,36,51,88,103,76,52,29,14,6,2,0,0,0,0,1,0,1,0,0,0,0,0
1995,7,"CA",0,0,489,127,0,0,1,5,16,37,56,55,72,74,62,43,35,17,7,1,2,1,0,1,2,1,0,0,0,1,0,0,0,0,1,5,16,37,56,55,72,74,62,43,35,17,7,1,2,1,0,1,2,1,0,0,0,1,0,0
1996,7,"CA",0,0,1112,215,0,1,4,3,29,41,54,97,137,199,189,137,94,39,19,25,18,17,7,0,2,0,0,0,0,0,0,0,0,1,4,3,29,41,54,97,137,199,189,137,94,39,19,25,18,17,7,0,2,0,0,0,0,0,0,0
1997,7,"CA",0,0,1760,200,0,0,1,15,26,53,99,141,135,199,227,235,197,132,103,77,47,27,18,16,6,4,2,0,0,0,0,0,0,0,1,15,26,53,99,141,135,199,227,235,197,132,103,77,47,27,18,16,6,4,2,0,0,0,0,0
1998,7,"CA",0,0,737,155,0,0,0,1,10,24,46,33,48,90,99,87,85,82,52,25,19,12,9,13,2,0,0,0,0,0,0,0,0,0,0,1,10,24,46,33,48,90,99,87,85,82,52,25,19,12,9,13,2,0,0,0,0,0,0,0
1999,7,"CA",0,0,983,206,0,0,1,1,3,18,27,46,82,106,109,113,139,121,108,50,30,12,10,6,1,0,0,0,0,0,0,0,0,0,1,1,3,18,27,46,82,106,109,113,139,121,108,50,30,12,10,6,1,0,0,0,0,0,0,0
2000,7,"CA",0,0,393,93,0,0,0,1,0,4,7,11,23,52,53,50,44,45,34,29,19,11,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,11,23,52,53,50,44,45,34,29,19,11,5,5,0,0,0,0,0,0,0,0
2001,7,"CA",0,0,175,65,0,0,0,1,3,1,1,5,6,13,22,27,34,26,17,11,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,5,6,13,22,27,34,26,17,11,6,0,2,0,0,0,0,0,0,0,0,0
2002,7,"CA",0,0,117,50,1,0,0,0,2,6,4,4,9,3,6,17,13,23,11,5,4,4,3,2,0,0,0,0,0,0,0,0,1,0,0,0,2,6,4,4,9,3,6,17,13,23,11,5,4,4,3,2,0,0,0,0,0,0,0,0
2003,7,"CA",0,0,49,34,0,0,0,1,0,0,1,1,9,3,1,5,9,10,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,9,3,1,5,9,10,3,4,1,0,0,0,0,0,0,1,0,0,0,0
2004,7,"CA",0,0,209,106,0,0,1,4,0,8,5,11,41,36,39,28,14,6,10,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,4,0,8,5,11,41,36,39,28,14,6,10,2,1,0,1,1,0,0,1,0,0,0,0,0
2005,7,"CA",0,0,398,167,0,0,0,1,1,8,30,43,51,68,68,53,39,9,5,3,6,6,3,1,1,2,0,0,0,0,0,0,0,0,0,1,1,8,30,43,51,68,68,53,39,9,5,3,6,6,3,1,1,2,0,0,0,0,0,0
2006,7,"CA",0,0,599,182,0,0,0,0,7,14,28,55,89,107,86,88,64,28,10,6,6,4,4,0,0,0,1,0,0,0,2,0,0,0,0,0,7,14,28,55,89,107,86,88,64,28,10,6,6,4,4,0,0,0,1,0,0,0,2,0
2007,7,"CA",0,0,348,128,0,0,0,1,2,5,14,31,51,55,71,42,27,17,17,3,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,1,2,5,14,31,51,55,71,42,27,17,17,3,2,4,2,4,0,0,0,0,0,0,0,0
2008,7,"CA",0,0,141,70,0,0,0,0,0,2,4,9,17,25,32,19,14,3,3,2,1,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,17,25,32,19,14,3,3,2,1,6,1,2,1,0,0,0,0,0,0,0
2009,7,"CA",0,0,172,75,0,0,0,1,1,0,4,4,17,21,39,35,27,12,4,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,17,21,39,35,27,12,4,1,3,1,1,1,0,0,0,0,0,0,0,0
2010,7,"CA",0,0,92,54,0,0,0,0,4,5,3,7,23,12,9,12,7,5,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,3,7,23,12,9,12,7,5,3,0,1,0,0,0,0,0,0,0,0,0,0,1
2011,7,"CA",0,0,205,82,0,0,0,1,4,3,14,27,44,39,20,15,15,9,7,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,14,27,44,39,20,15,15,9,7,3,1,2,1,0,0,0,0,0,0,0,0,0
2012,7,"CA",0,0,127,56,0,0,0,3,3,1,3,10,20,26,29,17,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,10,20,26,29,17,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,"CA",0,0,134,60,0,0,0,0,2,2,6,14,36,30,20,11,9,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,6,14,36,30,20,11,9,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2014,7,"CA",0,0,136,63,0,1,0,2,1,3,7,16,23,29,15,19,7,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,7,16,23,29,15,19,7,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0
2015,7,"CA",0,0,163,87,0,0,0,1,2,7,9,15,14,28,32,24,15,9,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,7,9,15,14,28,32,24,15,9,1,1,1,2,1,0,0,1,0,0,0,0,0,0
2016,7,"CA",0,0,133,56,0,0,0,1,1,1,7,10,18,23,28,20,15,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,7,10,18,23,28,20,15,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0
2017,7,"CA",0,0,3252,667,0,0,0,1,2,5,18,93,214,371,536,597,517,362,200,129,65,63,36,32,10,1,0,0,0,0,0,0,0,0,0,1,2,5,18,93,214,371,536,597,517,362,200,129,65,63,36,32,10,1,0,0,0,0,0,0
2018,7,"CA",0,0,2887,609,0,0,1,3,6,9,20,57,113,288,406,568,515,395,212,108,70,46,28,27,7,3,1,4,0,0,0,0,0,0,1,3,6,9,20,57,113,288,406,568,515,395,212,108,70,46,28,27,7,3,1,4,0,0,0,0
2019,7,"CA",0,0,3018,637,0,0,0,3,21,29,65,88,129,232,369,497,519,382,259,163,116,60,43,21,12,6,3,1,0,0,0,0,0,0,0,3,21,29,65,88,129,232,369,497,519,382,259,163,116,60,43,21,12,6,3,1,0,0,0,0
2021,7,"CA",0,0,2165,359,0,0,1,0,7,22,63,147,216,345,299,261,171,129,115,118,91,94,50,21,4,8,3,0,0,0,0,0,0,0,1,0,7,22,63,147,216,345,299,261,171,129,115,118,91,94,50,21,4,8,3,0,0,0,0,0
