"year","month","fleet","sex","partition","Nsamp","InputN","F-12","F-14","F-16","F-18","F-20","F-22","F-24","F-26","F-28","F-30","F-32","F-34","F-36","F-38","F-40","F-42","F-44","F-46","F-48","F-50","F-52","F-54","F-56","F-58","F-60","F-62","F-64","F-66","M-12","M-14","M-16","M-18","M-20","M-22","M-24","M-26","M-28","M-30","M-32","M-34","M-36","M-38","M-40","M-42","M-44","M-46","M-48","M-50","M-52","M-54","M-56","M-58","M-60","M-62","M-64","M-66"
1980,7,"OR",0,0,112,32,0,0,0,0,0,0,3,5,13,14,11,15,17,9,5,3,1,2,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,13,14,11,15,17,9,5,3,1,2,8,5,1,0,0,0,0,0,0,0
1981,7,"OR",0,0,77,22,0,0,0,0,0,0,2,8,11,7,12,13,11,6,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,8,11,7,12,13,11,6,2,1,1,0,1,0,0,1,1,0,0,0,0,0
1982,7,"OR",0,0,193,55,0,0,0,0,1,1,0,15,20,27,39,37,31,12,2,2,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,15,20,27,39,37,31,12,2,2,1,2,2,0,0,0,0,0,1,0,0,0
1983,7,"OR",0,0,32,15,0,0,0,0,0,1,0,0,3,6,10,4,1,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,6,10,4,1,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0
1984,7,"OR",0,0,281,73,0,0,0,0,0,3,11,20,37,39,33,37,31,26,17,11,8,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,11,20,37,39,33,37,31,26,17,11,8,3,3,0,0,1,1,0,0,0,0,0
1985,7,"OR",0,0,306,81,0,0,0,1,0,8,12,18,31,24,46,47,37,26,14,8,11,8,4,5,3,1,0,1,1,0,0,0,0,0,0,1,0,8,12,18,31,24,46,47,37,26,14,8,11,8,4,5,3,1,0,1,1,0,0,0
1986,7,"OR",0,0,135,36,0,0,0,0,1,0,7,12,25,16,13,11,5,9,1,3,9,12,3,5,2,1,0,0,0,0,0,0,0,0,0,0,1,0,7,12,25,16,13,11,5,9,1,3,9,12,3,5,2,1,0,0,0,0,0,0
1987,7,"OR",0,0,203,53,0,0,1,1,3,4,17,25,35,20,23,27,13,11,5,2,4,1,4,1,4,2,0,0,0,0,0,0,0,0,1,1,3,4,17,25,35,20,23,27,13,11,5,2,4,1,4,1,4,2,0,0,0,0,0,0
1988,7,"OR",0,0,348,85,1,0,0,2,4,9,28,41,50,71,42,46,23,15,5,2,2,1,2,0,0,2,1,1,0,0,0,0,1,0,0,2,4,9,28,41,50,71,42,46,23,15,5,2,2,1,2,0,0,2,1,1,0,0,0,0
1989,7,"OR",0,0,150,35,0,0,0,0,0,1,3,12,17,33,22,24,16,7,4,3,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,12,17,33,22,24,16,7,4,3,4,1,1,0,1,0,0,1,0,0,0,0
