"year","month","fleet","sex","partition","Nsamp","InputN","U-12","U-14","U-16","U-18","U-20","U-22","U-24","U-26","U-28","U-30","U-32","U-34","U-36","U-38","U-40","U-42","U-44","U-46","U-48","U-50","U-52","U-54","U-56","U-58","U-60","U-62","U-64","U-66","U-12.1","U-14.1","U-16.1","U-18.1","U-20.1","U-22.1","U-24.1","U-26.1","U-28.1","U-30.1","U-32.1","U-34.1","U-36.1","U-38.1","U-40.1","U-42.1","U-44.1","U-46.1","U-48.1","U-50.1","U-52.1","U-54.1","U-56.1","U-58.1","U-60.1","U-62.1","U-64.1","U-66.1"
1980,7,"CA",0,0,873,206,0,0,1,9,17,26,47,71,108,129,109,112,76,54,35,28,14,13,8,9,3,2,0,0,1,0,1,0,0,0,1,9,17,26,47,71,108,129,109,112,76,54,35,28,14,13,8,9,3,2,0,0,1,0,1,0
1981,7,"CA",0,0,437,119,0,0,0,3,9,10,23,27,56,58,73,65,43,21,18,4,6,6,3,6,1,3,1,0,0,0,0,1,0,0,0,3,9,10,23,27,56,58,73,65,43,21,18,4,6,6,3,6,1,3,1,0,0,0,0,1
1982,7,"CA",0,0,636,160,0,0,1,0,2,25,38,69,85,91,79,68,55,37,37,15,8,7,6,4,2,1,4,0,2,0,0,0,0,0,1,0,2,25,38,69,85,91,79,68,55,37,37,15,8,7,6,4,2,1,4,0,2,0,0,0
1983,7,"CA",0,0,439,150,0,0,2,6,9,22,22,47,59,58,55,46,35,34,16,8,3,3,4,4,1,2,1,2,0,0,0,0,0,0,2,6,9,22,22,47,59,58,55,46,35,34,16,8,3,3,4,4,1,2,1,2,0,0,0,0
1984,7,"CA",0,0,546,151,0,0,1,9,31,43,49,48,46,55,64,52,43,42,16,14,15,4,5,6,1,2,0,0,0,0,0,0,0,0,1,9,31,43,49,48,46,55,64,52,43,42,16,14,15,4,5,6,1,2,0,0,0,0,0,0
1985,7,"CA",0,0,1109,313,0,0,1,8,31,61,91,129,144,125,122,123,99,65,46,18,15,3,14,3,6,3,0,1,0,1,0,0,0,0,1,8,31,61,91,129,144,125,122,123,99,65,46,18,15,3,14,3,6,3,0,1,0,1,0,0
1986,7,"CA",0,0,1386,294,0,1,2,2,12,41,94,161,213,256,200,146,97,42,29,21,18,12,14,8,11,3,1,0,1,0,1,0,0,1,2,2,12,41,94,161,213,256,200,146,97,42,29,21,18,12,14,8,11,3,1,0,1,0,1,0
1987,7,"CA",0,0,618,107,0,0,1,2,7,17,23,27,53,45,53,68,59,40,23,26,54,44,33,12,10,11,7,2,0,1,0,0,0,0,1,2,7,17,23,27,53,45,53,68,59,40,23,26,54,44,33,12,10,11,7,2,0,1,0,0
1988,7,"CA",0,0,1283,203,0,0,0,0,17,66,103,141,151,134,116,159,165,116,49,19,12,10,14,4,5,0,2,0,0,0,0,0,0,0,0,0,17,66,103,141,151,134,116,159,165,116,49,19,12,10,14,4,5,0,2,0,0,0,0,0
1989,7,"CA",0,0,1779,232,0,0,1,5,27,45,85,141,243,298,217,178,164,122,73,63,34,27,21,16,7,3,3,4,1,0,1,0,0,0,1,5,27,45,85,141,243,298,217,178,164,122,73,63,34,27,21,16,7,3,3,4,1,0,1,0
