"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","InputN","F-1","F-2","F-3","F-4","F-5","F-6","F-7","F-8","F-9","F-10","F-11","F-12","F-13","F-14","F-15","F-16","F-17","F-18","F-19","F-20","F-21","F-22","F-23","F-24","F-25","F-26","F-27","F-28","F-29","F-30","F-31","F-32","F-33","F-34","F-35","M-1","M-2","M-3","M-4","M-5","M-6","M-7","M-8","M-9","M-10","M-11","M-12","M-13","M-14","M-15","M-16","M-17","M-18","M-19","M-20","M-21","M-22","M-23","M-24","M-25","M-26","M-27","M-28","M-29","M-30","M-31","M-32","M-33","M-34","M-35"
2005,7,"WA",0,0,0,-1,-1,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,"WA",0,0,0,-1,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,"WA",0,0,0,-1,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,"WA",0,0,0,-1,-1,4,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,"WA",0,0,0,-1,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,"WA",0,0,0,-1,-1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,"WA",0,0,0,-1,-1,6,5,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,"WA",3,0,0,-1,-1,40,6,0,0,0,0,6,4,6,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,"WA",3,0,0,-1,-1,41,6,0,0,0,2,12,8,1,2,2,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,"WA",3,0,0,-1,-1,4,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,"WA",3,0,0,-1,-1,7,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,"WA",3,0,0,-1,-1,9,4,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,"WA",3,0,0,-1,-1,8,3,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,"WA",3,0,0,-1,-1,11,2,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,"WA",3,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,"WA",3,0,0,-1,-1,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,"WA",3,0,0,-1,-1,8,4,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,"WA",3,0,0,-1,-1,5,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,"WA",3,0,0,-1,-1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,"WA",3,0,0,-1,-1,1192,85,0,0,7,22,57,121,219,107,34,10,11,7,8,14,11,14,6,7,4,7,4,4,5,7,6,3,1,1,0,2,1,1,0,0,1,0,0,4,21,48,87,168,64,13,9,3,5,6,8,8,9,4,4,2,3,4,3,1,3,2,2,2,2,1,1,2,0,0,0,1
2018,7,"WA",3,0,0,-1,-1,281,26,0,0,1,10,54,18,25,16,6,6,6,2,3,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,58,19,19,13,5,3,3,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,"WA",3,0,0,-1,-1,397,25,0,1,0,0,1,10,35,62,24,9,4,5,7,5,10,5,11,8,2,3,4,3,7,3,4,0,2,4,0,1,0,0,1,0,0,0,0,0,0,3,7,32,31,17,8,3,2,3,3,6,1,4,2,2,3,4,3,7,7,4,1,1,0,2,2,3,0,0,0,5
2020,7,"WA",3,0,0,-1,-1,424,31,0,1,0,0,5,15,60,54,33,13,6,4,14,9,10,8,12,11,6,6,8,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,12,34,25,19,12,1,1,1,0,4,5,2,4,2,0,1,1,2,0,0,3,0,1,1,0,0,1,0,0,1
2021,7,"WA",3,0,0,-1,-1,821,45,0,0,0,0,9,33,53,40,16,13,23,27,33,37,36,48,31,21,25,15,21,22,14,6,1,7,4,3,1,0,1,0,0,0,0,0,0,0,0,5,26,47,24,12,15,14,11,10,13,12,12,15,8,4,9,8,8,3,2,4,4,2,3,0,2,2,1,1,0,4
