"year","month","fleet","sex","partition","Nsamp","F-12","F-14","F-16","F-18","F-20","F-22","F-24","F-26","F-28","F-30","F-32","F-34","F-36","F-38","F-40","F-42","F-44","F-46","F-48","F-50","F-52","F-54","F-56","F-58","F-60","F-62","F-64","F-66","M-12","M-14","M-16","M-18","M-20","M-22","M-24","M-26","M-28","M-30","M-32","M-34","M-36","M-38","M-40","M-42","M-44","M-46","M-48","M-50","M-52","M-54","M-56","M-58","M-60","M-62","M-64","M-66"
1979,7,"WA",0,0,40,0,0,0,0,0,0,0,0,1,0,3,5,4,3,2,3,1,6,2,1,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,5,4,3,2,3,1,6,2,1,0,3,2,1,1,1,1,0
1980,7,"WA",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,2,1,0,0,1,0,1,1,0,0,0
1981,7,"WA",0,0,43,0,0,0,0,0,0,0,4,1,2,6,4,1,9,2,6,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,6,4,1,9,2,6,1,3,3,1,0,0,0,0,0,0,0,0
1982,7,"WA",0,0,6,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,7,"WA",0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,7,"WA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,"WA",0,0,38,0,0,0,0,0,0,0,0,0,2,3,9,9,5,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,9,5,4,3,3,0,0,0,0,0,0,0,0,0,0,0
1996,7,"WA",0,0,15,0,0,0,0,0,0,0,0,0,0,2,3,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
1997,7,"WA",0,0,14,0,0,0,0,0,0,0,0,0,1,1,3,1,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0
1998,7,"WA",0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
