"Type","Fleet","Francis","MI"
"Length","1_CA_TWL","0.210","0.223"
"Length","2_OR_TWL","0.269","0.673"
"Length","3_WA_TWL","0.203","0.111"
"Length","4_CA_NTWL","0.212","0.117"
"Length","5_OR_NTWL","1.676","0.622"
"Length","6_WA_NTWL","1.773","0.529"
"Length","7_CA_REC","0.177","0.522"
"Length","8_OR_REC","0.230","0.191"
"Length","9_WA_REC","0.842","0.333"
"Length","11_OR_ASHOP","0.218","0.303"
"Length","12_WA_ASHOP","0.113","0.766"
"Length","28_coastwide_NWFSC","0.050","0.482"
"Length","29_coastwide_Tri_early","0.097","0.934"
"Length","30_coastwide_Tri_late","0.045","0.446"
"Age","1_CA_TWL","2.006","0.179"
"Age","2_OR_TWL","0.251","0.785"
"Age","3_WA_TWL","0.226","0.394"
"Age","4_CA_NTWL","0.620","0.966"
"Age","5_OR_NTWL","0.303","1.015"
"Age","6_WA_NTWL","1.110","0.632"
"Age","8_OR_REC","1.096","0.712"
"Age","9_WA_REC","0.976","0.377"
"Age","11_OR_ASHOP","0.519","0.326"
"Age","12_WA_ASHOP","0.112","0.930"
"CAAL","28_coastwide_NWFSC","0.195","0.245"
"CAAL","29_coastwide_Tri_early","0.129","0.190"
"CAAL","30_coastwide_Tri_late","0.186","0.426"
