"year","O_or_ora_N","W_wa_sport_N","O_or_ora_ntrip","W_wa_sport_ntrip"
1999,393,0,37,0
2000,367,0,30,0
2004,0,40,0,6
2005,0,44,0,6
2006,0,4,0,2
2007,0,7,0,2
2008,0,9,0,4
2009,0,8,0,3
2010,0,11,0,2
2011,0,1,0,1
2012,0,7,0,2
2014,0,8,0,4
2015,315,5,129,3
2016,259,4,102,4
2017,238,1193,105,85
2018,192,285,102,27
2019,201,398,102,25
2020,241,424,88,31
2021,616,823,130,45
2022,449,938,136,52
