"Year","Trips_NTWL.C","Trips_NTWL.O","Trips_NTWL.W","Trips_TWL.C","Trips_TWL.O","Trips_TWL.W","Lengths_NTWL.C","Lengths_NTWL.O","Lengths_NTWL.W","Lengths_TWL.C","Lengths_TWL.O","Lengths_TWL.W"
1968,0,0,0,0,0,2,0,0,0,0,0,402
1969,0,0,0,0,0,2,0,0,0,0,0,718
1970,0,0,0,0,0,1,0,0,0,0,0,268
1971,0,0,0,0,0,8,0,0,0,0,0,1804
1972,0,0,0,0,0,2,0,0,0,0,0,501
1973,0,0,0,0,1,1,0,0,0,0,51,230
1974,0,0,0,0,4,0,0,0,0,0,370,0
1975,0,0,0,0,0,5,0,0,0,0,0,1244
1976,0,0,0,0,2,4,0,0,0,0,89,766
1977,0,0,0,25,8,2,0,0,0,64,750,481
1978,1,0,0,71,7,4,1,0,0,384,670,721
1979,13,0,0,32,6,8,49,0,0,170,600,800
1980,12,0,1,103,21,18,45,0,22,318,1034,1654
1981,16,0,0,60,7,18,79,0,0,192,603,1765
1982,10,0,0,90,20,13,70,0,0,437,1358,1300
1983,6,0,0,125,30,17,36,0,0,421,2836,1650
1984,10,0,0,82,21,17,33,0,0,373,2064,1550
1985,25,0,0,94,29,18,89,0,0,447,1891,1750
1986,29,0,0,57,16,17,100,0,0,396,1545,1650
1987,15,0,0,60,35,25,121,0,0,305,1751,1300
1988,13,3,0,52,23,19,94,287,0,272,1148,950
1989,27,0,0,45,23,18,330,0,0,247,1130,900
1990,19,1,0,49,22,17,84,100,0,349,1099,850
1991,15,0,0,36,22,22,207,0,0,191,869,1100
1992,148,0,0,29,34,20,1841,0,0,229,1364,1000
1993,154,0,0,34,22,17,1415,0,0,252,1113,854
1994,148,0,0,16,15,15,2057,0,0,151,750,750
1995,83,0,0,16,16,22,1323,0,0,273,847,1100
1996,106,1,0,24,19,16,1390,37,0,442,1162,751
1997,80,12,0,23,28,26,1107,584,0,355,1545,870
1998,45,8,0,14,28,26,387,335,0,210,1560,846
1999,67,5,0,14,28,20,788,168,0,305,1517,753
2000,16,24,2,11,16,7,148,176,3,87,496,229
2001,29,29,0,17,32,13,243,191,0,203,879,428
2002,3,0,1,15,58,30,22,0,8,294,1173,638
2003,1,0,0,5,35,21,1,0,0,46,273,271
2004,0,0,3,6,49,30,0,0,22,15,354,334
2005,0,0,0,9,49,31,0,0,0,67,350,413
2006,0,0,1,6,58,26,0,0,35,52,360,455
2007,0,0,2,9,45,44,0,0,6,67,122,353
2008,0,0,0,10,60,18,0,0,0,23,202,305
2009,0,0,0,11,82,23,0,0,0,100,487,401
2010,0,0,1,10,33,13,0,0,3,57,365,312
2011,0,0,0,4,45,20,0,0,0,12,418,372
2012,0,0,0,13,59,27,0,0,0,167,494,455
2013,0,0,1,18,158,23,0,0,10,310,1175,386
2014,0,0,0,27,146,11,0,0,0,202,1322,127
2015,0,0,0,32,145,23,0,0,0,426,1912,291
2016,0,0,0,30,116,29,0,0,0,361,1290,409
2017,26,125,9,34,184,59,158,514,53,827,2533,901
2018,26,119,15,35,161,28,176,426,86,612,1916,788
2019,9,174,24,26,153,36,35,816,145,635,1534,625
2020,19,70,14,33,79,17,251,292,119,721,848,251
2021,24,112,30,35,94,26,472,299,200,600,1210,555
2022,22,124,35,26,102,30,314,430,221,362,1365,664
