"Year","Adopted OFL (mt)","Adopted ABC (mt)","Adopted ACL (mt)","Assumed removals (mt)","OFL (mt)","Buffer","ABC","ACL","Spawning Output","Fraction Unfished"
2023,"1413","1284","1284","863.16","-","-","-","-",2651.87,0.33
2024,"1401","1267","1267","860.19","-","-","-","-",2635.65,0.32
2025,"-","-","-","-","608.46","0.935","568.91","522.08",2605.73,0.32
2026,"-","-","-","-","610.9","0.93","568.14","520.47",2595.69,0.32
2027,"-","-","-","-","626.6","0.926","580.23","529.9",2577.88,0.32
2028,"-","-","-","-","653.7","0.922","602.71","548.18",2554.56,0.31
2029,"-","-","-","-","688.07","0.917","630.96","571.42",2530.83,0.31
2030,"-","-","-","-","725.62","0.913","662.49","598.25",2514.98,0.31
2031,"-","-","-","-","762.98","0.909","693.55","626.34",2515.23,0.31
2032,"-","-","-","-","797.61","0.904","721.04","653.67",2535.77,0.31
2033,"-","-","-","-","828.04","0.9","745.24","680.41",2575.13,0.32
2034,"-","-","-","-","853.68","0.896","764.9","704.78",2628.39,0.32
