"year","month","fleet","sex","partition","InputN","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66"
1980,"7","Enter Fleet",3,0,9,0,2.87545115165847,2.77246699500813,0,0,0,0,0,0,0,2.66948283835778,1.33450302992739,0,2.66900605985477,2.66900605985477,0,1.57003161041475,3.1400632208295,1.57003161041475,1.57003161041475,4.71009483124425,4.71009483124425,1.57003161041475,0,0,0,0,0,0,1.43796396508074,1.43796396508074,0,2.87592793016149,2.87545115165847,0,0,0,0,0,1.33450302992739,4.23951444877253,2.90453464034214,0,2.66948283835778,5.80906928068427,13.8947559132454,1.57003161041475,6.280126441659,7.85015805207375,6.280126441659,4.71009483124425,0,0,0,0,0
1983,"7","Enter Fleet",3,0,48,0,0,0,0,0.172805641097333,0.207722800218975,0.271971679538218,1.90772136303001,5.49842366501477,10.7934850917776,3.94727215002162,4.22629912083232,2.00213487887763,0.976308593214116,1.64308261354119,1.02061647567296,1.27481927348791,2.38161809185728,1.43890379065122,2.16904477888848,1.71606894848723,2.11170420560687,0.912778308376329,0.251377414967408,0.0430503421162999,0,0,0,0,0,0,0,0,0.0631219925187782,0.571266281064513,2.50369749524094,6.22933224281177,9.05461710019689,6.88704217365685,3.64329035267311,2.14302839232123,1.72897098576791,1.07800604403286,2.19525714576885,2.46353786274323,3.0917527564631,4.54917668670457,4.32401163861753,2.9534559821684,1.05091176574343,0.406659149732879,0.0956547244974085,0,0,0,0
1986,"7","Enter Fleet",3,0,70,0,0.11031241722056,0.0507450657249008,0.0805061780820125,0.643981734483946,0.275769761356042,0.271640660854638,0.501832372960213,0.617943581595313,1.18696973211389,2.08377425959362,2.05058351184736,1.74424035606836,3.50628322741326,7.78504669944977,7.70855680491557,7.07021591811114,5.50925798484552,3.37514480055993,1.12715418332033,1.06560125344148,0.549824705017511,0.830738919457269,0.420198025342298,0.0486241069974039,0,0,0,0,0,0.26153226181295,0.280598326969705,0.807295556501212,0.365098225208813,0.347679287574476,0.373333862820902,1.44906607869479,1.19434796087869,2.02186031546328,1.90967513681312,2.24350050248671,4.14627124174011,9.10717114196479,8.12821330888064,5.99725899929557,4.67179517495428,2.26908738756098,1.44177810349286,1.34926820154884,1.81208847195754,0.942292323167322,0,0.265841869440098,0,0,0
1989,"7","Enter Fleet",3,0,82,0,0,0,0,0,0,0,0.0593399496484102,0.0919804166517171,0.105446647863645,0,0.0600155910067942,0.330598306050625,0.646262608283177,2.41902904279326,3.04141122375425,1.64938034368245,3.50187245848184,1.79242992783684,7.83126579311675,6.83816618820386,3.59611277898746,4.13618320411498,1.0068687098372,2.11426819420635,1.85687213463995,0,0,0,0,0,0.049345117139903,0,0,0,0,0,0.166580541808454,0.0592933536926596,0.142210856950882,0.499741625425363,1.75841488013889,2.84694300242905,3.49746914066341,4.01261072946435,6.91828793411705,10.1851536897706,11.3933635244063,11.8413603409706,2.19345802100452,0.819436477830343,0.73717131795263,1.80165592707547,0,0,0
1992,"7","Enter Fleet",3,0,29,0,0,0,0,0.684695657983662,0,1.77540337812315,3.42322132025872,1.77527489329335,2.73865414710485,2.05395848912119,1.77540337812315,6.84644264051743,6.84644264051743,9.21917199236286,11.9521728069567,5.16303440052833,1.66439248517927,0,1.05922893683943,0.745982921796423,1.05935742166922,0.745982921796423,0,0.745982921796423,0.745982921796423,0,0,0,0,0,0,0,0,0.406012062155821,0.406012062155821,1.09070772013948,2.73865414710485,0.684695657983662,1.09070772013948,6.23022939681512,8.21570547165496,7.14928138434695,4.10778849341258,2.81497413600376,1.44571130486623,1.49209432842264,1.10663983903421,0,0,0,0,0,0,0,0
1995,"7","Enter Fleet",3,0,14,0,0,0,0,0,0,0,0,0,3.24989276080935,9.74967828242804,2.73441760031408,10.936943355896,2.73441760031408,2.73441760031408,5.46810815526781,7.05161295013196,0,0,0,2.48285990562951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73441760031408,3.24989276080935,10.9696603971122,14.7015842318402,9.23347607657242,5.98431036112343,2.73441760031408,0,0,0,3.24989276080935,0,0,0,0,0,0,0,0,0,0
1998,"7","Enter Fleet",3,0,70,0,0,0,0,0,1.68402599703477,1.70422933586963,1.72443267470449,0,1.72443267470449,3.46440637928194,0.862216337352244,0,2.87073903813458,1.03410012774727,3.72021173099099,4.86061250306935,3.6658181264356,1.74556847533172,7.43327458824041,1.74556847533172,0.87371669945824,1.80275946526424,0,0.853202540025922,0,0,0,0,0,0,0,0,1.70422933586963,1.72443267470449,0,0,1.72443267470449,2.63358292227309,6.27764360688654,2.56737813501425,1.81892213633213,5.44775261167007,4.73535180229323,8.18173058692253,5.11299882820635,8.7539513068452,4.49229009508002,0.987787858725822,2.06820025549453,0,0,0,0,0,0
2001,"7","Enter Fleet",3,0,60,0,0,0.144525805641537,0,1.15540796001825,0,2.70343105061078,0,0,2.8264776066846,1.02421685578121,8.27925260196355,15.2663167438735,10.5192828166403,5.09657078590498,2.82867344074821,1.03663329930456,0.305181010586715,0.992796466543673,1.11344756727537,0.526880402500376,0.132548528930912,0.267492513203949,0,0,0,0,0,0,0,0,0,0.901130375451693,0,0.901130375451693,1.04565618109323,0.901130375451693,2.8265175309403,3.1946990170249,9.36016190084172,11.8616560661114,6.02285344244899,5.34973049131188,1.11464529494643,1.03216178266593,1.03918845166949,0.0916660910919803,0.138537167286225,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479578850722085,0.494926460501636,2.40550014872241,1.94615841178044,2.50492006340057,5.64330253398545,5.56914505664355,3.87927814622605,5.47570120241053,4.47511853651713,2.43307151850338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485419091611648,1.48681667483848,3.15984196036514,2.35823494338362,5.76214464511029,10.5637733932207,15.7389059191521,14.0528419562905,9.13671732283358,1.94860316378073,0,0,0,0,0,0
