"year","month","fleet","sex","partition","InputN","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66","M12.1","M14.1","M16.1","M18.1","M20.1","M22.1","M24.1","M26.1","M28.1","M30.1","M32.1","M34.1","M36.1","M38.1","M40.1","M42.1","M44.1","M46.1","M48.1","M50.1","M52.1","M54.1","M56.1","M58.1","M60.1","M62.1","M64.1","M66.1"
1980,"7","Enter Fleet",2,0,10,0,1.43796396508074,1.43796396508074,0,2.87592793016149,2.87545115165847,0,0,0,0,0,1.33450302992739,4.23951444877253,2.90453464034214,0,2.66948283835778,5.80906928068427,13.8947559132454,1.57003161041475,6.280126441659,7.85015805207375,6.280126441659,4.71009483124425,0,0,0,0,0,0,1.43796396508074,1.43796396508074,0,2.87592793016149,2.87545115165847,0,0,0,0,0,1.33450302992739,4.23951444877253,2.90453464034214,0,2.66948283835778,5.80906928068427,13.8947559132454,1.57003161041475,6.280126441659,7.85015805207375,6.280126441659,4.71009483124425,0,0,0,0,0
1983,"7","Enter Fleet",2,0,54,0,0,0,0,0,0.0631219925187782,0.571266281064513,2.50369749524094,6.22933224281177,9.05461710019689,6.88704217365685,3.64329035267311,2.14302839232123,1.72897098576791,1.07800604403286,2.19525714576885,2.46353786274323,3.0917527564631,4.54917668670457,4.32401163861753,2.9534559821684,1.05091176574343,0.406659149732879,0.0956547244974085,0,0,0,0,0,0,0,0,0,0.0631219925187782,0.571266281064513,2.50369749524094,6.22933224281177,9.05461710019689,6.88704217365685,3.64329035267311,2.14302839232123,1.72897098576791,1.07800604403286,2.19525714576885,2.46353786274323,3.0917527564631,4.54917668670457,4.32401163861753,2.9534559821684,1.05091176574343,0.406659149732879,0.0956547244974085,0,0,0,0
1986,"7","Enter Fleet",2,0,79,0,0,0.26153226181295,0.280598326969705,0.807295556501212,0.365098225208813,0.347679287574476,0.373333862820902,1.44906607869479,1.19434796087869,2.02186031546328,1.90967513681312,2.24350050248671,4.14627124174011,9.10717114196479,8.12821330888064,5.99725899929557,4.67179517495428,2.26908738756098,1.44177810349286,1.34926820154884,1.81208847195754,0.942292323167322,0,0.265841869440098,0,0,0,0,0,0.26153226181295,0.280598326969705,0.807295556501212,0.365098225208813,0.347679287574476,0.373333862820902,1.44906607869479,1.19434796087869,2.02186031546328,1.90967513681312,2.24350050248671,4.14627124174011,9.10717114196479,8.12821330888064,5.99725899929557,4.67179517495428,2.26908738756098,1.44177810349286,1.34926820154884,1.81208847195754,0.942292323167322,0,0.265841869440098,0,0,0
1989,"7","Enter Fleet",2,0,92,0,0,0,0.049345117139903,0,0,0,0,0,0.166580541808454,0.0592933536926596,0.142210856950882,0.499741625425363,1.75841488013889,2.84694300242905,3.49746914066341,4.01261072946435,6.91828793411705,10.1851536897706,11.3933635244063,11.8413603409706,2.19345802100452,0.819436477830343,0.73717131795263,1.80165592707547,0,0,0,0,0,0,0.049345117139903,0,0,0,0,0,0.166580541808454,0.0592933536926596,0.142210856950882,0.499741625425363,1.75841488013889,2.84694300242905,3.49746914066341,4.01261072946435,6.91828793411705,10.1851536897706,11.3933635244063,11.8413603409706,2.19345802100452,0.819436477830343,0.73717131795263,1.80165592707547,0,0,0
1992,"7","Enter Fleet",2,0,32,0,0,0,0,0,0,0.406012062155821,0.406012062155821,1.09070772013948,2.73865414710485,0.684695657983662,1.09070772013948,6.23022939681512,8.21570547165496,7.14928138434695,4.10778849341258,2.81497413600376,1.44571130486623,1.49209432842264,1.10663983903421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406012062155821,0.406012062155821,1.09070772013948,2.73865414710485,0.684695657983662,1.09070772013948,6.23022939681512,8.21570547165496,7.14928138434695,4.10778849341258,2.81497413600376,1.44571130486623,1.49209432842264,1.10663983903421,0,0,0,0,0,0,0,0
1995,"7","Enter Fleet",2,0,16,0,0,0,0,0,0,0,2.73441760031408,3.24989276080935,10.9696603971122,14.7015842318402,9.23347607657242,5.98431036112343,2.73441760031408,0,0,0,3.24989276080935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73441760031408,3.24989276080935,10.9696603971122,14.7015842318402,9.23347607657242,5.98431036112343,2.73441760031408,0,0,0,3.24989276080935,0,0,0,0,0,0,0,0,0,0
1998,"7","Enter Fleet",2,0,79,0,0,0,0,0,1.70422933586963,1.72443267470449,0,0,1.72443267470449,2.63358292227309,6.27764360688654,2.56737813501425,1.81892213633213,5.44775261167007,4.73535180229323,8.18173058692253,5.11299882820635,8.7539513068452,4.49229009508002,0.987787858725822,2.06820025549453,0,0,0,0,0,0,0,0,0,0,0,1.70422933586963,1.72443267470449,0,0,1.72443267470449,2.63358292227309,6.27764360688654,2.56737813501425,1.81892213633213,5.44775261167007,4.73535180229323,8.18173058692253,5.11299882820635,8.7539513068452,4.49229009508002,0.987787858725822,2.06820025549453,0,0,0,0,0,0
2001,"7","Enter Fleet",2,0,68,0,0,0,0,0.901130375451693,0,0.901130375451693,1.04565618109323,0.901130375451693,2.8265175309403,3.1946990170249,9.36016190084172,11.8616560661114,6.02285344244899,5.34973049131188,1.11464529494643,1.03216178266593,1.03918845166949,0.0916660910919803,0.138537167286225,0,0,0,0,0,0,0,0,0,0,0,0,0.901130375451693,0,0.901130375451693,1.04565618109323,0.901130375451693,2.8265175309403,3.1946990170249,9.36016190084172,11.8616560661114,6.02285344244899,5.34973049131188,1.11464529494643,1.03216178266593,1.03918845166949,0.0916660910919803,0.138537167286225,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",2,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0.485419091611648,1.48681667483848,3.15984196036514,2.35823494338362,5.76214464511029,10.5637733932207,15.7389059191521,14.0528419562905,9.13671732283358,1.94860316378073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485419091611648,1.48681667483848,3.15984196036514,2.35823494338362,5.76214464511029,10.5637733932207,15.7389059191521,14.0528419562905,9.13671732283358,1.94860316378073,0,0,0,0,0,0
