"Year","Total Biomass (mt)","Spawning Output","Total Biomass 5+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
1892,75920.3,8150.3,74568.4,1,3483.94,5.79,0.0015792,7.76468316337752e-05
1893,75914.3,8149.58,74562.8,0.999911659693508,3481.73,5.79,0.00157932,7.7652663258354e-05
1894,75907.3,8148.89,74557.4,0.99982700023312,3479.39,5.79,0.00157945,7.76582874402809e-05
1895,75897.9,8148.2,74552.2,0.999742340772732,3476.91,1.49,0.000406873,1.99859963891072e-05
1896,75889.4,8148.07,74551.5,0.999726390439616,3474.3,0.36,9.8331e-05,4.82887668256172e-06
1897,75877.9,8148.08,74540.8,0.999727617388317,3471.54,0.37,0.000101063,4.96372456426548e-06
1898,75861.9,8148.06,74525.8,0.999725163490914,3468.62,0.21,5.73642e-05,2.81781611200416e-06
1899,75841.7,8148.01,74506.6,0.999719028747408,3465.53,0.35,9.5611e-05,4.69757041658054e-06
1900,75817,8147.79,74483,0.99969203587598,3462.24,0.49,0.000133869,6.57868238389968e-06
1901,75788.3,8147.25,74455.3,0.999625780646111,3458.75,0.64,0.000174879,8.59576148373588e-06
1902,75755.6,8146.19,74423.8,0.999495724083776,3455.03,0.78,0.000213186,1.04805183288142e-05
1903,75719.5,8144.42,74389,0.99927855416365,3451.07,0.92,0.00025153,1.23674199142346e-05
1904,75680.2,8141.87,74351,0.998965682244825,3446.86,1.07,0.000292651,1.43911985043913e-05
1905,75637.9,8138.59,74310.1,0.998563243070807,3442.38,1.21,0.000331086,1.62831162924017e-05
1906,75592.9,8134.72,74266.6,0.998088413923414,3437.64,1.35,0.000369574,1.81777541990612e-05
1907,75545.3,8130.38,74220.6,0.997555918187061,3432.63,1.49,0.000408116,2.00752890706893e-05
1908,75495.2,8125.69,74172.2,0.996980479246163,3427.33,1.64,0.000449456,2.21107099425391e-05
