"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2013,2080.28,1530.41994399323,2630.14005600677,0.25524,0.198010619622618,0.312469380377382
2014,2188.19,1616.94477695791,2759.43522304209,0.268479,0.2096418611661,0.3273161388339
2015,2294.77,1702.5825617831,2886.9574382169,0.281557,0.221221076707122,0.341892923292878
2016,2389.92,1778.38379732772,3001.45620267228,0.293232,0.231609752344068,0.354854247655932
2017,2481.3,1852.24367926992,3110.35632073008,0.304442,0.241775679529504,0.367108320470496
2018,2538.29,1893.38737045491,3183.19262954509,0.311435,0.247883951786883,0.374986048213117
2019,2566.4,1906.77412100304,3226.02587899696,0.314885,0.25052801459644,0.37924198540356
2020,2592.05,1917.92234748143,3266.17765251857,0.318031,0.252890224999022,0.383171775000978
2021,2621.98,1932.40783128326,3311.55216871674,0.321704,0.255695156950269,0.387712843049731
2022,2645.85,1939.29866328519,3352.40133671481,0.324633,0.257563816434633,0.391702183565367
2023,2651.87,1927.03807920138,3376.70192079862,0.325371,0.256999616363305,0.393742383636695
