"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,1741.97,1631.75,1512.95,1402.8,1300.67,1205.97,1118.17,1036.76,961.278,891.291,826.4,766.233,710.447,658.722,610.763,566.296,525.066,486.838,451.393,418.529,388.058,359.805,333.609,309.32,286.8,265.919,246.558,228.608,211.964,196.531,182.223,168.956,156.655,145.249,134.674,124.869,115.778,107.349,99.533,92.2864,1175.28
1893,1740.86,1615.14,1512.95,1402.8,1300.67,1205.97,1118.16,1036.75,961.257,891.261,826.362,766.19,710.4,658.673,610.715,566.248,525.021,486.795,451.353,418.491,388.022,359.772,333.578,309.292,286.773,265.894,246.536,228.586,211.944,196.513,182.206,168.94,156.64,145.236,134.662,124.858,115.767,107.339,99.5238,92.2779,1175.17
1894,1739.69,1614.12,1497.55,1402.8,1300.67,1205.97,1118.16,1036.74,961.245,891.242,826.335,766.155,710.36,658.63,610.67,566.204,524.977,486.753,451.313,418.453,387.987,359.739,333.547,309.263,286.747,265.87,246.513,228.565,211.924,196.495,182.189,168.924,156.626,145.222,134.649,124.846,115.757,107.329,99.5146,92.2693,1175.06
1895,1738.45,1613.03,1496.6,1388.52,1300.67,1205.97,1118.16,1036.74,961.239,891.231,826.317,766.13,710.328,658.593,610.63,566.162,524.935,486.712,451.274,418.416,387.952,359.706,333.517,309.235,286.72,265.845,246.49,228.544,211.905,196.477,182.172,168.909,156.611,145.209,134.637,124.834,115.746,107.319,99.5053,92.2607,1174.95
1896,1737.15,1611.88,1495.59,1387.64,1287.43,1205.97,1118.17,1036.75,961.253,891.248,826.334,766.145,710.339,658.599,610.631,566.16,524.93,486.706,451.266,418.408,387.944,359.698,333.509,309.228,286.714,265.839,246.484,228.539,211.9,196.472,182.168,168.905,156.607,145.205,134.634,124.831,115.743,107.316,99.503,92.2585,1174.92
1897,1735.77,1610.68,1494.53,1386.71,1286.61,1193.7,1118.17,1036.76,961.266,891.266,826.357,766.169,710.362,658.619,610.646,566.171,524.937,486.71,451.268,418.409,387.944,359.697,333.508,309.226,286.712,265.838,246.483,228.537,211.898,196.471,182.167,168.904,156.607,145.205,134.633,124.831,115.742,107.316,99.5024,92.258,1174.92
1898,1734.31,1609.4,1493.41,1385.72,1285.75,1192.94,1106.79,1036.76,961.272,891.278,826.374,766.191,710.384,658.64,610.664,566.184,524.947,486.716,451.272,418.411,387.944,359.697,333.507,309.225,286.711,265.836,246.482,228.536,211.897,196.47,182.166,168.903,156.606,145.204,134.632,124.83,115.742,107.315,99.5018,92.2575,1174.91
1899,1732.76,1608.04,1492.22,1384.68,1284.83,1192.14,1106.09,1026.21,961.275,891.285,826.386,766.208,710.406,658.662,610.685,566.203,524.961,486.726,451.279,418.415,387.946,359.698,333.508,309.225,286.711,265.836,246.481,228.536,211.897,196.469,182.165,168.902,156.605,145.203,134.632,124.83,115.741,107.315,99.5015,92.2572,1174.91
1900,1731.12,1606.61,1490.97,1383.58,1283.87,1191.29,1105.34,1025.55,951.491,891.287,826.391,766.218,710.42,658.681,610.705,566.221,524.977,486.738,451.287,418.42,387.95,359.7,333.508,309.225,286.71,265.835,246.48,228.534,211.896,196.468,182.164,168.901,156.604,145.203,134.631,124.829,115.741,107.314,99.5009,92.2566,1174.9
1901,1729.37,1605.08,1489.64,1382.42,1282.85,1190.39,1104.55,1024.86,950.886,882.214,826.392,766.222,710.428,658.693,610.721,566.238,524.993,486.752,451.297,418.428,387.954,359.702,333.509,309.224,286.709,265.834,246.479,228.533,211.894,196.467,182.163,168.9,156.603,145.201,134.63,124.828,115.74,107.313,99.5001,92.2559,1174.89
1902,1727.52,1603.46,1488.22,1381.18,1281.77,1189.45,1103.72,1024.13,950.246,881.653,817.98,766.221,710.431,658.7,610.731,566.251,525.007,486.765,451.309,418.436,387.96,359.705,333.51,309.224,286.708,265.832,246.477,228.531,211.892,196.465,182.161,168.898,156.602,145.2,134.628,124.827,115.739,107.312,99.4991,92.255,1174.88
1903,1725.54,1601.74,1486.72,1379.87,1280.62,1188.45,1102.85,1023.36,949.567,881.058,817.458,758.42,710.43,658.701,610.736,566.26,525.019,486.778,451.321,418.446,387.967,359.709,333.512,309.225,286.707,265.831,246.475,228.529,211.89,196.463,182.159,168.896,156.6,145.198,134.627,124.825,115.737,107.311,99.4979,92.2538,1174.86
1904,1723.43,1599.91,1485.13,1378.48,1279.41,1187.39,1101.92,1022.55,948.854,880.428,816.906,757.936,703.195,658.698,610.736,566.263,525.026,486.787,451.331,418.456,387.975,359.715,333.515,309.226,286.707,265.829,246.473,228.527,211.888,196.46,182.156,168.894,156.597,145.196,134.625,124.823,115.735,107.309,99.4964,92.2525,1174.85
1905,1721.19,1597.95,1483.42,1377,1278.12,1186.26,1100.94,1021.69,948.101,879.767,816.321,757.422,702.745,651.989,610.732,566.262,525.027,486.793,451.339,418.464,387.983,359.722,333.52,309.228,286.707,265.828,246.471,228.524,211.885,196.457,182.154,168.891,156.595,145.194,134.623,124.821,115.733,107.307,99.4947,92.2509,1174.83
1906,1718.82,1595.88,1481.61,1375.42,1276.75,1185.06,1099.89,1020.78,947.302,879.067,815.707,756.879,702.268,651.571,604.511,566.257,525.025,486.793,451.343,418.471,387.99,359.729,333.525,309.232,286.709,265.828,246.47,228.522,211.882,196.455,182.151,168.888,156.592,145.191,134.62,124.819,115.731,107.305,99.4928,92.2491,1174.8
