"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 5+ Biomass (mt)","Spawning Output","Fraction Unfished"
2023,667.104,0,25990.8,2651.87,0.325371
2024,666.766,0,26317.3,2719.21,0.333633
2025,673.659,594.537,26754.5,2783.33,0.341501
2026,670.539,588.608,26959.4,2783.31,0.341498
2027,679.584,593.128,27167.3,2773.49,0.340293
2028,699.632,606.358,27518.6,2755.28,0.338058
2029,727.232,624.792,27951.1,2733.22,0.335352
2030,758.818,647.34,28445.3,2715.51,0.333179
2031,791.21,671.528,28977,2710.66,0.332584
2032,821.955,695.169,29528.5,2723.43,0.334152
2033,849.516,718.543,30085.1,2753.19,0.337802
2034,873.134,739.871,30634.6,2795.91,0.343044
