"Year","Recruitment","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2013,2659.6,1977.19056704274,3577.53687373681,0.069814,-0.145491963629694,0.285119963629694
2014,1302.4,898.301410639791,1888.28130503757,-0.658898,-0.969473892990217,-0.348322107009783
2015,1795.31,1256.57624069883,2565.01586748727,-0.35131,-0.639377666591759,-0.0632423334082411
2016,2338.95,1637.94554648661,3339.96884953508,-0.0978617,-0.382315193004267,0.186591793004267
2017,1153,732.339215879571,1815.29129012069,-0.81514,-1.21851430776623,-0.411765692233765
2018,965.035,570.399504727553,1632.70224378933,-0.998978,-1.48744022422707,-0.510515775772928
2019,1387.64,726.426710328279,2650.70755552178,-0.638601,-1.27225931616578,-0.00494268383421614
2020,1876.8,805.486836536034,4372.9805134344,-0.339163,-1.20702917246238,0.528703172462382
2021,3115.76,1384.15222595115,7013.65080775636,0.114694,-0.713361384008405,0.942749384008404
2022,2698.68,1064.75748475856,6839.93664909662,-0.0814383,-1.05044057402863,0.887563974028634
2023,2929.31,1149.49464349409,7464.89522562453,0,-0.979981992270027,0.979981992270027
