"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,1741.97,1650.29,1547.51,1451.14,1360.77,1276.02,1196.56,1122.04,1052.16,986.638,925.194,867.576,813.547,762.882,715.372,670.822,629.045,589.871,553.136,518.688,486.386,456.096,427.692,401.057,376.081,352.66,330.697,310.103,290.791,272.681,255.7,239.776,224.843,210.841,197.71,185.398,173.852,163.025,152.872,143.352,2158.52
1893,1740.86,1633.49,1547.51,1451.14,1360.77,1276.02,1196.55,1122.03,1052.14,986.609,925.158,867.534,813.501,762.834,715.323,670.772,628.997,589.823,553.09,518.645,486.345,456.057,427.655,401.022,376.047,352.628,330.668,310.075,290.765,272.657,255.677,239.754,224.823,210.822,197.693,185.381,173.836,163.01,152.859,143.339,2158.32
1894,1739.69,1632.45,1531.76,1451.14,1360.77,1276.02,1196.55,1122.02,1052.13,986.59,925.13,867.5,813.461,762.79,715.278,670.726,628.95,589.778,553.046,518.602,486.304,456.018,427.618,400.987,376.014,352.597,330.639,310.047,290.739,272.632,255.654,239.733,224.803,210.803,197.675,185.364,173.82,162.996,152.845,143.326,2158.13
1895,1738.45,1631.35,1530.79,1436.37,1360.77,1276.02,1196.55,1122.02,1052.12,986.578,925.112,867.475,813.429,762.753,715.237,670.683,628.907,589.734,553.003,518.561,486.264,455.98,427.581,400.952,375.982,352.566,330.609,310.02,290.713,272.608,255.631,239.711,224.783,210.784,197.657,185.348,173.805,162.981,152.831,143.313,2157.93
1896,1737.15,1630.19,1529.76,1435.46,1346.92,1276.02,1196.55,1122.03,1052.14,986.594,925.128,867.489,813.44,762.76,715.239,670.682,628.903,589.729,552.996,518.553,486.256,455.971,427.573,400.944,375.974,352.559,330.602,310.013,290.706,272.602,255.625,239.706,224.778,210.779,197.652,185.343,173.801,162.977,152.827,143.31,2157.88
1897,1735.77,1628.97,1528.67,1434.49,1346.06,1263.03,1196.56,1122.03,1052.15,986.612,925.15,867.512,813.462,762.779,715.255,670.694,628.911,589.734,553,518.555,486.257,455.971,427.573,400.943,375.973,352.558,330.601,310.012,290.705,272.601,255.624,239.704,224.776,210.778,197.651,185.342,173.8,162.976,152.827,143.309,2157.87
1898,1734.31,1627.67,1527.52,1433.47,1345.15,1262.23,1184.38,1122.04,1052.16,986.624,925.167,867.533,813.484,762.799,715.272,670.708,628.922,589.742,553.005,518.558,486.259,455.972,427.573,400.943,375.972,352.557,330.6,310.011,290.704,272.599,255.623,239.703,224.775,210.777,197.65,185.341,173.799,162.975,152.826,143.308,2157.86
1899,1732.76,1626.31,1526.31,1432.39,1344.2,1261.38,1183.62,1110.62,1052.16,986.631,925.179,867.55,813.504,762.821,715.293,670.726,628.937,589.753,553.013,518.564,486.263,455.975,427.574,400.944,375.972,352.557,330.6,310.01,290.703,272.599,255.622,239.703,224.775,210.776,197.65,185.341,173.798,162.975,152.825,143.308,2157.85
1900,1731.12,1624.85,1525.02,1431.26,1343.19,1260.48,1182.83,1109.91,1041.45,986.634,925.185,867.56,813.519,762.839,715.312,670.744,628.953,589.766,553.023,518.571,486.267,455.978,427.576,400.944,375.972,352.556,330.599,310.009,290.702,272.598,255.621,239.702,224.774,210.775,197.649,185.34,173.798,162.974,152.824,143.307,2157.84
1901,1729.37,1623.31,1523.66,1430.05,1342.12,1259.54,1181.98,1109.17,1040.79,976.591,925.187,867.564,813.528,762.852,715.328,670.761,628.969,589.78,553.034,518.579,486.273,455.981,427.578,400.945,375.972,352.556,330.598,310.008,290.701,272.596,255.62,239.7,224.772,210.774,197.647,185.339,173.796,162.973,152.823,143.306,2157.82
