" ","Base","Estimate h","Estimate male M","M ramp","M break 20","Single M"
"TOTAL_like","4138","4140","4137","4138","4139","4160"
"Survey_like","-10.5","-9.77","-10.3","-10.3","-8.34","-11"
"Length_comp_like","1803","1807","1803","1809","1813","1812"
"Age_comp_like","2356","2357","2357","2354","2348","2366"
"Parm_priors_like","0.129","0.0244","0.235","0.589","4.19","0"
"Recr_Virgin_millions","3.52","3.4","3.81","3.6","3.7","3.11"
"SR_LN(R0)","8.17","8.13","8.25","8.19","8.21","8.04"
"SR_BH_steep","0.72","0.835","0.72","0.72","0.72","0.72"
"NatM_uniform_Fem_GP_1","0.0756","0.075","0.0793","","","0.0643"
"NatM_uniform_Mal_GP_1","0.0643","0.0643","0.0682","","","0.0643"
"NatM_break_2_Fem_GP_1","","","","0.0904","0.158",""
"L_at_Amax_Fem_GP_1","59.4","59.6","59.5","60","61","59.8"
"L_at_Amax_Mal_GP_1","54.6","54.8","54.7","54.5","54.4","54.5"
"VonBert_K_Fem_GP_1","0.137","0.136","0.137","0.134","0.129","0.135"
"VonBert_K_Mal_GP_1","0.156","0.154","0.155","0.156","0.155","0.157"
"SSB_Virgin_thousand_mt","8.15","8.04","8.02","7.64","7.52","10"
"Bratio_2023","0.325","0.421","0.362","0.391","0.507","0.237"
"SPRratio_2022","0.485","0.377","0.438","0.374","0.267","0.585"
