" ","Base","Upweight surveys x10","No prerecruit","No triennial","No WCGBTS"
"TOTAL_like","4138","4021","4134","4247","4155"
"Survey_like","-10.5","-178","-17","1.23","1.67"
"Length_comp_like","1803","1820","1807","1874","1807"
"Age_comp_like","2356","2386","2357","2384","2359"
"Parm_priors_like","0.129","0.168","0.124","0.0908","0.124"
"Recr_Virgin_millions","3.52","3.62","3.59","3.89","3.6"
"SR_LN(R0)","8.17","8.2","8.19","8.27","8.19"
"NatM_uniform_Fem_GP_1","0.0756","0.0773","0.0753","0.0737","0.0754"
"L_at_Amax_Fem_GP_1","59.4","58.6","59.7","59.2","59.5"
"L_at_Amax_Mal_GP_1","54.6","54","54.8","53.6","54.7"
"VonBert_K_Fem_GP_1","0.137","0.145","0.136","0.138","0.137"
"VonBert_K_Mal_GP_1","0.156","0.165","0.154","0.161","0.155"
"SSB_Virgin","8150","7806","8447","9360","8416"
"Bratio_2023","0.325","0.341","0.32","0.244","0.322"
"SPRratio_2022","0.485","0.47","0.458","0.411","0.458"
