"Label","Total"
"TOTAL","4138.15"
"Catch","3.71424e-11"
"Equil catch","0"
"Survey","-10.4918"
"Length comp","1803.29"
"Age comp","2356.15"
"Recruitment","-10.9381"
"InitEQ Regime","0"
"Forecast Recruitment","0"
"Parm priors","0.129231"
"Parm softbounds","0.0147621"
"Parm devs","0"
"Crash Pen","0"
