"YEAR","est","lwr","upr","log_est","se","region","ntrawls","nfish"
2001,28.2385067749336,10.952662561027,72.8054261176108,3.34068653498532,0.483225181428312,"coastwide",174,40
2002,230.964872052398,121.352150630752,439.586540864012,5.44226562992089,0.328357551688399,"coastwide",172,306
2003,40.2487094052495,16.4618278269309,98.4069707094149,3.69507793888465,0.456148026320559,"coastwide",202,47
2004,221.581536409244,131.082419122383,374.561116633356,5.400790631949,0.267843877294114,"coastwide",243,444
2005,68.8660782475057,39.1462952055939,121.149056591028,4.23216372365623,0.28819812043313,"coastwide",260,93
2006,25.369537577153,9.20354971045915,69.931000225615,3.23354914629304,0.5173359850278,"coastwide",285,37
2007,28.0785351701475,16.1330157852951,48.8689869143886,3.33500541149161,0.282728444875239,"coastwide",284,128
2008,36.058434952765,21.8502420872987,59.5055526638116,3.58514081563434,0.255580622192623,"coastwide",202,149
2009,46.2754359423536,31.6857866506569,67.5828564796095,3.83461127910354,0.193239810730041,"coastwide",264,207
2010,562.854133466549,115.48190372005,2743.32830820294,6.33302050658934,0.808130495838122,"coastwide",114,273
2011,69.61327040895,41.9424416397132,115.53946855686,4.24295521596103,0.258503206554613,"coastwide",151,114
2012,47.0348330651258,5.35646239063687,413.010558112257,3.85088845625478,1.10848195066492,"coastwide",86,17
2013,369.007091659777,81.3490463767263,1673.85162776983,5.91081586244603,0.77147680429378,"coastwide",161,173
2014,93.1525461113195,30.0993603552711,288.291735923946,4.5342384301289,0.57640574937423,"coastwide",173,103
2015,129.727663818622,80.1482758142521,209.976653756598,4.86543735939351,0.245697878305255,"coastwide",167,198
2016,798.960991941636,267.561698972576,2385.76249551244,6.68331212347516,0.558154099768702,"coastwide",144,153
2017,29.3949887055963,8.39203153416667,102.962597016496,3.38082420762541,0.63957378236543,"coastwide",89,17
2018,24.7039642751055,8.2854748815055,73.6573171283087,3.2069637277235,0.557387670833961,"coastwide",130,19
2019,74.7767876095971,32.9929353891154,169.477735135246,4.31450751074443,0.417463819625174,"coastwide",115,60
2021,301.512712211514,164.117457666121,553.932024770268,5.70881217850066,0.310327029754367,"coastwide",109,211
2022,223.950942843685,73.4421080146866,682.905572244007,5.41142702270779,0.568852071618786,"coastwide",78,74
2001,17.7403424169102,8.91021120038778,35.3212445800976,2.87584127866303,0.351355095882347,"CA",147,40
2002,146.644779375897,103.555174876321,207.66409157137,4.98801319558009,0.177507667012641,"CA",144,297
2003,23.1456600194456,13.427105879145,39.8985144347335,3.14180729079497,0.277827452183163,"CA",175,44
2004,183.773384153054,106.662220580965,316.631854644635,5.21370339069288,0.277574675239284,"CA",189,418
2005,10.681953352559,3.507108194481,32.5351033098458,2.3685557149879,0.56825732619789,"CA",196,17
2006,0.980500670416301,0.145886922825018,6.58990913010024,-0.019691949596555,0.972074754426602,"CA",217,0
2007,24.2754293725751,13.7117609235562,42.9774464788471,3.18946470187164,0.291439424518582,"CA",211,118
2008,30.6321281093179,18.2323045080704,51.4650943927751,3.42204939637171,0.264726498452875,"CA",134,146
2009,43.2125418534744,29.4911622428069,63.3180801103805,3.76613077379745,0.194922020679616,"CA",189,206
2010,243.444651388129,89.0876542591747,665.247039921741,5.49488961232422,0.512901694051716,"CA",114,273
2011,51.8417455835416,30.4556729011932,88.2451881417259,3.94819572399913,0.271394499703686,"CA",87,83
2012,24.0290328482253,3.52395515796691,163.848401508665,3.17926280125741,0.979445965926219,"CA",79,17
2013,96.2140165761123,45.6533922084312,202.769970376896,4.56657504951248,0.380362670975653,"CA",120,136
2014,27.5829395524688,14.6956823643981,51.7715704170577,3.31719744944373,0.321252696721166,"CA",137,72
2015,91.7100587772982,58.6946997802896,143.296326796443,4.51863206547456,0.227699406513864,"CA",128,178
2016,104.511266333139,45.278604187999,241.231040276885,4.64929487739396,0.426773286044458,"CA",102,72
2017,14.4816117672605,3.71186559473731,56.4991037593051,2.67287969065677,0.694576581733525,"CA",76,13
2018,13.1633120608858,3.7256894635436,46.5075756065447,2.57743357059109,0.643982060363615,"CA",98,15
2019,6.12980690725089,0.806566009794915,46.5858122755938,1.81316324981919,1.03478064053633,"CA",81,0
2021,154.563218816157,79.6361475960943,299.986743858802,5.04060319592125,0.338340446993959,"CA",85,160
2022,118.346722331607,15.6999402470622,892.101910340411,4.77361864087101,1.03061165938599,"CA",51,17
2001,5.89553797762003,0.426089117156679,81.5730011540737,1.77419578981183,1.34048511601398,"OR",27,0
2002,40.6557475184652,3.00531329596191,549.989183658855,3.70514021636729,1.32898278546802,"OR",28,9
2003,12.4043951036225,1.9820961930362,77.6294401994056,2.51805085365113,0.935678359433447,"OR",27,3
2004,70.1373548512834,22.6139618350935,217.531478181807,4.25045553158692,0.577504507567843,"OR",49,26
2005,25.8693080056778,10.354470063611,64.6311296069595,3.25305724692939,0.46717130389855,"OR",42,12
2006,20.3578766407921,6.32451155245762,65.5296678461533,3.01346789551636,0.596457433919123,"OR",48,22
2007,3.53025925136176,0.674239973733346,18.4841167349032,1.26137131056056,0.844679040504312,"OR",49,10
2008,3.94088939377032,0.821308533153389,18.909591934108,1.37140643229512,0.800148820663227,"OR",45,1
2009,2.84518136227071,0.516463656625348,15.6740109015742,1.04562681326906,0.870616595172491,"OR",50,1
2011,16.3857867550594,6.21031552293224,43.2335533663043,2.79641429778528,0.495010419547337,"OR",49,14
2012,16.8669353219935,0.776678908107789,366.294879629754,2.82535521567989,1.57047961067752,"OR",7,0
2013,232.879990580475,34.4860967241636,1572.60737411208,5.45052325898939,0.974490870620001,"OR",37,34
2014,55.1929637577863,11.6473789458084,261.540666148292,4.01083547700225,0.793766782332258,"OR",36,31
2015,24.3485781538274,9.34842613572703,63.4174404873697,3.19247345578377,0.488409716674591,"OR",35,16
2016,529.815266339283,151.800929873288,1849.16005903571,6.27252839171025,0.637745596847447,"OR",38,71
2017,16.5458695936486,3.0504022180685,89.7474434644792,2.8061364992942,0.862701078147532,"OR",13,4
2018,13.4462055911026,2.93280082336832,61.6477066419227,2.59869695406104,0.776921967558669,"OR",28,4
2019,40.2456807201072,16.8795563743834,95.9571910955496,3.69500268680462,0.443324206962146,"OR",30,33
2021,167.921125369615,63.3553159256527,445.069272142653,5.12349437730993,0.497323199898691,"OR",24,51
2022,125.166987232566,37.6839234636967,415.741601533879,4.82964874364518,0.612467975397598,"OR",18,34
2004,15.1634516478102,0.639796175675458,359.3804943156,2.71888803555275,1.61507746539292,"WA",5,0
2005,34.8451345744802,17.194355908277,70.6152303692376,3.55091351697171,0.360380260781672,"WA",22,64
2006,4.34632718543726,1.0634856672774,17.7628722079839,1.46933116327048,0.718267935403213,"WA",20,15
2007,0.628582823807808,0.0504367700990375,7.83389510490758,-0.464287479510273,1.28713963360555,"WA",24,0
2008,1.93481107719243,0.338369641180292,11.0633267552271,0.660009687189307,0.889621477252393,"WA",23,2
