"Year","OR_N","WA_N","OR_nhaul","WA_nhaul"
2003,43,100,33,49
2004,121,53,75,27
2005,122,143,90,83
2006,104,126,80,81
2007,330,57,175,33
2008,143,299,86,129
2009,5,227,5,131
2010,8,233,7,118
2011,3,200,3,75
2012,33,74,28,44
2013,21,88,18,44
2014,98,66,63,38
2015,21,32,17,15
2019,46,139,35,83
2020,32,60,23,32
2021,80,20,56,14
