

 Females then males 
"year","month","fleet","sex","partition","Ntows","Nsamps","InputN","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66"
1978,7,"NTWL",3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,"NTWL",3,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0,0,0,0,0,0
1980,7,"NTWL",3,0,5,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347,0,0.0694,0.0759,0.013,0.0196,0.0033,0.013,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0,0.0033,0.038,0.5703,0.0543,0.0759,0.013,0,0,0,0,0,0
1981,7,"NTWL",3,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.2,0,0,0,0,0,0,0,0
1982,7,"NTWL",3,0,4,41,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767,0.0253,0.177,0.1011,0.0253,0.0506,0.1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506,0.0506,0.0506,0.0506,0.0758,0.0506,0.0889,0.0253,0,0,0,0,0,0,0
1983,7,"NTWL",3,0,2,6,3,0,0,0,0,0,0,0,0,0.1667,0,0.1667,0.1667,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0
1984,7,"NTWL",3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,"NTWL",3,0,9,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0397,0,0.1413,0.0276,0.0679,0.065,0.0397,0.0402,0.0397,0.0492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397,0,0,0.0397,0,0.0679,0.0613,0.0402,0.1166,0.0866,0.0374,0,0,0,0,0,0,0,0
1986,7,"NTWL",3,0,10,17,12,0,0,0,0,0,0,0,0,0,0,0.1467,0,0,0.0733,0,0,0.1086,0.0352,0,0,0.0994,0,0.0733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733,0,0.0733,0.0352,0.0733,0,0.0848,0.1233,0,0,0,0,0,0,0
1987,7,"NTWL",3,0,12,115,28,0,0,0,0,0,0,0,0,0,0,0.0096,0.0216,0.0539,0.0682,0.0194,0.0766,0.0522,0.0353,0.0151,0.0306,0.0184,0,0,0,0.003,0,0,0,0,0,0,0,0.0108,0,0,0,0,0,0,0.0647,0.0539,0.078,0.0676,0.0784,0.1655,0.0271,0.0226,0.0166,0.0107,0,0,0,0,0,0,0
