"YEAR","CA_N","OR_N","WA_N","CA_nhaul","OR_nhaul","WA_nhaul"
2010,1,7,257,1,6,118
2014,13,92,68,9,56,39
2018,3,303,319,2,125,131
2021,1,415,87,1,142,28
2022,1,307,74,1,123,14
2003,NA,46,119,NA,36,49
2004,NA,137,84,NA,75,28
2005,NA,140,180,NA,94,86
2006,NA,106,141,NA,82,83
2007,NA,428,68,NA,189,37
2008,NA,147,339,NA,87,134
2009,NA,5,236,NA,5,132
2011,NA,3,202,NA,3,76
2012,NA,34,76,NA,29,46
2013,NA,22,121,NA,19,45
2015,NA,23,34,NA,18,17
2016,NA,60,65,NA,42,34
2017,NA,443,644,NA,223,229
2019,NA,114,339,NA,59,132
2020,NA,33,74,NA,23,33
