"year","TWL","NTWL"
1916,1.90228475342101,0.970313382578989
1917,2.95520642732602,1.70862651667398
1918,3.45832400918766,3.11059533481234
1919,2.40625227914978,1.12632221685022
1920,2.45378877227469,1.32145744372531
1921,2.02564878742126,1.55999597257874
1922,1.7416811152925,1.2216354207075
1923,1.88197495638464,0.734797291615364
1924,1.08218986413634,0.972581895863657
1925,0.895321368099688,2.70075600790031
1926,2.62700037150174,2.71404542849826
1927,3.8829048238792,4.4087569361208
1928,4.91110546813606,3.85002401186394
1929,4.33085299086082,0.136574617139179
1930,4.78628360353829,0.322069500461714
1931,13.2460944481629,7.66857907983714
1932,13.3812664449137,5.76711983508629
1933,21.5662170229732,4.42823331302681
1934,16.9472353787617,3.75107476523826
1935,16.5393076838706,6.84971020412941
1936,11.3056037225122,6.58315757348779
1937,20.1381038181682,4.64389510183184
1938,19.9782760094245,6.24342391857546
1939,26.0470932641977,6.08944634380225
1940,19.9698683283797,2.68206255962033
1941,16.3862602193538,4.38417105264618
1942,3.6356980235219,4.0436145364781
1943,27.2335288762293,5.33528390777071
1944,130.059761487593,27.2368722724066
1945,294.377688086173,66.2964443058266
1946,266.688827732673,68.0647898193268
1947,106.440412344469,14.8351199195315
1948,113.188918872532,27.200471919767
1949,98.7668926567142,9.08152546437613
1950,83.0403819972193,4.8428788004178
1951,173.147274702077,9.13376201023392
1952,119.315083600064,7.13141792229516
1953,110.642407319685,4.2445559062323
1954,67.8099670805229,9.95061166365899
1955,64.7628654432445,0.425517879781716
1956,69.938042067356,1.08129157756757
1957,92.5037964581156,2.07778972575128
1958,122.388919431173,3.98176047657979
1959,98.5953595239915,3.54747992394422
1960,68.4610882935079,3.97244381722078
1961,47.5175857718082,2.25490469997647
1962,43.9357654312615,3.46122078154369
1963,77.1434482617925,3.90603318142331
1964,39.6268844594446,1.97356031859446
1965,59.557244524776,3.94221129555519
1966,39.2273985230877,1.99852368678598
1967,64.2762919888907,2.85371432344668
1968,72.5500388740606,2.4316367157798
1969,196.28967004,18.78551268
1970,215.430798848,11.855080512
1971,326.474656368,20.929188472
1972,405.376984768,40.448159416
1973,315.035066128,19.360667336
1974,396.127336704,49.48915516
1975,430.87157672,35.591549872
1976,470.119078112,49.533607176
1977,455.806889736,58.923415168
1978,647.366955992,144.572470976
1979,311.528799968,127.372262336
1980,438.322278912,94.825221968
