"fleet","Year","Trips","Lengths"
"NTWL.C",1978,1,1
"NTWL.C",1979,13,49
"NTWL.C",1980,12,45
"NTWL.C",1981,16,79
"NTWL.C",1982,10,70
"NTWL.C",1983,6,36
"NTWL.C",1984,10,33
"NTWL.C",1985,25,89
"NTWL.C",1986,29,100
"NTWL.C",1987,15,121
"NTWL.C",1988,13,94
"NTWL.C",1989,27,330
"NTWL.C",1990,19,84
"NTWL.C",1991,15,207
"NTWL.C",1992,148,1841
"NTWL.C",1993,154,1415
"NTWL.C",1994,148,2057
"NTWL.C",1995,83,1323
"NTWL.C",1996,106,1390
"NTWL.C",1997,80,1107
"NTWL.C",1998,45,387
"NTWL.C",1999,67,788
"NTWL.C",2000,16,148
"NTWL.C",2001,29,243
"NTWL.C",2002,3,22
"NTWL.C",2003,1,1
"NTWL.C",2017,26,158
"NTWL.C",2018,26,176
"NTWL.C",2019,9,35
"NTWL.C",2020,19,251
"NTWL.C",2021,24,472
"NTWL.C",2022,22,314
"NTWL.O",1988,3,287
"NTWL.O",1990,1,100
"NTWL.O",1996,1,37
"NTWL.O",1997,12,584
"NTWL.O",1998,8,335
"NTWL.O",1999,5,168
"NTWL.O",2000,24,176
"NTWL.O",2001,29,191
"NTWL.O",2017,125,514
"NTWL.O",2018,119,426
"NTWL.O",2019,174,816
"NTWL.O",2020,70,292
"NTWL.O",2021,112,299
"NTWL.O",2022,124,430
"NTWL.W",1980,1,22
"NTWL.W",2000,2,3
"NTWL.W",2002,1,8
"NTWL.W",2004,3,22
"NTWL.W",2006,1,35
"NTWL.W",2007,2,6
"NTWL.W",2010,1,3
"NTWL.W",2013,1,10
"NTWL.W",2017,9,53
"NTWL.W",2018,15,86
"NTWL.W",2019,24,145
"NTWL.W",2020,14,119
"NTWL.W",2021,30,200
"NTWL.W",2022,35,221
"TWL.C",1977,25,64
"TWL.C",1978,71,384
"TWL.C",1979,32,170
"TWL.C",1980,103,318
"TWL.C",1981,60,192
"TWL.C",1982,90,437
"TWL.C",1983,125,421
"TWL.C",1984,82,373
"TWL.C",1985,94,447
"TWL.C",1986,57,396
"TWL.C",1987,60,305
"TWL.C",1988,52,272
"TWL.C",1989,45,247
"TWL.C",1990,49,349
"TWL.C",1991,36,191
"TWL.C",1992,29,229
"TWL.C",1993,34,252
"TWL.C",1994,16,151
"TWL.C",1995,16,273
"TWL.C",1996,24,442
"TWL.C",1997,23,355
"TWL.C",1998,14,210
"TWL.C",1999,14,305
"TWL.C",2000,11,87
"TWL.C",2001,17,203
"TWL.C",2002,15,294
"TWL.C",2003,5,46
"TWL.C",2004,6,15
"TWL.C",2005,9,67
