"YEAR","dockside","Crooke.CPFV","ccrs","mrfss","Crooke.86.88","debWV"
1959,806,NA,NA,NA,NA,NA
1960,1704,NA,NA,NA,NA,NA
1961,127,NA,NA,NA,NA,NA
1966,456,NA,NA,NA,NA,NA
1975,NA,34,NA,NA,NA,NA
1976,NA,156,NA,NA,NA,NA
1977,NA,99,158,NA,NA,NA
1978,NA,174,55,NA,NA,NA
1979,NA,NA,58,NA,NA,NA
1980,NA,NA,77,874,NA,NA
1981,NA,NA,37,437,NA,NA
1982,NA,NA,23,636,NA,NA
1983,NA,NA,61,439,NA,NA
1984,NA,NA,8,546,26,NA
1985,NA,NA,7,1109,43,NA
1986,NA,NA,NA,1386,42,NA
1987,NA,NA,NA,618,40,103
1988,NA,NA,NA,393,39,1089
1989,NA,NA,NA,568,20,1575
1990,NA,NA,NA,NA,NA,571
1991,NA,NA,NA,NA,NA,545
1992,NA,NA,NA,NA,NA,1109
1993,NA,NA,NA,572,NA,1367
1994,NA,NA,NA,483,NA,1366
1995,NA,NA,NA,489,NA,1761
1996,NA,NA,NA,1112,NA,1642
1997,NA,NA,NA,1760,NA,2067
1998,NA,NA,NA,737,NA,645
1999,NA,NA,NA,983,NA,NA
2000,NA,NA,NA,393,NA,NA
2001,NA,NA,NA,175,NA,NA
2002,NA,NA,NA,117,NA,NA
2003,NA,NA,NA,49,NA,NA
