"Year","wa_N","or_MT","ca_MT"
1967,826,0,0
1968,0,0,0
1969,0,0,0
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,3509,0,0
1976,1562,0,0
1977,4022,0,0
1978,5886,0,0
1979,2823,35.4,0
1980,2165,37.25,295.91375596335
1981,2464,47.18,153.09082683724
1982,2844,50.54,275.61047242685
1983,4959,28.91,105.618047782506
1984,7847,36.01,107.432694880821
1985,3792,19.31,163.797973031629
1986,6195,38.5,226.850413920441
1987,0,24.97,225.157032283363
1988,0,19.51,184.237031372983
1989,0,22.81,115.598959850598
1990,8905,14.16,174.997674502315
1991,9691,19.25,165.672537756047
1992,18889,26.36,156.34740100978
1993,18046,35.6,161.972438166192
1994,10417,28.25,133.687169012701
1995,10096,35.18,173.382595850447
1996,9520,21.97,63.082521253227
1997,9009,28.05,102.59471670063
1998,13533,41.98,26.599320102097
1999,7921,25.09,64.867898762048
2000,6196.56927916344,20.82,77.057806000829
2001,5385.63525350529,11.1290199,33.36642336476
2002,2453.01926874986,9.1097257,6.208423306743
2003,2034.04389194831,9.0315874,18.11121870869
2004,1045.22772296657,2.1555114,0
2005,1706.8185147928,3.1682057,5.82578256495356
2006,986.039975301695,1.7349368,14.0840054826575
2007,984.923434185723,1.9310435,14.0501458858038
2008,786.958424460221,2.5406521,7.55706053176236
2009,774.808883409253,3.4720267,17.9676635061849
2010,1268.02510184409,4.5443302,15.7641943054587
2011,1225.54660642172,3.0802896,19.7824984502695
2012,971.133778125616,2.9726271,18.1617371628578
2013,988.229789578597,3.9913786,14.8007863710651
2014,1366.3587927616,3.0198054,22.3692182176326
2015,2032.44114322576,14.3179772,26.867011921066
2016,2736.212,9.7453727,23.709880254705
2017,5226.3322,28.2356082,83.434018103713
2018,5021.7088,43.5905905,61.844178270446
2019,10733.5663096423,38.7072733,71.368682752686
2020,6221.7641,60.5662657,46.293734401972
2021,19419.5409,38.5605912,69.554564452678
2022,20117.2167,53.0371986,0
