"Year","NTWL.C","NTWL.O","NTWL.W","TWL.C","TWL.O","TWL.W","rec.C","rec.O","rec.W.N","rec.W.mt.2","FOR.C","FOR.O","FOR.W"
1892,0,5.79,0,0,0,0,0,0,0,0,0,0,0
1893,0,5.79,0,0,0,0,0,0,0,0,0,0,0
1894,0,5.79,0,0,0,0,0,0,0,0,0,0,0
1895,0,1.49,0,0,0,0,0,0,0,0,0,0,0
1896,0,0.36,0,0,0,0,0,0,0,0,0,0,0
1897,0,0.37,0,0,0,0,0,0,0,0,0,0,0
1898,0,0.21,0,0,0,0,0,0,0,0,0,0,0
1899,0,0.35,0,0,0,0,0,0,0,0,0,0,0
1900,0,0.49,0,0,0,0,0,0,0,0,0,0,0
1901,0,0.64,0,0,0,0,0,0,0,0,0,0,0
1902,0,0.78,0,0,0,0,0,0,0,0,0,0,0
1903,0,0.92,0,0,0,0,0,0,0,0,0,0,0
1904,0,1.07,0,0,0,0,0,0,0,0,0,0,0
1905,0,1.21,0,0,0,0,0,0,0,0,0,0,0
1906,0,1.35,0,0,0,0,0,0,0,0,0,0,0
1907,0,1.49,0,0,0,0,0,0,0,0,0,0,0
1908,0,1.64,0,0,0,0,0,0,0,0,0,0,0
1909,0,1.78,0,0,0,0,0,0,0,0,0,0,0
1910,0,1.92,0,0,0,0,0,0,0,0,0,0,0
1911,0,2.07,0,0,0,0,0,0,0,0,0,0,0
1912,0,2.21,0,0,0,0,0,0,0,0,0,0,0
1913,0,2.35,0,0,0,0,0,0,0,0,0,0,0
1914,0,2.5,0,0,0,0,0,0,0,0,0,0,0
1915,0,2.64,0,0,0,0,0,0,0,0,0,0,0
1916,0.98,2.78,0,1.92,0,0,0,0,0,0,0,0,0
1917,1.73,2.92,0,2.98,0,0,0,0,0,0,0,0,0
1918,3.14,3.07,0,3.49,0,0,0,0,0,0,0,0,0
1919,1.14,3.21,0,2.43,0,0,0,0,0,0,0,0,0
1920,1.33,3.35,0,2.48,0,0,0,0,0,0,0,0,0
1921,1.58,3.5,0,2.05,0,0,0,0,0,0,0,0,0
1922,1.23,3.64,0,1.76,0,0,0,0,0,0,0,0,0
1923,0.74,3.78,0,1.9,0,0,0,0,0,0,0,0,0
1924,0.98,3.93,0,1.09,0,0,0,0,0,0,0,0,0
1925,2.73,4.07,0,0.9,0,0,0,0,0,0,0,0,0
1926,2.74,4.21,0,2.65,0,0,0,0,0,0,0,0,0
1927,4.45,4.32,0,3.92,0,0,0,0,0,0,0,0,0
1928,3.89,7.21,0,4.96,0,0,1.59,0,0,0,0,0,0
1929,0.14,12.35,0,4.37,0,0,3.18,0,0,0,0,0,0
1930,0.33,11.26,0,4.83,0,0,3.65,0,0,0,0,0,0
1931,7.75,9.04,0,13.38,0,0,4.87,0,0,0,0,0,0
1932,5.82,2.88,0,13.52,0.8,0.04,6.09,0,0,0,0,0,0
1933,4.47,4.74,0,21.78,0.49,0,7.31,0,0,0,0,0,0
1934,3.79,5.11,0,17.12,0.02,0.3,8.53,0,0,0,0,0,0
1935,6.92,4.59,0,16.7,0.39,2.32,9.74,0,0,0,0,0,0
1936,6.65,10.97,0,11.42,1.42,2.99,10.96,0,0,0,0,0,0
1937,4.69,13.07,0,20.34,2.77,2.67,13,0,0,0,0,0,0
1938,6.31,12.9,0,20.18,0,3.94,12.78,0,0,0,0,0,0
1939,6.15,7.35,0,26.31,3.95,4.13,11.18,0,0,0,0,0,0
1940,2.71,16.27,0,20.17,90.77,9.14,16.07,0,0,0,0,0,0
1941,4.43,21.77,0,16.55,139.74,3.42,14.85,0,0,0,0,0,0
1942,4.08,30.24,0,3.67,262.48,66.47,7.89,0,0,0,0,0,0
1943,5.39,74.85,0,27.51,917.6,214.84,7.54,0,0,0,0,0,0
1944,27.51,19.25,0,131.36,1610.2,89.28,6.19,0,0,0,0,0,0
1945,66.96,12.27,0,297.32,2484.51,935.69,8.26,0,0,0,0,0,0
1946,68.75,15.07,0,269.36,1529.76,471.69,14.22,0,0,0,0,0,0
1947,14.98,7.63,0,107.5,953.64,246.41,11.34,0,0,0,0,0,0
1948,27.47,12.54,0,114.32,679.51,400.13,22.68,0,0,0,0,0,0
1949,9.17,8.36,0,99.75,588.37,486.65,29.37,0,0,0,0,0,0
1950,4.89,7.77,0,83.87,616.19,467.66,35.81,0,0,0,0,0,0
1951,9.23,5.98,0,174.88,566.89,391.25,42.39,0,0,0,0,0,0
1952,7.2,5.69,0,120.51,587.21,373.14,37.05,0,0,0,0,0,0
1953,4.29,2.97,0,111.75,615.48,161.8,31.71,0,0,0,0,0,0
1954,10.05,3.47,0,68.49,781.51,232.09,39.93,0,0,0,0,0,0
1955,0.43,4.3,0,65.41,787.13,219.01,48.4,0,0,0,0,0,0
1956,1.09,2.74,0,70.64,1166.09,209.22,54.09,0,0,0,0,0,0
1957,2.1,5.95,0,93.43,1214.61,173.08,50.72,0,0,0,0,0,0
1958,4.02,1.19,0,123.61,830.09,219.11,86.28,0,0,0,0,0,0
1959,3.58,2.44,0,99.58,908.86,244.95,69.57,0,0,0,0,0,0
1960,4.01,1.62,0,69.15,1082.92,221.5,54.2,0,0,0,0,0,0
1961,2.28,4.51,0,47.99,982.77,262.94,38.06,0,0,0,0,0,0
1962,3.5,4.12,0,44.38,1148.46,366.37,46.54,0,0,0,0,0,0
1963,3.95,3.69,0,77.91,660.5,294.94,49.63,0,0,0,0,0,0
1964,1.99,0.85,0,40.02,1014.13,217.72,45.47,0,0,0,0,0,0
1965,3.98,6.21,0,60.15,832.24,485.18,69.44,0,0,0,0,0,0
1966,2.02,4.21,0,39.62,934.57,664.13,75.39,0,0,0,41,1445,113
1967,2.88,11.88,0,64.92,151.99,324.21,79.39,0,826,0.8,103,658,90
1968,2.46,10.82,0,73.28,873.22,559.54,84.36,0,1161.38,1.12,415,286,109
1969,18.97,23.98,0,198.25,282.54,545.4,92.32,0,1496.75,1.45,5,50,12
1970,11.97,9.34,0,217.59,592.93,504.6,115.94,0,1832.12,1.77,0,73,28
1971,21.14,19.02,0,329.74,776.69,578.12,101.06,0,2167.5,2.1,0,118,70
1972,40.85,24.72,0,409.43,752.71,161.23,133.26,0,2502.88,2.42,13,318,68
1973,19.55,26.28,0,318.19,928.1,361.24,155.22,5.06,2838.25,2.75,372,525,68
1974,49.98,33.22,0,400.09,585.06,552.18,163.78,10.11,3173.62,3.07,150,81,288
1975,35.95,17.5,0,435.18,415.04,759.43,158.92,15.17,3509,3.4,63,141,0
1976,50.03,23.28,0,474.82,267.32,579.15,175.23,20.23,1562,1.51,49,114,0
1977,59.51,28.71,0,460.36,622.26,486.05,167.54,25.29,4022,3.89,0,0,0
1978,146.02,44.84,0,653.84,1877.68,1413.42,161.3,30.34,5886,5.69,0,0,0
1979,128.65,126.67,0,314.64,1409.24,711.77,178.88,35.4,2823,4.21,0,0,0
1980,95.77,72.85,0,442.71,2983.21,763.35,165.98,37.25,2165,2.71,0,0,0
1981,172.23,79.16,0,546.82,2041.26,533.52,153.09,47.18,2464,2.34,0,0,0
1982,45.34,145.61,0,807.07,3896.97,451.24,275.61,50.54,2844,2.54,0,0,0
1983,70.03,298,0,513.09,3573.6,674.93,105.62,28.91,4959,4.43,0,0,0
1984,63,200.51,0,402.05,1354.99,635.6,107.43,36.01,7847,7.59,0,0,0
1985,117.41,199.27,0,332.45,1132.95,1076.48,163.8,19.31,3792,3.67,0,0,0
1986,58.65,158.56,0,172.26,1099.88,932.4,226.85,38.5,6195,5.99,0,0,0
1987,52.95,250.5,0,213.87,1597.48,1054.33,225.16,24.97,6872.5,6.65,0,0,0
1988,56.52,208.26,0,231.73,1745.71,1015.62,184.24,19.51,7550,7.3,0,0,0
1989,224.91,204.2,0,188.26,1652.38,1253.67,115.6,22.81,8227.5,7.96,0,0,0
1990,216.69,268.02,0,337.9,1099.46,1140.75,175,14.16,8905,8.62,0,0,0
1991,167.21,295.09,0,151.1,2095.84,1007.67,165.67,19.25,9691,9.38,0,0,0
1992,131.96,185.19,0,233.44,1691.55,855.62,156.35,26.36,18889,18.28,0,0,0
1993,112.06,460.56,0,93.33,1716.38,300.56,161.97,35.6,18046,17.46,0,0,0
1994,97.73,120.85,0,124.64,754.2,155.08,133.69,28.25,10417,10.08,0,0,0
1995,115.08,116.34,3.64,132.9,583.47,162.44,173.38,35.18,10096,8.85,0,0,0
1996,125.65,164.18,3.55,219,792.76,191.37,63.08,21.97,9520,8.48,0,0,0
1997,104.26,251.43,5.62,176.01,602.31,205.07,102.59,28.05,9009,7.99,0,0,0
1998,81.2,246.31,6.24,159.13,713.18,204.63,26.6,41.98,13533,12,0,0,0
1999,30.61,118.76,6.46,99.82,399.48,141.09,64.87,25.09,7921,7.66,0,0,0
