"year","CA","OR","WA"
1975,0,0,0
1976,0,8.14085337454626,0
1977,0,1.53068569574357,0
1978,0.426868275154524,11.9251397688993,0.561878829309421
1979,0.0271153272285936,11.1729583272501,0.308613747846524
1980,0.397899029414999,8.43787659368703,1.71411041192823
1981,2.80980455598846,1.48471983831222,0.33214860650057
1982,0.0584762693677185,0.223517472989774,27.0283911872756
1983,0.0524333441450622,2.05810428402918,26.2348291522985
1984,0.037097179670723,1.17418059651634,2.11661502266762
1985,0,4.59054275693674,2.81421890344062
1986,0.02618,0.859044,3.8255032
1987,0,2.46757297954458,6.30759081435739
1988,0.161997044663573,3.68531444895592,2.22993010440835
1989,0.282786813643927,1.56537703826955,1.05185890183028
1990,0.06412643771024,2.1564592952868,1.82526676414262
1991,0.0238186957406516,2.07836009915531,1.75495741312473
1992,0,0.0948565337629155,2.17403494440789
1993,0,0.16374826208147,0.686221767868727
1994,0,0.65985630106282,3.95131642253416
1995,0,0.145363942385402,0.258596977818522
1996,0,0.0243310223003636,0.980484862816582
1997,0,0.457758401578669,2.66758962641954
1998,0,0.245822960945712,4.73702170232886
1999,0,0.0688597347983199,6.74874137658334
2000,0,0.237024015948826,2.2262897747445
2001,0,1.03607958585724,2.9088803429176
2002,0,2.40816700616973,2.83011161398234
2003,0,0.244995086439503,0.685223155818726
2004,0,4.4892399666917,0.72507323848421
2005,0,0.52857616182348,0.914722160471223
2006,0,0.44817533426161,0.640446113229822
2007,0,1.75498203873748,0.240878116138163
2008,0,0.529604935003779,3.25387596056714
2009,0,0.0258285132705896,2.51530290994293
2010,0,0.032528868290491,1.1434817454994
2011,0,0.00989211476240481,1.06779771993493
2012,0,0.100541815828554,0.312305935294113
2013,0,0.0796129010138236,0.547964195754926
2014,0,0.373380227505039,0.258080317109805
2015,0,0.0794543727448067,0.13017653756727
2016,0,0.228232456656879,0.29118726811075
2017,0,1.79599003794826,4.76777651115703
2018,0,3.0201850839807,2.52904358011277
2019,0,0.705137826205356,4.31432668872215
2020,0,0.209752876504888,0.719167055934802
2021,0,3.24977080171738,2.67296000128531
2022,0,4.23576431966766,1.54344756889683
