"year","C_ca_mrfss_U_N","C_debWV_U_N","O_or_mrfss_U_N","O_or_ora_F_N","O_or_ora_M_N","O_or_ora_U_N","O_or_recfin_U_N","C_recfin_U_N","O_recfin_F_N","O_recfin_M_N","O_recfin_U_N","W_recfin_F_N","W_recfin_M_N","W_recfin_U_N","W_wa_sport_F_N","W_wa_sport_M_N","W_wa_sport_U_N","C_ca_mrfss_U_ntrip","C_debWV_U_ntrip","O_or_mrfss_U_ntrip","O_or_ora_F_ntrip","O_or_ora_M_ntrip","O_or_ora_U_ntrip","O_or_recfin_U_ntrip","C_recfin_U_ntrip","O_recfin_F_ntrip","O_recfin_M_ntrip","O_recfin_U_ntrip","W_recfin_F_ntrip","W_recfin_M_ntrip","W_recfin_U_ntrip","W_wa_sport_F_ntrip","W_wa_sport_M_ntrip","W_wa_sport_U_ntrip"
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1980,873,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,15,207,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1981,429,0,77,0,0,0,0,0,0,0,0,0,0,0,0,2,43,118,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,4
1982,616,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,6,153,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1983,425,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,140,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1984,534,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,1108,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1384,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,618,103,203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1988,393,1089,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,141,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,564,1575,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,164,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,571,1367,525,0,0,0,0,0,0,0,0,0,0,14,0,0,0,198,167,123,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1994,483,1366,642,0,0,0,0,0,0,0,0,0,0,18,0,0,0,127,166,129,0,0,0,0,0,0,0,0,0,0,5,0,0,0
1995,489,1761,599,0,0,0,0,0,0,0,0,0,0,54,0,0,38,127,187,106,0,0,0,0,0,0,0,0,0,0,20,0,0,15
1996,1112,1642,329,0,0,0,0,0,0,0,0,0,0,34,0,0,15,215,155,77,0,0,0,0,0,0,0,0,0,0,16,0,0,7
1997,1760,2067,443,0,0,0,0,0,0,0,0,0,0,30,0,0,14,200,194,110,0,0,0,0,0,0,0,0,0,0,13,0,0,6
1998,736,645,705,0,0,0,0,0,0,0,0,0,0,19,0,0,0,154,94,169,0,0,0,0,0,0,0,0,0,0,11,0,0,0
1999,981,0,765,237,156,0,0,0,237,156,0,0,0,9,0,0,0,205,0,165,37,37,0,0,0,35,35,0,0,0,5,0,0,0
2000,386,0,365,251,116,0,0,0,251,116,0,0,0,0,0,0,0,92,0,94,27,28,0,0,0,28,29,0,0,0,0,0,0,0
2001,175,0,178,17,1,0,1005,0,17,1,1005,0,0,0,0,0,0,65,0,63,3,1,0,437,0,3,1,232,0,0,0,0,0,0
2002,110,0,153,0,0,0,1540,0,0,0,1540,97,45,56,97,45,56,48,0,65,0,0,0,595,0,0,0,323,6,5,10,6,5,10
2003,48,0,36,0,0,0,1845,0,0,0,1845,123,74,32,123,74,32,33,0,18,0,0,0,787,0,0,0,360,6,5,12,6,5,12
2004,0,0,0,0,0,0,23,209,0,0,23,28,12,4,28,12,4,0,0,0,0,0,0,18,106,0,0,17,6,4,1,6,4,1
2005,0,0,0,0,0,0,18,398,0,0,18,34,7,10,34,7,10,0,0,0,0,0,0,11,167,0,0,11,5,3,4,5,3,4
