

 Females then males 
"fishyr","month","fleet","sex","partition","ageErr","LbinLo","LbinHi","Ntows","Nsamps","Ninput_b","InputN","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","A25","A26","A27","A28","A29","A30","A31","A32","A33","A34","A35","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","A25","A26","A27","A28","A29","A30","A31","A32","A33","A34","A35"
1980,1,"NTWL",3,0,0,-1,-1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.375,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,1,"NTWL",3,0,0,-1,-1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
1982,1,"NTWL",3,0,0,-1,-1,2,12,4,0,0,0,0,0,0,0.206,0.0921,0.0921,0.0921,0,0.0921,0,0,0.0921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569,0.0921,0,0.1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,1,"NTWL",3,0,0,-1,-1,2,6,3,0,0,0,0,0.3333,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,1,"NTWL",3,0,0,-1,-1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,1,"NTWL",3,0,0,-1,-1,3,29,7,0,0,0,0,0,0,0,0,0.1335,0.1111,0.0687,0,0.031,0,0.031,0,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377,0,0,0.0357,0,0,0,0,0,0,0,0,0.0357,0.0377,0.0357,0.0734,0.031,0,0.0668,0,0.0377,0.0734,0,0.031,0,0.031,0,0,0,0,0,0.031,0,0,0,0,0,0,0.031
1997,1,"NTWL",3,0,0,-1,-1,1,17,3,0,0,0,0,0,0.0588,0,0,0,0,0,0,0.1176,0,0,0,0,0,0,0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0.1176,0.0588,0,0.2941,0.1176,0.1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,"NTWL",3,0,0,-1,-1,4,87,16,0,0,0,0,0,0.0279,0.0557,0.0912,0.0989,0.0279,0.0142,0.0218,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086,0.0258,0.0354,0.0976,0.0351,0.1142,0.0219,0.0226,0.044,0.0896,0.0151,0.0067,0.0496,0.0067,0,0.0067,0,0.0228,0.02,0.0067,0,0,0.0067,0,0.0067,0,0,0,0,0,0.0067
2001,1,"NTWL",3,0,0,-1,-1,5,39,10,0,0,0,0,0.0792,0.0728,0.0243,0.0741,0.0728,0.0741,0.0984,0.0256,0.0243,0,0.0243,0.0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565,0.027,0,0.0997,0.0741,0.0499,0.0243,0,0.0486,0,0.0243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1,"NTWL",3,0,0,-1,-1,4,30,8,0,0,0,0,0.1333,0.0667,0.1667,0.0667,0,0.0333,0,0,0.0333,0,0.0333,0.0333,0.0333,0,0,0,0,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667,0.2,0.0667,0,0,0,0,0,0,0,0,0,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
