"Var1","Freq"
"Size_DblN_descend_se_28_coastwide_NWFSC(28)",3
"Size_DblN_descend_se_5_OR_NTWL(5)_BLK2repl_2020",11
"Size_DblN_descend_se_9_WA_REC(9)_BLK5repl_2021",11
