"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","NatM_uniform_Fem_GP_1",0.07,4322.71,0.000935964,8878.01,2517.29,0.283543,2
"4","NatM_uniform_Fem_GP_1",0.071,4321.23,0.00161366,8717.4,2540.62,0.291442,2
"3","NatM_uniform_Fem_GP_1",0.072,4320.13,0.000195303,8559.68,2559.89,0.299064,2
"2","NatM_uniform_Fem_GP_1",0.073,4319.39,0.00053356,8404.77,2575.41,0.306423,2
"1","NatM_uniform_Fem_GP_1",0.074,4319.04,0.00045885,8252.6,2587.43,0.313529,2
"6","NatM_uniform_Fem_GP_1",0.0744685,4318.99,0.000173814,8182.19,2591.88,0.316771,2
"7","NatM_uniform_Fem_GP_1",0.075,4319.05,7.26288e-05,8102.59,2595.69,0.320353,2
"8","NatM_uniform_Fem_GP_1",0.076,4319.43,0.000997895,7952.51,2598.36,0.326735,2
"9","NatM_uniform_Fem_GP_1",0.077,4319.24,0.000526509,7789.66,2597.47,0.333451,3
"10","NatM_uniform_Fem_GP_1",0.078,4320.34,0.00024324,7644.54,2594.51,0.339394,3
"11","NatM_uniform_Fem_GP_1",0.079,4321.81,0.00150086,7502.33,2589.5,0.345159,3
