"year","month","fleet","sex","partition","InputN","F.999","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","M.999","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66"
2003,"7","Enter Fleet",3,0,34,0,0,3.59198169074329,4.78930892099106,6.046280974835,0,1.19732723024776,0.912906628584867,0,0.963093487296505,0,0.963093487296505,0.963093487296505,3.85245915607687,4.81563785026423,8.28884113516028,1.92618697459301,0.583922823006542,0.844655909012674,0,0,0,0,0,0,0,0,0,0,0,0.895439215960273,14.3677563491915,18.303718258303,2.7387198857546,0,0.940939695675069,0.912906628584867,0,0.912906628584867,0,0,0.564154824328953,5.60380159064224,0.963093487296505,6.27940702820518,3.17097444304516,1.76915067475337,0.67526460999954,0,2.16297692426982,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",3,0,26,0,0,0.667008285783235,0.667008285783235,1.33401657156647,2.66809392945261,2.594360123688,0,0,1.31705718837741,1.95008592146286,2.59502877320442,5.08672080296297,6.21145007589172,4.47818895670616,5.81974303191221,5.16969412931803,4.51970601304353,0,0.650048902594178,0,0.747428586711989,0,0.650048902594178,0,0,0,0,0,0,0,1.33401657156647,0,0,4.43721897724586,0.515771922434225,0.667008285783235,0,2.0010248573497,0.650170475233526,3.21036868726472,6.26822449846727,11.3964015714479,2.48658597890593,5.22841371412315,7.04707961245074,3.87476316130197,2.45722618650337,0,1.30003701886868,0,0,0,0,0,0,0,0
2005,"7","Enter Fleet",3,0,38,0,0,0,0,0.155353059148354,0.310684408813876,1.32499486570731,0.155353059148354,0.155353059148354,0.155353059148354,0.310706118296709,0.551985310495536,1.21154110842541,2.41107687284452,4.49935544545471,4.24659193683756,4.23840746180976,2.59454371226078,6.28615442997194,6.38104657943218,4.61126782945551,2.84148907947885,2.63865738137613,0,0,0,0,0,0,0,0,0,0.310684408813876,0.155353059148354,0.703626048079557,0.621390527110585,0.360138610705988,0.310706118296709,0.155353059148354,0.40618442379342,1.18401348419398,1.79661167075746,3.94902005565443,3.7516157282598,3.98280001094158,3.39733867791855,5.30742581544074,9.89357577325922,12.5525749400493,3.90625237447468,0.957648706700979,0.811847819998862,0.405923909999431,0,0,0,0,0
2006,"7","Enter Fleet",3,0,34,0,0,0.61002661934339,0.61002661934339,0.61002661934339,0.568163720337633,0,0,0,0.564011557800378,0,0,1.10163128796669,3.67113735126157,1.62332491525038,5.30908015380065,7.84571019043069,3.32588219234182,6.39899438036084,4.89972243077833,2.63013901212659,2.58964120765363,0,0,0,0,0,0,0,0,0,0,0,0,0.541999408459036,0.564011557800378,0,0,0,0,1.82894227925284,2.81903396810229,2.45717015903351,8.47314176506723,7.49840738971174,12.4653038472914,7.49886242122267,8.68228562327941,3.18277478215366,0.550815643983346,0.677769435533411,0.401963460969672,0,0,0,0,0,0
2007,"7","Enter Fleet",3,0,26,0,0,0,0,0,0,0,0,0.367668820472976,0.367668820472976,1.47074331831316,1.47074331831316,2.20604694104848,1.85116896777183,0.922675926877176,0,2.40056306942232,1.00639474323395,8.3555188763649,2.47428053185431,8.12473933546106,7.11837861043774,5.49343074334553,0.618587142068892,0.618587142068892,0,0,0,0,0,0,0,0,0,0,0,0.367668820472976,0.367668820472976,0.367668820472976,0.367668820472976,2.57374977973209,1.83837812057551,0.735337640945951,1.47074331831316,0.713055712984275,5.79377752498467,10.1173900412369,16.4999887739905,8.45362739581753,5.07827250083515,0,0,0,0.387807601165056,0,0,0,0
2008,"7","Enter Fleet",3,0,29,0,0,0,0,0,0,0,0.825539690345775,0,0,0.825539690345775,3.48488188709322,1.86517492241686,1.86517492241686,0,6.30193406705218,0.932587461208432,0.932587461208432,1.96416761349183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47661907103732,1.65107938069155,1.65107938069155,1.75812715155421,3.73013786904984,7.35375790669674,13.9880700028829,11.1872339703912,17.8311909647442,6.52779426478319,5.85699689667452,4.98821414641591,0.91446353168614,1.08764774712137,0,0,0,0,0,0,0,0
2009,"7","Enter Fleet",3,0,31,0,0.619890838228242,0,0,1.07172854256006,1.60152904096754,0,0,1.6909956784357,1.11344729992322,2.88794979334662,1.73278373606025,11.5102190165461,7.02947201516844,6.40445295759656,4.61920892365606,0.577617678773884,0.533612012784512,0.714693595824243,0,0,1.29224197433673,0,0,0,0,0,0,0,0,0,0,0.535829621149331,4.28684486997885,3.73292788060397,1.06569941981821,0,1.6432477983307,2.14338778485872,4.00139709326984,7.95670951270828,9.1536636276192,7.55954971462152,6.38789019512182,3.0505282065924,1.63943628395366,0,2.14401148721133,0,1.29903339995398,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",3,0,26,0,0,1.67716246237638,23.4791547226602,0,0,0,0,0,0,0,0,1.79652787731117,0,3.59305575462233,1.79652787731117,3.03788340260857,1.79652787731117,0,0,0,0,0,0,0,0,0,0,0,0,1.67716246237638,3.35432492475276,31.8645191342984,1.67716246237638,0,0,0,0,0,1.79652787731117,0,0,6.64392826429698,0,1.30137415794754,4.65301168123835,3.05064855955282,1.79652787731117,3.26631252687401,0,1.74166009746309,0,0,0,0,0,0,0
2011,"7","Enter Fleet",3,0,21,0,0,0,0,5.3803439903147,8.07051598547206,0,2.22315407871332,4.44630815742663,2.22315407871332,0,0,0,0,2.03546766044652,0,0,1.78623362393729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69017199515735,2.55794606805408,10.2936700641854,0,17.7855708034331,24.4553712132997,8.89295448857987,0,0,0,0,2.36417252270837,2.57586927556424,0,2.21909599399403,0,0,0,0,0,0,0,0,0,0,0
2012,"7","Enter Fleet",3,0,33,0,0,0,7.01642942950729,4.00926478086892,0,3.50799865176696,0,0,0,0,0,0,5.61720552775545,2.89783677737734,2.89783677737734,2.56639615580734,2.89783677737734,0,3.01796779797247,2.70035520755011,0,0,0,0,0,0,0,0,0,0,3.660106994391,7.66937177525992,0,0,0,0,0,0,0,5.79567355475468,6.53374471725998,0,6.76968549871659,3.07414417450975,18.1747863137062,8.295522310664,0,2.89783677737734,0,0,0,0,0,0,0,0,0
