"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","F9.1","F10.1","F11.1","F12.1","F13.1","F14.1","F15.1","F16.1","F17.1","F18.1","F19.1","F20.1","F21.1","F22.1","F23.1","F24.1","F25.1","F26.1","F27.1","F28.1","F29.1","F30.1","F31.1","F32.1","F33.1","F34.1","F35.1"
2003,"7","Enter Fleet",1,0,"1","Enter","Enter",38,0,12.032831919183,3.70667016582965,0,0,8.73225779515241,9.3160954112681,2.18308575051082,0,0,1.42857873201922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.032831919183,3.70667016582965,0,0,8.73225779515241,9.3160954112681,2.18308575051082,0,0,1.42857873201922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",1,0,"1","Enter","Enter",30,0,1.33401657156647,6.62613434870802,3.54967792368521,14.4501239129127,4.3240348500128,8.2485820071278,2.68298657777275,4.02441908033946,1.34149328888638,0,0,0,0.747428586711989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33401657156647,6.62613434870802,3.54967792368521,14.4501239129127,4.3240348500128,8.2485820071278,2.68298657777275,4.02441908033946,1.34149328888638,0,0,0,0.747428586711989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"7","Enter Fleet",1,0,"1","Enter","Enter",40,0,0,0.435219651187383,1.75379222209313,0.849377807421509,1.23909233082667,8.30339006613397,6.40693311910199,19.1842766606352,6.41923180228637,4.79385100979876,0,2.06967072252348,4.13934144504696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435219651187383,1.75379222209313,0.849377807421509,1.23909233082667,8.30339006613397,6.40693311910199,19.1842766606352,6.41923180228637,4.79385100979876,0,2.06967072252348,4.13934144504696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"7","Enter Fleet",1,0,"1","Enter","Enter",38,0,0.610025925390843,1.17818899939822,1.17403684158437,0.536254025602319,5.71422233496879,8.52039847064083,10.988827851537,4.24600795621692,6.37543924710572,2.7321198415127,1.36605992075635,1.42703407385836,3.08044606688273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610025925390843,1.17818899939822,1.17403684158437,0.536254025602319,5.71422233496879,8.52039847064083,10.988827851537,4.24600795621692,6.37543924710572,2.7321198415127,1.36605992075635,1.42703407385836,3.08044606688273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"7","Enter Fleet",1,0,"1","Enter","Enter",30,0,0,0,0,3.08490636320619,4.16025565356955,1.15168612904532,3.69978531114576,4.08755876218659,5.54966095761911,6.3252758960989,5.16185348837921,5.16185348837921,1.46206817723346,2.92417037266597,1.46206817723346,1.84987564647335,0.775614938479788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08490636320619,4.16025565356955,1.15168612904532,3.69978531114576,4.08755876218659,5.54966095761911,6.3252758960989,5.16185348837921,5.16185348837921,1.46206817723346,2.92417037266597,1.46206817723346,1.84987564647335,0.775614938479788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"7","Enter Fleet",1,0,"1","Enter","Enter",32,0,0,0,1.65108288058743,4.4202344033187,1.4734467971451,2.905664216928,4.4202344033187,6.19691320209178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65108288058743,4.4202344033187,1.4734467971451,2.905664216928,4.4202344033187,6.19691320209178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"7","Enter Fleet",1,0,"1","Enter","Enter",32,0.62292908288404,2.68635990746247,0,0,1.14446244249484,1.68291830262445,8.58959663165636,13.4349333337047,3.31465126417346,0.718196493212197,0.536227382695037,0,0,0,0.718196493212197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62292908288404,2.68635990746247,0,0,1.14446244249484,1.68291830262445,8.58959663165636,13.4349333337047,3.31465126417346,0.718196493212197,0.536227382695037,0,0,0,0.718196493212197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",1,0,"1","Enter","Enter",30,25.1560932349147,0,0,0,0,0,0,5.38980758205533,4.83463523004156,0,0,1.79652787731117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1560932349147,0,0,0,0,0,0,5.38980758205533,4.83463523004156,0,0,1.79652787731117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"7","Enter Fleet",1,0,"1","Enter","Enter",24,0,13.4504308304138,2.22313904256902,6.66975529914646,0,0,0,0,2.03545389370595,1.78622154287337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4504308304138,2.22313904256902,6.66975529914646,0,0,0,0,2.03545389370595,1.78622154287337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"7","Enter Fleet",1,0,"1","Enter","Enter",32,0,11.0253573712686,3.50802896997563,0,3.21979845470416,0,2.71939225277859,6.43959690940833,3.01799388104333,2.56641833612777,3.21979845470416,2.70037854562425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0253573712686,3.50802896997563,0,3.21979845470416,0,2.71939225277859,6.43959690940833,3.01799388104333,2.56641833612777,3.21979845470416,2.70037854562425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
