"year","month","fleet","sex","partition","InputN","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","F12.1","F14.1","F16.1","F18.1","F20.1","F22.1","F24.1","F26.1","F28.1","F30.1","F32.1","F34.1","F36.1","F38.1","F40.1","F42.1","F44.1","F46.1","F48.1","F50.1","F52.1","F54.1","F56.1","F58.1","F60.1","F62.1","F64.1","F66.1"
2003,"7","Enter Fleet",1,0,38,0,3.59198169074329,4.78930892099106,6.046280974835,0,1.19732723024776,0.912906628584867,0,0.963093487296505,0,0.963093487296505,0.963093487296505,3.85245915607687,4.81563785026423,8.28884113516028,1.92618697459301,0.583922823006542,0.844655909012674,0,0,0,0,0,0,0,0,0,0,0,3.59198169074329,4.78930892099106,6.046280974835,0,1.19732723024776,0.912906628584867,0,0.963093487296505,0,0.963093487296505,0.963093487296505,3.85245915607687,4.81563785026423,8.28884113516028,1.92618697459301,0.583922823006542,0.844655909012674,0,0,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",1,0,30,0,0.667008285783235,0.667008285783235,1.33401657156647,2.66809392945261,2.594360123688,0,0,1.31705718837741,1.95008592146286,2.59502877320442,5.08672080296297,6.21145007589172,4.47818895670616,5.81974303191221,5.16969412931803,4.51970601304353,0,0.650048902594178,0,0.747428586711989,0,0.650048902594178,0,0,0,0,0,0,0.667008285783235,0.667008285783235,1.33401657156647,2.66809392945261,2.594360123688,0,0,1.31705718837741,1.95008592146286,2.59502877320442,5.08672080296297,6.21145007589172,4.47818895670616,5.81974303191221,5.16969412931803,4.51970601304353,0,0.650048902594178,0,0.747428586711989,0,0.650048902594178,0,0,0,0,0
2005,"7","Enter Fleet",1,0,43,0,0,0,0.155353059148354,0.310684408813876,1.32499486570731,0.155353059148354,0.155353059148354,0.155353059148354,0.310706118296709,0.551985310495536,1.21154110842541,2.41107687284452,4.49935544545471,4.24659193683756,4.23840746180976,2.59454371226078,6.28615442997194,6.38104657943218,4.61126782945551,2.84148907947885,2.63865738137613,0,0,0,0,0,0,0,0,0,0.155353059148354,0.310684408813876,1.32499486570731,0.155353059148354,0.155353059148354,0.155353059148354,0.310706118296709,0.551985310495536,1.21154110842541,2.41107687284452,4.49935544545471,4.24659193683756,4.23840746180976,2.59454371226078,6.28615442997194,6.38104657943218,4.61126782945551,2.84148907947885,2.63865738137613,0,0,0,0,0,0
2006,"7","Enter Fleet",1,0,38,0,0.61002661934339,0.61002661934339,0.61002661934339,0.568163720337633,0,0,0,0.564011557800378,0,0,1.10163128796669,3.67113735126157,1.62332491525038,5.30908015380065,7.84571019043069,3.32588219234182,6.39899438036084,4.89972243077833,2.63013901212659,2.58964120765363,0,0,0,0,0,0,0,0,0.61002661934339,0.61002661934339,0.61002661934339,0.568163720337633,0,0,0,0.564011557800378,0,0,1.10163128796669,3.67113735126157,1.62332491525038,5.30908015380065,7.84571019043069,3.32588219234182,6.39899438036084,4.89972243077833,2.63013901212659,2.58964120765363,0,0,0,0,0,0,0
2007,"7","Enter Fleet",1,0,30,0,0,0,0,0,0,0,0.367668820472976,0.367668820472976,1.47074331831316,1.47074331831316,2.20604694104848,1.85116896777183,0.922675926877176,0,2.40056306942232,1.00639474323395,8.3555188763649,2.47428053185431,8.12473933546106,7.11837861043774,5.49343074334553,0.618587142068892,0.618587142068892,0,0,0,0,0,0,0,0,0,0,0,0.367668820472976,0.367668820472976,1.47074331831316,1.47074331831316,2.20604694104848,1.85116896777183,0.922675926877176,0,2.40056306942232,1.00639474323395,8.3555188763649,2.47428053185431,8.12473933546106,7.11837861043774,5.49343074334553,0.618587142068892,0.618587142068892,0,0,0,0
2008,"7","Enter Fleet",1,0,32,0,0,0,0,0,0,0.825539690345775,0,0,0.825539690345775,3.48488188709322,1.86517492241686,1.86517492241686,0,6.30193406705218,0.932587461208432,0.932587461208432,1.96416761349183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825539690345775,0,0,0.825539690345775,3.48488188709322,1.86517492241686,1.86517492241686,0,6.30193406705218,0.932587461208432,0.932587461208432,1.96416761349183,0,0,0,0,0,0,0,0,0,0
2009,"7","Enter Fleet",1,0,35,0.619890838228242,0,0,1.07172854256006,1.60152904096754,0,0,1.6909956784357,1.11344729992322,2.88794979334662,1.73278373606025,11.5102190165461,7.02947201516844,6.40445295759656,4.61920892365606,0.577617678773884,0.533612012784512,0.714693595824243,0,0,1.29224197433673,0,0,0,0,0,0,0,0.619890838228242,0,0,1.07172854256006,1.60152904096754,0,0,1.6909956784357,1.11344729992322,2.88794979334662,1.73278373606025,11.5102190165461,7.02947201516844,6.40445295759656,4.61920892365606,0.577617678773884,0.533612012784512,0.714693595824243,0,0,1.29224197433673,0,0,0,0,0,0,0
2010,"7","Enter Fleet",1,0,30,0,1.67716246237638,23.4791547226602,0,0,0,0,0,0,0,0,1.79652787731117,0,3.59305575462233,1.79652787731117,3.03788340260857,1.79652787731117,0,0,0,0,0,0,0,0,0,0,0,0,1.67716246237638,23.4791547226602,0,0,0,0,0,0,0,0,1.79652787731117,0,3.59305575462233,1.79652787731117,3.03788340260857,1.79652787731117,0,0,0,0,0,0,0,0,0,0,0
2011,"7","Enter Fleet",1,0,24,0,0,0,5.3803439903147,8.07051598547206,0,2.22315407871332,4.44630815742663,2.22315407871332,0,0,0,0,2.03546766044652,0,0,1.78623362393729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3803439903147,8.07051598547206,0,2.22315407871332,4.44630815742663,2.22315407871332,0,0,0,0,2.03546766044652,0,0,1.78623362393729,0,0,0,0,0,0,0,0,0,0,0
2012,"7","Enter Fleet",1,0,33,0,0,7.01642942950729,4.00926478086892,0,3.50799865176696,0,0,0,0,0,0,5.61720552775545,2.89783677737734,2.89783677737734,2.56639615580734,2.89783677737734,0,3.01796779797247,2.70035520755011,0,0,0,0,0,0,0,0,0,0,7.01642942950729,4.00926478086892,0,3.50799865176696,0,0,0,0,0,0,5.61720552775545,2.89783677737734,2.89783677737734,2.56639615580734,2.89783677737734,0,3.01796779797247,2.70035520755011,0,0,0,0,0,0,0,0
