"year","month","fleet","sex","partition","InputN","M.999","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66","M.999.1","M12.1","M14.1","M16.1","M18.1","M20.1","M22.1","M24.1","M26.1","M28.1","M30.1","M32.1","M34.1","M36.1","M38.1","M40.1","M42.1","M44.1","M46.1","M48.1","M50.1","M52.1","M54.1","M56.1","M58.1","M60.1","M62.1","M64.1","M66.1"
2003,"7","Enter Fleet",2,0,38,0,0.895439215960273,14.3677563491915,18.303718258303,2.7387198857546,0,0.940939695675069,0.912906628584867,0,0.912906628584867,0,0,0.564154824328953,5.60380159064224,0.963093487296505,6.27940702820518,3.17097444304516,1.76915067475337,0.67526460999954,0,2.16297692426982,0,0,0,0,0,0,0,0,0,0.895439215960273,14.3677563491915,18.303718258303,2.7387198857546,0,0.940939695675069,0.912906628584867,0,0.912906628584867,0,0,0.564154824328953,5.60380159064224,0.963093487296505,6.27940702820518,3.17097444304516,1.76915067475337,0.67526460999954,0,2.16297692426982,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",2,0,30,0,0,1.33401657156647,0,0,4.43721897724586,0.515771922434225,0.667008285783235,0,2.0010248573497,0.650170475233526,3.21036868726472,6.26822449846727,11.3964015714479,2.48658597890593,5.22841371412315,7.04707961245074,3.87476316130197,2.45722618650337,0,1.30003701886868,0,0,0,0,0,0,0,0,0,0,1.33401657156647,0,0,4.43721897724586,0.515771922434225,0.667008285783235,0,2.0010248573497,0.650170475233526,3.21036868726472,6.26822449846727,11.3964015714479,2.48658597890593,5.22841371412315,7.04707961245074,3.87476316130197,2.45722618650337,0,1.30003701886868,0,0,0,0,0,0,0,0
2005,"7","Enter Fleet",2,0,43,0,0,0,0.310684408813876,0.155353059148354,0.703626048079557,0.621390527110585,0.360138610705988,0.310706118296709,0.155353059148354,0.40618442379342,1.18401348419398,1.79661167075746,3.94902005565443,3.7516157282598,3.98280001094158,3.39733867791855,5.30742581544074,9.89357577325922,12.5525749400493,3.90625237447468,0.957648706700979,0.811847819998862,0.405923909999431,0,0,0,0,0,0,0,0,0.310684408813876,0.155353059148354,0.703626048079557,0.621390527110585,0.360138610705988,0.310706118296709,0.155353059148354,0.40618442379342,1.18401348419398,1.79661167075746,3.94902005565443,3.7516157282598,3.98280001094158,3.39733867791855,5.30742581544074,9.89357577325922,12.5525749400493,3.90625237447468,0.957648706700979,0.811847819998862,0.405923909999431,0,0,0,0,0
2006,"7","Enter Fleet",2,0,38,0,0,0,0,0,0.541999408459036,0.564011557800378,0,0,0,0,1.82894227925284,2.81903396810229,2.45717015903351,8.47314176506723,7.49840738971174,12.4653038472914,7.49886242122267,8.68228562327941,3.18277478215366,0.550815643983346,0.677769435533411,0.401963460969672,0,0,0,0,0,0,0,0,0,0,0,0.541999408459036,0.564011557800378,0,0,0,0,1.82894227925284,2.81903396810229,2.45717015903351,8.47314176506723,7.49840738971174,12.4653038472914,7.49886242122267,8.68228562327941,3.18277478215366,0.550815643983346,0.677769435533411,0.401963460969672,0,0,0,0,0,0
2007,"7","Enter Fleet",2,0,30,0,0,0,0,0,0,0,0.367668820472976,0.367668820472976,0.367668820472976,0.367668820472976,2.57374977973209,1.83837812057551,0.735337640945951,1.47074331831316,0.713055712984275,5.79377752498467,10.1173900412369,16.4999887739905,8.45362739581753,5.07827250083515,0,0,0,0.387807601165056,0,0,0,0,0,0,0,0,0,0,0,0.367668820472976,0.367668820472976,0.367668820472976,0.367668820472976,2.57374977973209,1.83837812057551,0.735337640945951,1.47074331831316,0.713055712984275,5.79377752498467,10.1173900412369,16.4999887739905,8.45362739581753,5.07827250083515,0,0,0,0.387807601165056,0,0,0,0
2008,"7","Enter Fleet",2,0,32,0,0,0,0,0,0,0,2.47661907103732,1.65107938069155,1.65107938069155,1.75812715155421,3.73013786904984,7.35375790669674,13.9880700028829,11.1872339703912,17.8311909647442,6.52779426478319,5.85699689667452,4.98821414641591,0.91446353168614,1.08764774712137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47661907103732,1.65107938069155,1.65107938069155,1.75812715155421,3.73013786904984,7.35375790669674,13.9880700028829,11.1872339703912,17.8311909647442,6.52779426478319,5.85699689667452,4.98821414641591,0.91446353168614,1.08764774712137,0,0,0,0,0,0,0,0
2009,"7","Enter Fleet",2,0,35,0,0,0,0.535829621149331,4.28684486997885,3.73292788060397,1.06569941981821,0,1.6432477983307,2.14338778485872,4.00139709326984,7.95670951270828,9.1536636276192,7.55954971462152,6.38789019512182,3.0505282065924,1.63943628395366,0,2.14401148721133,0,1.29903339995398,0,0,0,0,0,0,0,0,0,0,0,0.535829621149331,4.28684486997885,3.73292788060397,1.06569941981821,0,1.6432477983307,2.14338778485872,4.00139709326984,7.95670951270828,9.1536636276192,7.55954971462152,6.38789019512182,3.0505282065924,1.63943628395366,0,2.14401148721133,0,1.29903339995398,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",2,0,30,0,1.67716246237638,3.35432492475276,31.8645191342984,1.67716246237638,0,0,0,0,0,1.79652787731117,0,0,6.64392826429698,0,1.30137415794754,4.65301168123835,3.05064855955282,1.79652787731117,3.26631252687401,0,1.74166009746309,0,0,0,0,0,0,0,0,1.67716246237638,3.35432492475276,31.8645191342984,1.67716246237638,0,0,0,0,0,1.79652787731117,0,0,6.64392826429698,0,1.30137415794754,4.65301168123835,3.05064855955282,1.79652787731117,3.26631252687401,0,1.74166009746309,0,0,0,0,0,0,0
2011,"7","Enter Fleet",2,0,24,0,0,0,2.69017199515735,2.55794606805408,10.2936700641854,0,17.7855708034331,24.4553712132997,8.89295448857987,0,0,0,0,2.36417252270837,2.57586927556424,0,2.21909599399403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69017199515735,2.55794606805408,10.2936700641854,0,17.7855708034331,24.4553712132997,8.89295448857987,0,0,0,0,2.36417252270837,2.57586927556424,0,2.21909599399403,0,0,0,0,0,0,0,0,0,0,0
2012,"7","Enter Fleet",2,0,33,0,0,3.660106994391,7.66937177525992,0,0,0,0,0,0,0,5.79567355475468,6.53374471725998,0,6.76968549871659,3.07414417450975,18.1747863137062,8.295522310664,0,2.89783677737734,0,0,0,0,0,0,0,0,0,0,0,3.660106994391,7.66937177525992,0,0,0,0,0,0,0,5.79567355475468,6.53374471725998,0,6.76968549871659,3.07414417450975,18.1747863137062,8.295522310664,0,2.89783677737734,0,0,0,0,0,0,0,0,0
