"Var1","Freq"
"Size_DblN_descend_se_28_coastwide_NWFSC(28)",5
"Size_DblN_descend_se_4_CA_NTWL(4)_BLK2repl_2000",1
"SzSel_Fem_Descend_5_OR_NTWL(5)_BLK2repl_2020",4
