"Year","Total Biomass (mt)","Spawning Output (millions of eggs)","Total Biomass 5+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","1-SPR","Exploitation Rate"
1892,76700.4,8008.63,75272.7,1,3676.85,5.79,0.0021897,7.69203177247528e-05
1893,76694.2,8007.8,75266.9,0.999896361799709,3674.38,5.79,0.00218989,7.6926245135644e-05
1894,76686.7,8006.96,75261.2,0.999791474946402,3671.75,5.79,0.00219007,7.69320712398952e-05
1895,76676.4,8006.13,75255.6,0.99968783674611,3668.98,1.49,0.000564274,1.9799191023658e-05
1896,76666.6,8005.91,75254.5,0.999660366379768,3666.06,0.36,0.000136379,4.78376708369599e-06
1897,76653.3,8005.86,75242.2,0.99965412311469,3662.98,0.37,0.00014019,4.91745323767779e-06
1898,76635.2,8005.78,75225.2,0.999644133890566,3659.72,0.21,7.9596e-05,2.79161770257839e-06
1899,76612.5,8005.67,75203.5,0.999630398707394,3656.26,0.35,0.000132709,4.6540387083048e-06
1900,76584.9,8005.38,75177.2,0.999594187769943,3652.58,0.49,0.000185873,6.51793362881299e-06
1901,76552.9,8004.76,75146.4,0.999516771282979,3648.68,0.64,0.00024289,8.51670871791596e-06
1902,76516.8,8003.58,75111.6,0.999369430227142,3644.53,0.78,0.000296181,1.03845477928842e-05
1903,76477,8001.64,75073.2,0.999127191542124,3640.11,0.92,0.000349542,1.22547060735389e-05
1904,76433.8,7998.86,75031.4,0.998780066003798,3635.4,1.07,0.00040678,1.42606961885291e-05
1905,76387.5,7995.3,74986.7,0.998335545530259,3630.4,1.21,0.000460299,1.61361948185478e-05
1906,76338.2,7991.12,74939.1,0.997813608569755,3625.11,1.35,0.000513902,1.80146278778368e-05
1907,76286.3,7986.45,74888.9,0.997230487611489,3619.51,1.49,0.000567594,1.98961394812849e-05
1908,76231.7,7981.39,74836.3,0.996598669185616,3613.61,1.64,0.00062519,2.19144987125232e-05
1909,76174.6,7976.02,74781.1,0.995928142516261,3607.39,1.78,0.000679077,2.38028057891633e-05
1910,76114.9,7970.37,74723.5,0.995222653562469,3600.82,1.92,0.000733069,2.56947278968464e-05
1911,76052.6,7964.47,74663.5,0.994485948283289,3593.89,2.07,0.000790992,2.77243900969014e-05
1912,75987.6,7958.34,74600.9,0.993720523984751,3586.54,2.21,0.000845217,2.96243074815451e-05
1913,75919.9,7951.97,74535.7,0.99292513201384,3578.74,2.35,0.000899569,3.15285158655517e-05
1914,75849.3,7945.37,74467.7,0.992101021023571,3570.5,2.5,0.000957885,3.35716021845713e-05
1915,75775.7,7938.52,74396.8,0.991245693707913,3561.83,2.64,0.00101252,3.54853972213859e-05
1916,75698.8,7931.41,74322.9,0.99035790141385,3552.72,39.63,0.0129701,0.000533213854680052
1917,75580.2,7921.02,74207.5,0.989060550930684,3543.01,61.62,0.0200551,0.000830374288313176
1918,75434.9,7908.37,74065.5,0.987481004866001,3532.74,64.22,0.0209374,0.000867070363394563
1919,75283,7894.87,73917.1,0.985795323294996,3521.91,41.71,0.0137271,0.000564280795648098
1920,75151,7882.47,73788.8,0.984246993555702,3510.58,44.01,0.014513,0.000596431978836897
1921,75013.6,7869.39,73655.2,0.98261375541135,3498.63,38.49,0.0127765,0.000522570028999989
1922,74878.8,7856.35,73524.5,0.98098551187906,3486.11,35.76,0.0119262,0.000486368489415093
1923,74743.5,7843.15,73393.5,0.979337289898522,3473.02,42.32,0.0140976,0.000576617820379189
