"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,1838.43,1742.7,1634.17,1532.4,1436.97,1347.48,1263.56,1184.87,1111.08,1041.89,977.002,916.158,859.103,805.601,755.431,708.386,664.27,622.902,584.11,547.733,513.623,481.636,451.642,423.515,397.14,372.408,349.215,327.467,307.074,287.951,270.018,253.202,237.434,222.647,208.782,195.779,183.587,172.154,161.433,151.379,2279.39
1893,1837.19,1723.94,1634.17,1532.4,1436.97,1347.47,1263.49,1184.76,1110.97,1041.79,976.918,916.085,859.039,805.545,755.382,708.342,664.231,622.867,584.079,547.705,513.597,481.613,451.62,423.495,397.122,372.391,349.2,327.453,307.061,287.938,270.006,253.192,237.424,222.638,208.773,195.771,183.579,172.147,161.426,151.373,2279.29
1894,1835.88,1722.78,1616.58,1532.4,1436.97,1347.47,1263.48,1184.69,1110.87,1041.69,976.828,916.006,858.971,805.486,755.33,708.296,664.191,622.831,584.046,547.676,513.571,481.589,451.598,423.475,397.103,372.374,349.184,327.439,307.047,287.926,269.995,253.181,237.414,222.628,208.764,195.763,183.572,172.139,161.419,151.367,2279.2
1895,1834.49,1721.55,1615.49,1515.9,1436.97,1347.47,1263.48,1184.68,1110.8,1041.59,976.733,915.922,858.897,805.422,755.274,708.247,664.148,622.793,584.012,547.646,513.543,481.564,451.576,423.455,397.085,372.356,349.168,327.424,307.033,287.913,269.983,253.17,237.403,222.619,208.755,195.755,183.564,172.132,161.413,151.36,2279.1
1896,1833.03,1720.24,1614.33,1514.88,1421.5,1347.47,1263.53,1184.77,1110.88,1041.6,976.703,915.887,858.865,805.394,755.25,708.227,664.13,622.778,584,547.635,513.534,481.556,451.568,423.448,397.079,372.351,349.163,327.42,307.03,287.909,269.98,253.167,237.401,222.616,208.753,195.753,183.562,172.13,161.411,151.359,2279.08
1897,1831.49,1718.88,1613.11,1513.8,1420.54,1332.97,1263.55,1184.84,1110.98,1041.69,976.73,915.873,858.845,805.375,755.234,708.213,664.119,622.769,583.992,547.628,513.529,481.551,451.565,423.445,397.076,372.349,349.162,327.418,307.028,287.908,269.979,253.166,237.4,222.616,208.752,195.752,183.561,172.13,161.41,151.358,2279.07
1898,1829.86,1717.43,1611.83,1512.65,1419.53,1332.07,1249.95,1184.86,1111.04,1041.78,976.812,915.898,858.832,805.356,755.216,708.198,664.106,622.758,583.983,547.621,513.523,481.546,451.561,423.442,397.073,372.347,349.16,327.416,307.027,287.907,269.978,253.165,237.399,222.615,208.751,195.751,183.561,172.129,161.41,151.358,2279.07
1899,1828.13,1715.9,1610.48,1511.45,1418.45,1331.12,1249.11,1172.11,1111.06,1041.85,976.901,915.977,858.857,805.345,755.199,708.182,664.092,622.747,583.974,547.614,513.516,481.541,451.557,423.438,397.071,372.344,349.158,327.415,307.025,287.906,269.977,253.164,237.398,222.614,208.751,195.751,183.56,172.129,161.409,151.358,2279.06
1900,1826.29,1714.28,1609.04,1510.18,1417.32,1330.11,1248.22,1171.32,1099.11,1041.87,976.961,916.059,858.929,805.367,755.188,708.166,664.077,622.733,583.962,547.604,513.509,481.535,451.551,423.434,397.067,372.342,349.155,327.413,307.024,287.904,269.975,253.163,237.397,222.613,208.75,195.75,183.56,172.128,161.409,151.357,2279.06
1901,1824.34,1712.56,1607.52,1508.84,1416.13,1329.06,1247.27,1170.48,1098.36,1030.65,976.975,916.113,859.005,805.434,755.208,708.154,664.06,622.718,583.949,547.593,513.499,481.527,451.545,423.429,397.063,372.338,349.152,327.41,307.021,287.902,269.974,253.161,237.396,222.612,208.749,195.749,183.559,172.128,161.408,151.356,2279.05
1902,1822.26,1710.73,1605.9,1507.41,1414.87,1327.94,1246.28,1169.59,1097.57,1029.95,966.455,916.124,859.054,805.503,755.269,708.171,664.048,622.701,583.934,547.58,513.488,481.518,451.537,423.422,397.057,372.333,349.148,327.407,307.019,287.9,269.971,253.159,237.394,222.611,208.748,195.748,183.558,172.127,161.407,151.356,2279.04
1903,1820.05,1708.78,1604.19,1505.9,1413.53,1326.76,1245.23,1168.65,1096.73,1029.21,965.797,906.258,859.063,805.548,755.332,708.227,664.064,622.689,583.917,547.565,513.475,481.507,451.528,423.414,397.051,372.328,349.144,327.403,307.015,287.897,269.969,253.157,237.392,222.609,208.746,195.747,183.556,172.125,161.406,151.355,2279.03
1904,1817.7,1706.71,1602.36,1504.29,1412.11,1325.5,1244.12,1167.67,1095.86,1028.42,965.097,905.639,849.809,805.555,755.373,708.286,664.115,622.703,583.905,547.549,513.46,481.494,451.517,423.405,397.043,372.321,349.138,327.398,307.011,287.893,269.966,253.155,237.39,222.607,208.744,195.745,183.555,172.124,161.405,151.354,2279.01
1905,1815.2,1704.5,1600.42,1502.57,1410.6,1324.17,1242.94,1166.62,1094.93,1027.59,964.357,904.981,849.227,796.876,755.379,708.323,664.17,622.75,583.917,547.537,513.445,481.479,451.504,423.394,397.034,372.313,349.131,327.392,307.006,287.889,269.962,253.151,237.387,222.604,208.742,195.743,183.553,172.122,161.404,151.352,2278.99
1906,1812.55,1702.16,1598.35,1500.75,1409,1322.76,1241.69,1165.51,1093.94,1026.72,963.58,904.285,848.609,796.329,747.239,708.327,664.204,622.8,583.961,547.547,513.433,481.464,451.49,423.382,397.023,372.304,349.124,327.386,307.001,287.884,269.958,253.148,237.384,222.602,208.74,195.741,183.551,172.121,161.402,151.351,2278.97
1907,1809.76,1699.67,1596.15,1498.81,1407.29,1321.25,1240.36,1164.34,1092.9,1025.8,962.76,903.555,847.955,795.748,746.725,700.694,664.206,622.831,584.007,547.588,513.442,481.452,451.475,423.368,397.011,372.294,349.115,327.378,306.994,287.879,269.953,253.144,237.38,222.598,208.737,195.738,183.549,172.119,161.4,151.349,2278.95
1908,1806.81,1697.05,1593.83,1496.75,1405.47,1319.65,1238.95,1163.09,1091.8,1024.82,961.892,902.784,847.269,795.133,746.179,700.211,657.048,622.833,584.036,547.63,513.479,481.461,451.464,423.354,396.998,372.282,349.105,327.37,306.987,287.872,269.948,253.139,237.376,222.595,208.733,195.735,183.546,172.116,161.398,151.347,2278.92
1909,1803.69,1694.28,1591.37,1494.57,1403.54,1317.94,1237.44,1161.76,1090.63,1023.78,960.972,901.968,846.544,794.488,745.601,699.698,656.593,616.119,584.036,547.656,513.518,481.495,451.471,423.343,396.984,372.269,349.093,327.36,306.978,287.865,269.942,253.133,237.371,222.59,208.73,195.732,183.543,172.114,161.396,151.345,2278.89
1910,1800.41,1691.37,1588.77,1492.26,1401.49,1316.13,1235.84,1160.35,1089.38,1022.68,959.996,901.104,845.777,793.808,744.996,699.155,656.111,615.693,577.74,547.656,513.542,481.531,451.503,423.349,396.973,372.256,349.081,327.349,306.969,287.857,269.934,253.127,237.366,222.586,208.726,195.728,183.54,172.111,161.393,151.342,2278.86
1911,1796.94,1688.29,1586.03,1489.83,1399.33,1314.21,1234.14,1158.84,1088.05,1021.5,958.96,900.187,844.965,793.087,744.356,698.586,655.601,615.24,577.339,541.751,513.541,481.553,451.536,423.378,396.978,372.245,349.068,327.337,306.958,287.848,269.926,253.12,237.36,222.581,208.721,195.724,183.536,172.107,161.39,151.34,2278.83
1912,1793.27,1685.04,1583.15,1487.26,1397.05,1312.18,1232.34,1157.24,1086.63,1020.25,957.858,899.214,844.104,792.324,743.679,697.985,655.067,614.76,576.914,541.375,508.004,481.551,451.556,423.409,397.005,372.25,349.058,327.324,306.947,287.837,269.917,253.113,237.353,222.575,208.716,195.72,183.532,172.104,161.387,151.337,2278.79
