"Label","Total"
"TOTAL","3980.34"
"Catch","3.04761e-11"
"Equil catch","0"
"Survey","-9.76095"
"Length comp","1476.95"
"Age comp","2524.05"
"Recruitment","-11.1007"
"InitEQ Regime","0"
"Forecast Recruitment","0"
"Parm priors","0.184262"
"Parm softbounds","0.0151762"
"Parm devs","0"
"Crash Pen","0"
