"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","45","54.09","113.69","75.61","399.66","598.69","581.78","513.68","558.68","700.36","NA"
"Total Dead","45","54.09","113.69","75.61","399.66","598.69","581.78","513.68","558.68","700.36","NA"
"1-SPR","0.0462791","0.0558136","0.106143","0.0733495","0.285591","0.38551","0.383259","0.36357","0.389986","0.469201",NA
"Exploitation Rate","0.00188933","0.00219449","0.00443947","0.00286402","0.0146582","0.0214196","0.0207424","0.0183173","0.0198543","0.0251551",NA
"Age 5+ Biomass (mt)","23817.9","24648","25608.9","26400","27265.2","27950.5","28047.8","28043.4","28139","27841.7","75203.5"
"Spawning Output (millions of eggs)","2136.39","2262.34","2386.05","2497.02","2603.03","2674.36","2715.07","2749.66","2784.46","2808.02","2808.87"
"Lower Interval","1586.79061920317","1685.71467582035","1783.1121593279","1869.79428563148","1953.68609206594","2004.74222460986","2026.70320913375","2043.6143339932","2061.04709312619","2067.01249643697","2050.18950118838"
"Upper Interval","2685.98938079683","2838.96532417965","2988.9878406721","3124.24571436852","3252.37390793406","3343.97777539014","3403.43679086625","3455.7056660068","3507.87290687381","3549.02750356303","3567.55049881162"
"Recruits","2880.7","1538.69","1506.96","1943.69","973.776","926.821","1812.21","2234.81","3199.87","2825.14","3149.97"
"Lower Interval","2141.07128279733","1074.33896155384","1039.05080823287","1358.39569746118","618.117809712411","549.613569709396","914.577487518629","914.622281981354","1408.6893749278","1114.55893483264","1237.0178867392"
"Upper Interval","3875.83195229167","2203.74295341178","2185.57978455567","2781.17107052156","1534.07600181782","1562.91113135214","3590.84400055616","5460.58830458476","7268.57758647098","7161.05337291873","8021.15402474526"
"Fraction Unfished","0.266761","0.282488","0.297935","0.311791","0.325029","0.333935","0.339018","0.343337","0.347682","0.350624","0.350731"
"Lower Interval","0.209160010451149","0.222679503015362","0.236059916990063","0.248114122099075","0.259837069939026","0.267408334465554","0.271275568805944","0.274485033194296","0.277758128891151","0.279556881898968","0.278388925327025"
"Upper Interval","0.324361989548851","0.342296496984638","0.359810083009937","0.375467877900925","0.390220930060974","0.400461665534446","0.406760431194056","0.412188966805704","0.417605871108849","0.421691118101032","0.423073074672975"
