"Year","Spawning Output (millions of eggs)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2013,2136.39,1586.79061920317,2685.98938079683,0.266761,0.209160010451149,0.324361989548851
2014,2262.34,1685.71467582035,2838.96532417965,0.282488,0.222679503015362,0.342296496984638
2015,2386.05,1783.1121593279,2988.9878406721,0.297935,0.236059916990063,0.359810083009937
2016,2497.02,1869.79428563148,3124.24571436852,0.311791,0.248114122099075,0.375467877900925
2017,2603.03,1953.68609206594,3252.37390793406,0.325029,0.259837069939026,0.390220930060974
2018,2674.36,2004.74222460986,3343.97777539014,0.333935,0.267408334465554,0.400461665534446
2019,2715.07,2026.70320913375,3403.43679086625,0.339018,0.271275568805944,0.406760431194056
2020,2749.66,2043.6143339932,3455.7056660068,0.343337,0.274485033194296,0.412188966805704
2021,2784.46,2061.04709312619,3507.87290687381,0.347682,0.277758128891151,0.417605871108849
2022,2808.02,2067.01249643697,3549.02750356303,0.350624,0.279556881898968,0.421691118101032
2023,2808.87,2050.18950118838,3567.55049881162,0.350731,0.278388925327025,0.423073074672975
