"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","F.999","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","M.999","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35"
1980,"7","Enter Fleet",3,0,"1","Enter","Enter",2,0,0,0,0,0,0,1.123636387384,2.24717948048144,0,3.37081586786544,5.61799534834687,13.4830768828886,4.49435896096287,3.37081586786544,3.37081586786544,2.24717948048144,0,3.37081586786544,2.24717948048144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74153844144431,8.98871792192574,7.86517482882831,11.2358974024072,6.74153844144431,5.61799534834687,0,3.37081586786544,1.123636387384,2.24717948048144,0,0,1.123636387384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,"7","Enter Fleet",3,0,"1","Enter","Enter",7,0,0,0,0,0,3.6498012353017,12.2351593168551,11.8452573319201,6.34487652632983,3.0222065028487,1.11450609401943,3.07356440812415,0.243455680783217,0.871050413236215,2.04267734579634,3.21424777901072,1.11450609401943,0.243455680783217,0.678952637728455,0.435553456290976,1.36366820872214,1.79922166501312,0.435553456290976,0.435553456290976,0,0,0,0,0.435553456290976,0,0,0,0,0,0,0,0,0,0,0,1.85628600420807,3.65550766922119,11.1834804952959,6.97823419204806,4.92985041233223,2.29183946049905,1.17162693256012,1.4150261139976,0.871050413236215,1.11450609401943,0.871050413236215,1.17162693256012,0.678952637728455,0,0.871050413236215,0,0.435553456290976,0.435553456290976,0.871050413236215,0.243455680783217,0.435553456290976,0,0.435553456290976,0.435553456290976,0,0,0,0,0.435553456290976,0,0.871050413236215,1.7422138251639
1989,"7","Enter Fleet",3,0,"1","Enter","Enter",4,0,0,0,3.26862777663276,0,19.6121668590958,1.63441393814119,3.26862777663276,15.0731064069907,11.8044786303579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90304171477396,0,27.7840364501522,1.63441393814119,1.63441393814119,9.38267257094033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"7","Enter Fleet",3,0,"1","Enter","Enter",12,0,0,2.1117574240952,0,0,4.02119078360643,2.1117574240952,8.44769523606693,6.56022468619804,6.13294820770163,4.22418038787653,12.7084803066807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1117574240952,6.78517710011048,12.9966589907756,8.46965804570927,6.56022468619804,8.4916208553516,6.15491101734396,2.1117574240952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"7","Enter Fleet",3,0,"1","Enter","Enter",24,0,0,0,0,3.08236304990652,0,7.31983607272678,12.6543531014946,8.00521586778413,2.57067769360637,2.10900291001118,1.5509990367091,0,1.5509990367091,3.10183025270443,1.5509990367091,0,0,0,1.5509990367091,0,0,3.10183025270443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7761775140382,12.5306692354424,5.25547347257977,3.96224705222916,2.10900291001118,1.5509990367091,6.12965157063406,0.46167478359519,1.5509990367091,1.5509990367091,2.10900291001118,0,1.5509990367091,0,0,1.5509990367091,0,1.5509990367091,0,1.5509990367091,0,0,1.5509990367091,1.5509990367091,0,0.558003873302074,0,0,0,0
2001,"7","Enter Fleet",3,0,"1","Enter","Enter",29,0,0,0,0,0,0,10.5234159779614,6.03709825528007,4.41799816345271,6.72176308539945,10.8481175390266,2.37061524334252,4.87566574839302,0,1.9048668503214,2.30449954086318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01212121212121,12.9131313131313,11.433608815427,7.75316804407714,3.28374655647383,3.57612488521579,4.60826446280992,1.23269054178145,3.18310376492195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",3,0,"1","Enter","Enter",36,0,0,0.905448144927068,0,0,1.86902952106984,0,14.9356266739256,7.73610281277178,5.10626616253775,4.25825918655,4.02895588564363,4.5071709186204,1.86902952106984,0.477984345551308,3.11474161854911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.280123740735,7.81107622604599,8.39079372622478,7.85098515065042,5.44999042647184,6.25370541677144,2.10548413216544,2.61507265500465,0.434153734714074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
