"year","month","fleet","sex","partition","InputN","F.999","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","F.999.1","F12.1","F14.1","F16.1","F18.1","F20.1","F22.1","F24.1","F26.1","F28.1","F30.1","F32.1","F34.1","F36.1","F38.1","F40.1","F42.1","F44.1","F46.1","F48.1","F50.1","F52.1","F54.1","F56.1","F58.1","F60.1","F62.1","F64.1","F66.1"
1980,"7","Enter Fleet",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07686566467949,3.07695895957532,1.53843283233974,8.46156716766026,6.15382462425481,4.61539179191506,3.07695895957532,0.769216416169871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07686566467949,3.07695895957532,1.53843283233974,8.46156716766026,6.15382462425481,4.61539179191506,3.07695895957532,0.769216416169871,0,0,0,0,0
1983,"7","Enter Fleet",1,0,10,0,0,0,0,0,0,0,0,0,0,0,0.95602542922553,1.43898183659033,4.81956368945248,8.41213108752201,10.3773478303121,4.30310317006529,3.58465748966627,3.34120180888305,1.44293679079196,3.04650122151585,6.17775146163807,5.90079166883247,0.942239588865561,0.688953021924006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95602542922553,1.43898183659033,4.81956368945248,8.41213108752201,10.3773478303121,4.30310317006529,3.58465748966627,3.34120180888305,1.44293679079196,3.04650122151585,6.17775146163807,5.90079166883247,0.942239588865561,0.688953021924006,0,0,0,0
1986,"7","Enter Fleet",1,0,10,0,0,0,0,0,0,0,0,0.449288372538937,0,0.405710450857178,0.405710450857178,2.02855225428589,1.62305969303712,4.95633492247488,4.69530317160114,5.14459154414008,0.449288372538937,0,4.0898968946373,5.71306553247863,4.0898968946373,0,1.17377132049818,3.52142290629875,0,0,0,0,0,0,0,0,0,0,0,0,0.449288372538937,0,0.405710450857178,0.405710450857178,2.02855225428589,1.62305969303712,4.95633492247488,4.69530317160114,5.14459154414008,0.449288372538937,0,4.0898968946373,5.71306553247863,4.0898968946373,0,1.17377132049818,3.52142290629875,0,0,0,0
1989,"7","Enter Fleet",1,0,24,0,0,0,0,0,0.789618236748146,0,0.789618236748146,7.89653751811268,3.84947769180502,4.49739082669596,3.79194328954721,4.5300646847683,4.78683859114112,5.0546221670818,6.51618539810018,4.09689929822235,1.21627252838837,0.304127323868964,0.608254647737927,0,0,0,0,0.68993929291877,0,0,0,0,0,0,0,0,0,0.789618236748146,0,0.789618236748146,7.89653751811268,3.84947769180502,4.49739082669596,3.79194328954721,4.5300646847683,4.78683859114112,5.0546221670818,6.51618539810018,4.09689929822235,1.21627252838837,0.304127323868964,0.608254647737927,0,0,0,0,0.68993929291877,0,0,0,0
1992,"7","Enter Fleet",1,0,16,0,0,0,4.38635191809875,1.46229448941949,1.46229448941949,4.38635191809875,0,1.46229448941949,1.41551807536318,1.3830935156196,4.18170510660238,8.36341021320477,8.42825933269193,8.42825933269193,1.41551807536318,2.79861159098278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38635191809875,1.46229448941949,1.46229448941949,4.38635191809875,0,1.46229448941949,1.41551807536318,1.3830935156196,4.18170510660238,8.36341021320477,8.42825933269193,8.42825933269193,1.41551807536318,2.79861159098278,0,0,0,0,0,0,0,0,0,0,0,0
1995,"7","Enter Fleet",1,0,32,0,0,0,0,0,0,0.430867498795272,0.885514600045984,0,0,2.72489047209598,1.35606726320398,3.62930276945754,2.74205588049096,1.29244501557485,1.65260363024765,2.33229081036476,0.451654965842412,2.4236296807234,0.947089597132589,0.473544798566295,2.36772399283147,4.73529050485198,1.89417919426518,5.20883530341828,3.3146561091531,0.473544798566295,0,0,0,0,0,0,0,0,0.430867498795272,0.885514600045984,0,0,2.72489047209598,1.35606726320398,3.62930276945754,2.74205588049096,1.29244501557485,1.65260363024765,2.33229081036476,0.451654965842412,2.4236296807234,0.947089597132589,0.473544798566295,2.36772399283147,4.73529050485198,1.89417919426518,5.20883530341828,3.3146561091531,0.473544798566295,0,0
1998,"7","Enter Fleet",1,0,57,0,0,0,0,0,0,0,0.416022907082001,0,0,2.1461043758437,1.07305218792185,4.72759824237495,8.20483246470619,9.41675022988852,9.00373990247849,7.13421903175689,3.38169240987724,1.16687252627758,2.99952516006123,1.78789430722861,0.595916950351252,0.595916950351252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416022907082001,0,0,2.1461043758437,1.07305218792185,4.72759824237495,8.20483246470619,9.41675022988852,9.00373990247849,7.13421903175689,3.38169240987724,1.16687252627758,2.99952516006123,1.78789430722861,0.595916950351252,0.595916950351252,0,0,0,0,0,0
2001,"7","Enter Fleet",1,0,32,0,0,0,0,0,0,0,0,0,0,0,2.01215077540166,0,14.9416336695489,4.02430155080332,4.41806307530689,2.01215077540166,11.1399249208436,5.54718893941509,2.37065007383029,1.23270865320335,2.30453339993976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01215077540166,0,14.9416336695489,4.02430155080332,4.41806307530689,2.01215077540166,11.1399249208436,5.54718893941509,2.37065007383029,1.23270865320335,2.30453339993976,0,0,0,0,0,0,0
2004,"7","Enter Fleet",1,0,40,0,0,0,0.905446056176872,0,0,0,0,0,0,0,0,0,2.12393422655298,6.37180267965895,16.4645849481416,8.06712065847267,2.83675672682981,4.65826043627505,1.41595615103532,5.23220942678921,3.45615103532278,0.844544716347396,0,0,0,0,0,0,0,0,0,0.905446056176872,0,0,0,0,0,0,0,0,0,2.12393422655298,6.37180267965895,16.4645849481416,8.06712065847267,2.83675672682981,4.65826043627505,1.41595615103532,5.23220942678921,3.45615103532278,0.844544716347396,0,0,0,0,0,0
