"type","Quantity","values"
Mohn,SSB,-0.422983745723281
Mohn,Recruitment,3.17145012038911
Mohn,Fraction unfished,-0.231992135141771
Mohn,F,0.22455900694738
NEFSC,SSB,-0.170033679104622
NEFSC,Recruitment,0.232068630465255
NEFSC,Fraction unfished,0.0327609898085602
NEFSC,F,-0.0290202549308812
AFSC,SSB,-0.0845967491446563
AFSC,Recruitment,0.634290024077821
AFSC,F,0.0449118013894759
AFSC,Fraction unfished,-0.0463984270283541
