" ","Model from request 10","Single M","M break 12","M break 20","M ramp 4-16","no sex selectivity"
"Dead_Catch_MSY",1246.13,1189.77,1292.95,1333.93,1288.87,1685.21
"Dead_Catch_SPR",1093.67,1052.02,1147.82,1204.71,1140.44,1553.19
"Dead_Catch_Btgt",1151.99,1106.23,1205.93,1260.38,1199.07,1615.21
"Bratio_2023",0.35,0.24,0.44,0.54,0.43,0.53
